Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Eponides weddellensis	Bolivina spp.	Nuttallides umbonifera	Rhizammina algaeformis	Textularia taxa	Pyrgo spp.	Pullenia spp.	Pullenia bulloides	Planulina wuellerstorfi	Oridorsalis umbonatus	Melonis pompilioides	Melonis nicobarense	Lenticulina spp.	Lagena taxa	Gyroidinoides spp.	Gyroidinoides  laevigatus ex. gr.	Globocassidulina subglobosa	Eponides tumidulus	Epistominella exigua	Eggerella bradyi	Stetsonia horvathi	Robertinoides charlottensis	Pyrgo williamsoni	Pullenia subcarinata	Gyroidina soldanii	Cassidulina subglobosa	Tosaia hanzawai	Spiroplectammina biformis	Reophax scotti	Quinqueloculina seminulum	Fursenkoina fusiformis	Fissurina spp.	Chilostomella oolina	Anomalinoides spp.	Reophax guttifer	Comment



  SR	                 	                 	                  	              	116	 717	B	  1	H	 1	  23.00	      0.2300	Scott    	Benthic Foraminifers                         	               	                  	                     	             	                      	                      	               	          	             	                  	                       	                     	                    	                   	                	           	                  	                                 	                           	                  	                    	                	                  	                           	                 	                    	                  	                      	               	                         	              	                         	                      	              	                    	                  	100             	No of species 1 No of individuals per 10 cubic cm - 1 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	B	  1	H	 3	  10.00	      3.1000	Iaccarino	Benthic Foraminifers                         	               	                  	                     	             	1                     	                      	               	          	             	                  	2                      	2                    	                    	                   	                	           	                  	                                 	                           	                  	                    	                	                  	                           	                 	                    	                  	                      	               	                         	              	                         	                      	              	                    	1                 	                	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	B	  1	H	 3	  23.00	      3.2300	Scott    	Benthic Foraminifers                         	               	                  	14                   	             	11                    	                      	               	          	             	                  	                       	8                    	                    	                   	                	           	                  	                                 	                           	                  	14                  	                	14                	                           	                 	3                   	8                 	                      	5              	3                        	3             	3                        	5                     	5             	3                   	                  	                	No of species 15 No of individuals per 10 cubic cm - 37 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	B	  2	H	 1	  21.00	      4.2100	Scott    	Benthic Foraminifers                         	               	                  	19                   	             	29                    	                      	               	          	             	                  	1                      	                     	                    	                   	                	           	                  	                                 	                           	                  	32                  	1               	5                 	1                          	1                	4                   	4                 	2                     	               	                         	              	                         	                      	              	                    	                  	                	No of species 11 No of individuals per 10 cubic cm - 95 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	B	  2	H	 2	   3.00	      5.5300	Scott    	Benthic Foraminifers                         	               	                  	                     	             	                      	100                   	               	          	             	                  	                       	                     	                    	                   	                	           	                  	                                 	                           	                  	                    	                	                  	                           	                 	                    	                  	                      	               	                         	              	                         	                      	              	                    	                  	                	No of species 1 No of individuals per 10 cubic cm - 202 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

