Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stoverius coronatus	Stoverius biarcus	Reinhardtites anthophorus	Prediscosphaera spinosa	Prediscosphaera intercisa	Prediscosphaera cretacea	Placozygus fibuliformis	Micula concava	Microrhabdulus decoratus	Manivitella pemmatoidea	Glaukolithus diplogrammus	Gephyrorhabdus coronadventis	Eiffellithus turriseiffelii	Cribrosphaerella ehrenbergii	Corollithion exiguum	Chiastozygus amphipons	Aspidolithus parcus expansus	Arkhangelskiella specillata	Ahmuellerella octoradiata	Zygrhablithus bijugatus	Zeugrhabdotus sp. cf. Z. nanum	Zeugrhabdotus sp. cf. Z. acanthus	Zeugrhabdotus pseudanthophorus	Watznaueria barnesae	Vekshinella stradnerii	Tranolithus phacelosus	Stradneria crenulata	Sphenolithus spiniger	Sphenolithus radians	Sphenolithus pseudoradians	Sphenolithus moriformis	Sphenolithus furcatolithoides	Rotelapillus crenulatus	Rhombolithion rhombicum	Reticulofenestra dictyoda	Pseudotriquetrorhabdulus inversus	Prediscosphaera honjoi	Micula decussata	Micula cubiformis	Marthasterites furcatus	Lithraphidites carniolensis	Lithastrinus grillii	Helicosphaera lophota	Glaukolithus bicrescenticus	Gartnerago obliquum	Ericsonia formosa	Eiffellithus eximius	Discoaster strictus	Discoaster saipanensis	Discoaster gemmifer	Discoaster deflandrei	Discoaster bifax	Discoaster barbadiensis	Dictyococcites scrippsae	Cyclicargolithus pseudogammation	Coronocyclus prionion	Corollithion signum	Coccolithus pelagicus	Coccolithus eopelagicus	Chiastozygus litterarius	Chiasmolithus titus	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus expansus	Ceratolithoides verbeekii	Calculites sp.	Calcidiscus protoannulus	Aspidolithus parcus parcus	Ahmuellerella regularis	Umbellosphaera irregularis	Thoracosphaera spp.	Syracosphaera spp.	Scapholithus fossilis	Rhabdosphaera spp.	Reticulofenestra spp. (small - medium)	Reticulofenestra spp. (large)	Pseudoemiliania lacunosa E	Pseudoemiliania lacunosa C	Oolithotus antillarum	Helicosphaera sellii	Helicosphaera carteri	Gephyrocapsa spp. (small)	Gephyrocapsa spp. (large)	Gephyrocapsa sp. 3	Gephyrocapsa oceanica s.l.	Gephyrocapsa caribbeanica	Emiliania huxleyi	Discoaster brouweri	Cyclolithus annulus	Calcidiscus macintyrei	Calcidiscus leptoporus	Comment



  SR	                 	                 	                  	              	144	 872	A	  1	H	 1	   0.00	      0.0000	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	1.0%5                	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.2%1                      	.0%0               	.4%2              	.0%0                 	.0%0              	.0%0                                  	1.7%9                        	.4%2                      	.0%0                      	.0%0                 	2.9%15              	2.9%15               	76.2%393                 	.0%0                     	.0%0              	.6%3                      	2.5%13                   	.0%0             	.0%0               	.4%2               	9.5%49                	1.2%6                 	Total count = 516; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  1	H	 1	  25.00	      0.2500	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	1.1%6                     	.2%1               	1.1%6             	.7%4                 	.9%5              	.0%0                                  	.0%0                         	.0%0                      	.0%0                      	.0%0                 	.0%0                	.9%5                 	36.7%199                 	.2%1                     	1.3%7             	21.2%115                  	4.6%25                   	28.0%152         	.0%0               	2.4%13             	.0%0                  	.6%3                  	Total count = 542; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  1	H	 1	  85.00	      0.8500	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	1.3%7                     	.0%0               	.7%4              	.6%3                 	.6%3              	.0%0                                  	.0%0                         	.0%0                      	.0%0                      	.0%0                 	.0%0                	1.5%8                	51.9%282                 	1.5%8                    	.9%5              	21.9%119                  	5.0%27                   	11.1%60          	.0%0               	1.8%10             	.0%0                  	1.3%7                 	Total count = 543; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  1	H	 1	 135.00	      1.3500	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.8%4                      	.0%0               	1.9%10            	.9%5                 	.8%4              	.0%0                                  	.0%0                         	.0%0                      	.0%0                      	.0%0                 	.0%0                	.6%3                 	63.5%337                 	.0%0                     	.6%3              	22.6%120                  	6.2%33                   	1.1%6            	.0%0               	.9%5               	.0%0                  	.2%1                  	Total count = 531; from Leg 144 SR; Ch 1; Table 4; p. 18-19
