Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus abies/neoabies,Rhabdosphaera clavigera,Reticulofenestra umbilica,Reticulofenestra sp. (<5 microns),Reticulofenestra sp. (5-7 microns),Pontosphaera segmenta,Helicosphaera sp.,Helicosphaera kamptneri,Helicosphaera compacta,Gephyrocapsa spp. (large >5.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Ericsonia formosa,Discoaster spp. (5 rays),Discoaster sp.,Discoaster saipanensis,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster deflandrei,Discoaster brouweri,Discoaster barbadiensis,Discoaster asymmetricus,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Coccolithus pelagicus,Clausicoccus fenestratus,Ceratolithus sp.,Calcidiscus macintyrei,Calcidiscus leptoporus,Braarudosphaera sp.,Zygrhablithus bijugatus,Sphenolithus conicus,Discoaster tanii,Cyclicargolithus abisectus,Sphenolithus dissimilis,Pseudoemiliania lacunosa,Hayaster perplexus,Umbilicosphaera mirabilis,Oolithotus fragilis,Helicosphaera granulata,Discoaster variabilis,Discoaster surculus,Calcidiscus sp.,Amaurolithus delicatus,Reticulofenestra pseudoumbilica (<7 microns),Micrantholithus sp.,Dictyococcites sp.,Sphenolithus heteromorphus,Pontosphaera sp.,Ceratolithus rugosus,Sphenolithus distentus,Coronocyclus nitescens,Discoaster nodifer,Helicosphaera euphratis,Bramletteius serraculoides,Lanternithus minutus,Cribrocentrum reticulatum,Chiasmolithus oamaruensis,Sphenolithus pseudoradians,Discoaster adamanteus,Syracosphaera pulchra,Sphenolithus ciperoensis,Reticulofenestra hampdenensis,Pedinocyclus larvalis,Calcidiscus protoannulus,Blackites sp.,Sphenolithus radians,Cruciplacolithus cruciformis,Scapholithus fossilis,Syracosphaera sp.,Scyphosphaera sp.,Pontosphaera discopora,Pontosphaera japonica,Helicosphaera recta,Oolithotus sp.,Sphenolithus delphix,Umbellosphaera irregularis,Emiliania huxleyi,Gephyrocapsa spp. small (<3.5 microns),Braarudosphaera bigelowii,Discoaster challengeri,Ceratolithus cristatus,Helicosphaera inversa,Syracosphaera clava,Discoaster quadramus,Discoaster triradiatus,Discoaster binodosus,Helicosphaera sellii,Discoaster tamalis,Catinaster coalitus,Discosphaera tubifera,Discoaster bramlettei,Scyphosphaera globulata,Catinaster umbrellus,Ceratolithus simplex,Discoaster berggrenii,Ceratolithus telesmus,Pontosphaera indooceanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  1,R, 1,  35.00,      0.3500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rR                     ,rC                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,                                      ,A                                      ,                 ,                        ,              ,                      ,rS                     ,rR                      ,rS                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,rR                        ,                       ,rR                      ,                  ,R                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,C                 ,rR                        ,S               ,                    ,                      ,rR                    ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,S                ,                 ,                      ,                     ,                   ,              ,                    ,                          ,A                ,A                                     ,                         ,                      ,                      ,                     ,R                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  1,R, 2,  35.00,      1.8500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rR                     ,rS                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,R                                     ,C                                      ,                 ,                        ,              ,                      ,rS                     ,rR                      ,rR                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,                     ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,                  ,rR                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,S                ,                 ,                      ,                     ,                   ,              ,                    ,                          ,A                ,A                                     ,                         ,                      ,                      ,                     ,R                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  2,R, 1,  35.00,      3.1500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rR                     ,rS                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,                                      ,A                                      ,                 ,                        ,rR            ,                      ,rR                     ,rS                      ,                     ,rS                 ,                       ,                       ,                        ,                       ,rR                         ,                     ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,rR                        ,                       ,rR                      ,                  ,C                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,C                 ,rR                        ,                ,                    ,                      ,rR                    ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,S                ,                 ,                      ,R                    ,                   ,              ,                    ,S                         ,V                ,A                                     ,                         ,                      ,R                     ,                     ,R                  ,                    ,                      ,                    ,                    ,                  ,                   ,R                    ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  2,R, 2,  35.00,      4.6500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rS                         ,C                      ,                         ,S                                ,R                                 ,                     ,                 ,C                      ,                      ,                                      ,A                                      ,                 ,                        ,rS            ,                      ,rS                     ,rR                      ,                     ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,R               ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rS                   ,rR                 ,               ,                      ,                                            ,                   ,C                 ,rR                        ,S               ,                    ,                      ,rR                    ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,S                ,                 ,S                     ,S                    ,                   ,              ,                    ,                          ,V                ,A                                     ,                         ,rR                    ,R                     ,                     ,R                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,R                        ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
