Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Nummulites sp.,Lepidocyclina yurnagunensis,Lepidocyclina waylandvaughani,Lepidocyclina undosa,Lepidocyclina mantelli,Heterostegina panamensis,Dictyoconus cf. floridanus,Lepidocyclina canellei,Heterostegina antillea,Amphistegina spp.,Gypsina (unspecified taxon or taxa),Amphistegina gibbosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  1,H,CC,  14.00,      3.5500,Raymo    ,Benthic Foraminifers                         ,               ,                  ,              ,                           ,                             ,                    ,                      ,                        ,                          ,                      ,                      ,r                ,                                   ,r                   ,from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 4 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  2,H, 4,  50.00,      8.6000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,              ,                           ,                             ,                    ,                      ,                        ,                          ,                      ,                      ,r                ,                                   ,                    ,from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 4 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  3,H, 4,  50.00,     18.2000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,              ,                           ,                             ,                    ,                      ,                        ,                          ,                      ,                      ,r                ,r                                  ,                    ,from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 4 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  5,H, 1,  50.00,     33.1000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,              ,                           ,                             ,                    ,                      ,                        ,                          ,                      ,                      ,r                ,                                   ,                    ,from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 4 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  7,H, 1,  50.00,     52.0000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,              ,r                          ,                             ,                    ,                      ,                        ,                          ,                      ,                      ,r                ,                                   ,                    ,from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 4 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 12,H,CC,  25.00,    108.3700,Raymo    ,Benthic Foraminifers                         ,               ,                  ,              ,                           ,                             ,                    ,                      ,                        ,                          ,                      ,                      ,r                ,                                   ,                    ,from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 4 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 13,H,CC,  20.00,    117.4600,Raymo    ,Benthic Foraminifers                         ,               ,                  ,              ,                           ,                             ,                    ,                      ,                        ,                          ,                      ,                      ,r                ,                                   ,                    ,from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 4 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 24,X, 2,  50.00,    213.9000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,              ,r                          ,                             ,                    ,                      ,r                       ,                          ,r                     ,r                     ,                 ,                                   ,                    ,from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 4 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 26,X, 1,  70.00,    232.1000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,r             ,r                          ,r                            ,r                   ,r                     ,r                       ,r                         ,                      ,                      ,                 ,                                   ,                    ,from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 4 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 26,X, 2,  40.00,    233.3000,Raymo    ,Benthic Foraminifers                         ,               ,                  ,r             ,r                          ,r                            ,r                   ,r                     ,r                       ,r                         ,                      ,                      ,                 ,                                   ,                    ,from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 4 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 26,X, 2,  86.00,    233.7600,Raymo    ,Benthic Foraminifers                         ,               ,                  ,r             ,r                          ,r                            ,r                   ,r                     ,r                       ,r                         ,                      ,                      ,                 ,                                   ,                    ,from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 4 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
