Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Impagidinium paradoxum,Impagidinium aculeatum,Nematosphaeropsis labyrinthea,Invertocysta tabulata,Impagidinium patulum,Impagidinium? pallidum,Impagidinium sphaericum,Corrudinium harlandii,Spiniferites ramosus,Spiniferites mirabilis,Selenopemphix antarctica,Operculodinium centrocarpum,Dalella chathamense,Brigantedinium spp.,Bitectatodinium tepikiense,Impagidinium strialatum,Impagidinium japonicum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  1,H,CC,  17.00,      8.5200,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,30                    ,27                    ,74                           ,                     ,9                   ,7                     ,2                      ,2                    ,9                   ,16                    ,4                       ,4                          ,6                  ,22                 ,6                         ,4                      ,5                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  4,H,CC,  10.00,     37.3500,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,C              ,G                 ,26                    ,34                    ,34                           ,                     ,4                   ,2                     ,11                     ,3                    ,9                   ,18                    ,4                       ,4                          ,1                  ,18                 ,3                         ,                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  5,H,CC,  11.00,     46.7900,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,C              ,G                 ,78                    ,53                    ,12                           ,                     ,                    ,                      ,1                      ,                     ,1                   ,                      ,                        ,                           ,                   ,                   ,                          ,                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  9,H,CC,   9.00,     84.4100,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,C              ,G                 ,5                     ,22                    ,                             ,2                    ,4                   ,2                     ,1                      ,5                    ,                    ,                      ,                        ,                           ,                   ,                   ,                          ,                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 16,H,CC,  13.00,    151.4600,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,T              ,G                 ,8                     ,3                     ,3                            ,1                    ,2                   ,                      ,                       ,                     ,                    ,                      ,                        ,                           ,                   ,                   ,                          ,                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 17,H,CC,  11.00,    161.0500,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,T              ,G                 ,4                     ,2                     ,                             ,                     ,                    ,                      ,                       ,                     ,                    ,                      ,                        ,                           ,                   ,                   ,                          ,                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
