Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globigerina bulloides	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina dutertrei	Globorotalia scitula	Globigerinita glutinata	Globigerina quinqueloba	Globigerina falconensis	Hastigerina aequilateralis	Globorotalia truncatulinoides	Globorotalia inflata	Globigerinoides ruber	Comment



  IR	                 	                 	N22               	N23           	167	1015	A	  1	H	CC	  15.00	      7.0200	Kennett  	Planktonic Foraminifers                      	A              	G                 	F                	C                                    	R                    	                                       	R                         	                    	                       	                       	                       	                          	                             	                    	R                    	from IR. Ch 9. Table 3.

  IR	                 	                 	N22               	N23           	167	1015	A	  2	H	CC	  33.00	     17.2200	Kennett  	Planktonic Foraminifers                      	C              	G                 	F                	C                                    	                     	                                       	F                         	R                   	                       	A                      	                       	                          	                             	                    	                     	from IR. Ch 9. Table 3.

  IR	                 	                 	N22               	N23           	167	1015	A	  3	H	CC	  31.00	     26.9900	Kennett  	Planktonic Foraminifers                      	C              	G                 	F                	F                                    	C                    	                                       	F                         	                    	                       	                       	                       	R                         	R                            	C                   	R                    	from IR. Ch 9. Table 3.

  IR	                 	                 	N22               	N23           	167	1015	A	  5	H	CC	  31.00	     45.5600	Kennett  	Planktonic Foraminifers                      	F              	G                 	                 	R                                    	F                    	C                                      	                          	                    	R                      	C                      	R                      	                          	                             	                    	                     	from IR. Ch 9. Table 3.

  IR	                 	                 	N22               	N23           	167	1015	A	  6	H	CC	  91.00	     55.2900	Kennett  	Planktonic Foraminifers                      	F              	G                 	R                	F                                    	                     	F                                      	                          	R                   	R                      	                       	                       	                          	                             	                    	                     	from IR. Ch 9. Table 3.

  IR	                 	                 	N22               	N23           	167	1015	A	  7	H	CC	   9.00	     61.7700	Kennett  	Planktonic Foraminifers                      	F              	G                 	                 	C                                    	F                    	F                                      	                          	                    	                       	C                      	                       	                          	                             	                    	                     	from IR. Ch 9. Table 3.

  IR	                 	                 	N22               	N23           	167	1015	A	  8	H	CC	  12.00	     72.8900	Kennett  	Planktonic Foraminifers                      	C              	G                 	R                	                                     	C                    	A                                      	                          	                    	R                      	                       	                       	                          	                             	                    	                     	from IR. Ch 9. Table 3.

  IR	                 	                 	N22               	N23           	167	1015	A	  9	H	CC	 146.00	     84.2500	Kennett  	Planktonic Foraminifers                      	A              	G                 	R                	                                     	A                    	A                                      	                          	R                   	R                      	A                      	                       	                          	                             	                    	                     	from IR. Ch 9. Table 3.

  IR	                 	                 	N22               	N23           	167	1015	A	 10	H	CC	  10.00	     88.9500	Kennett  	Planktonic Foraminifers                      	F              	G                 	                 	                                     	A                    	C                                      	                          	                    	                       	C                      	                       	                          	                             	                    	                     	from IR. Ch 9. Table 3.

  IR	                 	                 	N22               	N23           	167	1015	A	 11	H	CC	  13.00	     96.5000	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                                     	A                    	A                                      	                          	R                   	                       	A                      	                       	                          	                             	                    	                     	from IR. Ch 9. Table 3.

  IR	                 	                 	N22               	N23           	167	1015	A	 12	H	CC	  10.00	    110.9000	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                                     	A                    	A                                      	                          	R                   	                       	A                      	                       	                          	                             	                    	                     	from IR. Ch 9. Table 3.

  IR	                 	                 	N22               	N23           	167	1015	A	 15	H	CC	  15.00	    138.6400	Kennett  	Planktonic Foraminifers                      	C              	G                 	                 	F                                    	C                    	C                                      	R                         	R                   	R                      	                       	                       	                          	                             	                    	                     	from IR. Ch 9. Table 3.

  IR	                 	                 	N22               	N23           	167	1015	A	 16	H	CC	   0.00	    149.7800	Kennett  	Planktonic Foraminifers                      	F              	G                 	F                	F                                    	C                    	                                       	                          	                    	                       	                       	                       	                          	                             	                    	                     	from IR. Ch 9. Table 3.

