Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Orbulina universa,Neogloboquadrina pachyderma,Globorotalia scitula,Globorotalia puncticuloides,Globorotalia puncticulata,Globorotalia inflata,Globorotalia crassula,Globigerina umbilicata,Globigerina spp.,Globigerina quinqueloba,Globigerina bulloides,Globigerinita glutinata,Globorotalia crassaformis,Globorotalia crassaformis l.c.,Globorotalia crassacarina,Globigerina falconensis,Globorotalia truncatulinoides,Comment
IR,,,,,181,1119,C,17,H,CC,39.00,160.9600,forams,Planktonic Foraminifers,A,VG,,R,P,,,,,R,D,,R,R,,,,,,
IR,,,,,181,1119,C,18,X,CC,34.00,169.3800,forams,Planktonic Foraminifers,C,VG,P,F,P,P,,F,R,R,,F,F,P,,,,,P,
IR,,,,,181,1119,C,19,X,CC,42.00,176.2300,forams,Planktonic Foraminifers,C,VG,,F,R,P,R,,P,,,F,D,,,,,,,
IR,,,,,181,1119,C,25,X,2,33.00,228.2300,forams,Planktonic Foraminifers,A,VG,,F,R,F,,R,R,,A,F,R,,,,,F,,75-80% planktic
IR,,,,,181,1119,C,25,X,2,123.00,229.1300,forams,Planktonic Foraminifers,A,VG,,P,,,R,R,P,,,,,,,,P,,,
IR,,,,,181,1119,C,25,X,2,140.00,229.3000,forams,Planktonic Foraminifers,F,VG,,F,R,R,,R,,,,A,P,,,,,,,90% planktics
IR,,,,,181,1119,C,25,X,5,113.00,233.5300,forams,Planktonic Foraminifers,R,G,,R,R,,R,,,F,A,F,R,,,,,,,80% planktics
IR,,,,,181,1119,C,25,X,6,56.00,234.4600,forams,Planktonic Foraminifers,C,G,,R,,,P,P,P,R,D,R,R,R,,,,,,
IR,,,,,181,1119,C,25,X,6,70.00,234.6000,forams,Planktonic Foraminifers,A,VG,,F,,F,,R,F,,F,F,F,R,,,,R,,75-80% planktics
IR,,,,Wn-Wc,181,1119,C,25,X,CC,30.00,235.7000,forams,Planktonic Foraminifers,C,G,,F,P,R,R,P,P,,,F,A,,,,P,,,
IR,,,,,181,1119,C,28,X,CC,95.00,264.8700,forams,Planktonic Foraminifers,C,VG,,F,,R,,P,,,,F,A,,,,,,,
IR,,,,,181,1119,C,29,X,CC,47.00,274.4200,forams,Planktonic Foraminifers,A,G,,F,P,,R,,P,R,D,,A,,,,,,,
IR,,,,Wn-Wc,181,1119,C,31,X,CC,29.00,293.7300,forams,Planktonic Foraminifers,F,G,,F,,R,R,R,,P,D,F,A,P,,,P,,,
IR,,,,,181,1119,C,33,X,CC,49.00,312.8300,Hayward,Planktonic Foraminifers,A,G,,,,,R,,P,R,D,,,,,,,,,
IR,,,,,181,1119,C,35,X,CC,24.00,331.9600,Hayward,Planktonic Foraminifers,A,G,,,P,,R,R,P,R,D,,F,,,P,,,,
IR,,,,,181,1119,C,36,X,CC,23.00,338.7800,forams,Planktonic Foraminifers,A,VG,,F,,F,,R,P,R,A,F,F,,,,,,,90% planktics
IR,,,,,181,1119,C,37,X,CC,16.00,343.1600,forams,Planktonic Foraminifers,A,M,,,,,R,P,P,R,D,,,,,,,,,
IR,,,,,181,1119,C,38,X,1,64.00,351.7400,forams,Planktonic Foraminifers,A,M,,R,P,F,,P,,F,D,,R,,,,,,,ooze; also reworked glauconitic specimens
IR,,,,,181,1119,C,38,X,2,100.00,353.6000,forams,Planktonic Foraminifers,F,G,,R,R,R,,,,R,A,F,P,,,,,,,
IR,,,,,181,1119,C,39,X,CC,22.00,363.3900,Hayward,Planktonic Foraminifers,A,M,,,P,,R,,P,,D,,,,,P,,,,
IR,,,,,181,1119,C,41,X,CC,29.00,382.2400,Hayward,Planktonic Foraminifers,A,M,,R,P,,R,P,P,R,A,F,F,,,P,,,,
IR,,,,,181,1119,C,44,X,CC,38.00,418.8500,forams,Planktonic Foraminifers,A,G,,,,,R,,,,D,,R,,,,,,,
IR,,,,,181,1119,C,45,X,CC,13.00,419.3700,forams,Planktonic Foraminifers,A,M,,,P,,R,,P,,D,,R,,P,,,,,
IR,,,,,181,1119,C,46,X,CC,57.00,437.7700,forams,Planktonic Foraminifers,F,G,,,,,P,P,R,,,,P,,P,,,,,
IR,,,,,181,1119,C,47,X,CC,14.00,447.4900,forams,Planktonic Foraminifers,F,G,,F,R,R,R,P,,,,F,A,,,,,,,
IR,,,,,181,1119,C,49,X,CC,27.00,465.5200,forams,Planktonic Foraminifers,F,VG,,,P,F,R,P,P,,,F,A,P,,,,,,
IR,,,,,181,1119,C,50,X,CC,27.00,476.0200,forams,Planktonic Foraminifers,F,VG,P,,R,A,R,P,R,,,F,A,,,,,,,
IR,,,,,181,1119,C,52,X,CC,18.00,494.6200,forams,Planktonic Foraminifers,F,VG,P,F,R,A,R,P,P,R,D,F,A,,,,,,,
