Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Uvigerina spp.,Trifarina angulosa,Sphaeroidina bulloides,Quinqueloculina spp.,Pyrgo anomala,Pullenia bulloides,Oridorsalis umbonatus,Notorotalia spp.,Notorotalia finlayi,Nonionellina flemingi,Lenticulina spp.,Haeuslerella pliocenica,Globocassidulina spp.,Ehrenbergina mestayeri,Discorbinella bertheloti,Cibicidoides spp.,Cassidulina carinata,Bulimina exilis,Bolivinita pliozea,Bolivina spp.,Astrononion novozealandicum,Anomalinoides sphericus,Anomalinoides parvumbilius,Plectofrondicularia advena,Gavelinopsis praegeri,Epistominella exigua,Siphotextularia wairoana,Pullenia quinqueloba,Hoeglundina elegans,Pyrgo spp.,Sigmoilopsis schlumbergeri,Melonis barleeanus,Uvigerina peregrina,Uvigerina auberiana,Sigmoilopsis crs. sp.,Quinqueloculina sp.,Martinottiella sp.,Haeuslerella finlayi,Cibicidoides wuellerstorfi,Cibicidoides pachyderma,Bulimina marginata,Globocassidulina subglobosa,Cassidulina spp.,Rectobolivina striatula,Planulina wuellerstorfi,Nonionella magnalingua,Laticarinina altocamerata,Karreriella cylindrica,Evolvocassidulina orientalis,Discanomalina semipunctata,Dentalina spp.,Elphidium excavatum f. clavatum,Cibicidoides aff. pachyderma,Globobulimina turgida,Cornuspira involvens,Textularia spp.,Oolina spp.,Fissurina spp.,Pyrulina sp.,Plectofrondicularia pellucida,Planulina ariminensis,Pleurostomella spp.,Notorotalia zelandica,Nonionella labradorica,Melonis affinis,Martinottiella communis,Lagena spp.,Pileolina patelliformis,Nonionella sp.,Bolivinita quadrilatera,Heronallenia lingulata,Bolivina affiliata,Comment
IR,,,,,181,1119,C,16,H,8,60.00,150.8700,forams,Benthic Foraminifers,C,G,,,R,,,,T,F,,F,,,,,,F,,,R,,,,,T,R,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
IR,,,,,181,1119,C,17,H,CC,39.00,160.9600,forams,Benthic Foraminifers,R,G,,,,T,T,,,T,,,,,,,,T,T,,,,,,,,,,,,,,,,T,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,gastropods;pelecypod fragments
IR,,,,,181,1119,C,18,X,CC,34.00,169.3800,forams,Benthic Foraminifers,C,VG,,R,R,,,T,T,F,,R,,,F,,,,F,,F,,F,T,T,R,,F,,T,,T,,,R,,,,,,,,,,,,R,,,,,T,,T,,,,T,,,,,,,,,,,,,,F,T,,
IR,,,,,181,1119,C,19,X,CC,42.00,176.2300,forams,Benthic Foraminifers,C,VG,R,R,R,,T,T,T,,,R,,,F,,T,,R,,R,T,F,,,T,,,,,,,,,,,,,,,,,T,,,,,,,,T,,,T,,,,,T,,,,,,F,,,,,,R,T,,,
IR,,,,,181,1119,C,25,X,2,33.00,228.2300,forams,Benthic Foraminifers,A,VG,,R,T,R,T,,,F,,F,,,R,,R,R,R,T,R,,T,,,,,,,T,,,,,R,,,,,,,,R,,,,R,,,,,T,,,,,,,,,,,,,,,,,,T,,,,,
IR,,,,,181,1119,C,25,X,2,123.00,229.1300,forams,Benthic Foraminifers,A,VG,,,T,R,T,T,,T,,,T,,,,,T,,,R,T,,,,,,T,,,,,T,R,R,,,,,,,,T,,,,,,,,,,,,,,,T,T,,,,T,,R,T,T,T,T,,,,,,high diversity;reworked glauconitic shells
IR,,,,,181,1119,C,25,X,2,140.00,229.3000,forams,Benthic Foraminifers,R,VG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,T,,,,,,,,,,,
IR,,,,,181,1119,C,25,X,5,31.00,232.7100,forams,Benthic Foraminifers,,,,R,R,,T,,T,R,,F,,,,,,R,,,T,,R,,,T,,R,,,,,,,T,,,,,,,,R,R,,,T,,,,,,,,,,T,,,R,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,25,X,5,34.00,232.7400,forams,Benthic Foraminifers,R,G,,,R,R,,,,R,,F,,,,,F,R,,,R,,,,,,,F,,,,,,,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,25,X,5,113.00,233.5300,forams,Benthic Foraminifers,F,G,,,T,R,T,,,R,,F,,,,,R,R,R,T,R,,R,,,,,,,,,,,,,,,,,,,,,R,,,T,T,,,T,,,T,,,T,,,,,,,,,,,,,,,,,,
