Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotaloides suteri	Acarinina pentacamerata	Truncorotaloides collactea	Globigerina inaequispira	Globigerina hagni	Acarinina pseudotopilensis	Acarinina interposita	Globigerina praebulloides leroyi	Chiloguembelina cubensis	Globorotalia siakensis	Globorotalia birnageae	Globigerinita uvula	Globigerinita naparimaensis	Globigerina praebulloides praebulloides	Globigerina falconensis	Globigerina angustiumbilicata	Cassigerinella chipolensis	Globorotalia obesa	Globigerinita glutinata	Neogloboquadrina continuosa	Globigerina ouachitaensis	Catapsydrax stainforthi	Globigerina bulloides	Neogloboquadrina incompta	Globorotalia cultrata menardii	Orbulina universa	Orbulina suturalis	Neogloboquadrina pachyderma	Neogloboquadrina dutertrei	Hastigerinopsis riedeli	Globorotaloides hexagona	Globorotalia hirsuta	Globorotalia bermudezi	Globigerina quinqueloba	Globigerina bulbosa	Pulleniatina obliquiloculata	Globorotalia tumida tumida	Globorotalia scitula	Globorotalia pumilio	Globorotalia cultrata cultrata	Globigerinoides trilobus	Globigerinoides cyclostomus	Globigerina rubescens	Neogloboquadrina humerosa	Globigerina umbilicata	Beella digitata	Globigerinoides ruber	Comment
  SR	                 	                 	                  	              	112	 682	A	 35	X	CC	  23.00	    315.4400	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                      	                       	                          	                        	                 	                          	                     	                                	                        	T                     	                      	                   	T                          	A                                      	T                      	A                            	                          	                  	                       	T                          	T                        	T                      	                     	                         	                              	                 	                  	                           	                          	                       	                        	                    	                      	                       	                   	                            	                          	                    	                    	                              	                        	                           	                     	                         	                      	               	                     	from ODP Leg 112 SR Chapter 15 Table 3 p 245

  SR	                 	                 	                  	              	112	 682	A	 38	X	 1	  88.00	    340.5800	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                      	                       	                          	                        	                 	                          	                     	                                	                        	T                     	                      	                   	                           	T                                      	                       	                             	T                         	T                 	T                      	                           	                         	                       	                     	                         	                              	                 	                  	                           	                          	                       	                        	                    	                      	                       	                   	                            	                          	                    	                    	                              	                        	                           	                     	                         	                      	               	                     	from ODP Leg 112 SR Chapter 15 Table 3 p 245

  SR	                 	                 	                  	              	112	 682	A	 38	X	CC	  28.00	    344.7200	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                      	                       	                          	                        	                 	                          	                     	                                	                        	T                     	A                     	T                  	T                          	T                                      	T                      	A                            	T                         	                  	                       	                           	                         	                       	                     	                         	                              	                 	                  	                           	                          	                       	                        	                    	                      	                       	                   	                            	                          	                    	                    	                              	                        	                           	                     	                         	                      	               	                     	from ODP Leg 112 SR Chapter 15 Table 3 p 245

  SR	                 	                 	                  	              	112	 682	A	 44	X	CC	  17.00	    397.2700	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                      	                       	                          	                        	                 	                          	                     	T                               	A                       	                      	                      	                   	                           	                                       	                       	                             	                          	                  	                       	                           	                         	                       	                     	                         	                              	                 	                  	                           	                          	                       	                        	                    	                      	                       	                   	                            	                          	                    	                    	                              	                        	                           	                     	                         	                      	               	                     	from ODP Leg 112 SR Chapter 15 Table 3 p 245

  SR	                 	                 	                  	              	112	 682	A	 46	X	CC	  16.00	    410.1300	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	T                     	T                      	T                         	T                       	T                	T                         	T                    	                                	                        	                      	                      	                   	                           	                                       	                       	                             	                          	                  	                       	                           	                         	                       	                     	                         	                              	                 	                  	                           	                          	                       	                        	                    	                      	                       	                   	                            	                          	                    	                    	                              	                        	                           	                     	                         	                      	               	                     	from ODP Leg 112 SR Chapter 15 Table 3 p 245

  SR	                 	                 	                  	              	112	 682	A	 48	X	CC	  34.00	    427.9300	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	T                     	T                      	                          	                        	                 	                          	                     	                                	                        	                      	                      	                   	                           	                                       	                       	                             	                          	                  	                       	                           	                         	                       	                     	                         	                              	                 	                  	                           	                          	                       	                        	                    	                      	                       	                   	                            	                          	                    	                    	                              	                        	                           	                     	                         	                      	               	                     	from ODP Leg 112 SR Chapter 15 Table 3 p 245

