Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina dirupta,Triloculina sp. A,Stainforthia complanata,Pullenia salisburyi,Pullenia bulloides,Oridorsalis tener,Nonionellina labradorica,Melonis quadalupe,Melonis pompilioides,Melonis barleeanus,Martinottiella sp. A,Gyroidinoides planulatus,Gyroidinoides altiformis,Gyroidina sp. A,Gyroidina gemma,Cibicidoides sp. A,Cibicides kullenbergi,Bolivina pacifica,Valvulineria laevigata,Uvigerina senticosa,Rosalina sp. A,Nonion sp.,Miliolina spp.,Miliolids species,Lagenid taxa,Karreriella sp. A,Globobulimina ovula,Globobulimina affinis,Eponides turgida,Cibicidoides mckannai,Chilostomella oolina,Cassidulina laevigata carinata,Cassidulinoides spp.,Stainforthia rotunda,Sphaeroidina bulloides,Saccammina sp. A,Pyrgo murrhina,Hormosina sp. A,Gyroidina spp.,Eggerella bradyi,Cibicides wuellerstorfi,Bolivina seminuda,Ammodiscus incertus,Agglutinated spp. (indeterminate),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,B,  1,H, 1,   0.00,      0.0000,Brunner  ,Benthic Foraminifers                         ,A              ,G                 ,+                ,+                ,                       ,                   ,                  ,                 ,                        ,                 ,+                   ,                  ,                    ,                        ,+                       ,               ,+              ,                  ,+                    ,+                ,+                     ,+                  ,              ,          ,              ,                 ,            ,                 ,+                  ,+                    ,                ,                     ,+                   ,                              ,                    ,+                   ,+                     ,+               ,+             ,+              ,+             ,+               ,+                      ,+                ,+                  ,+                                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,B,  1,H,CC,  20.00,      3.3400,Brunner  ,Benthic Foraminifers                         ,R              ,M                 ,                 ,                 ,                       ,                   ,                  ,                 ,                        ,                 ,+                   ,                  ,                    ,                        ,                        ,               ,               ,                  ,                     ,                 ,                      ,                   ,              ,          ,              ,                 ,            ,                 ,                   ,                     ,+               ,                     ,                    ,                              ,+                   ,                    ,                      ,                ,              ,               ,              ,                ,                       ,                 ,                   ,                                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,B,  2,H,CC,  27.00,     13.2600,Brunner  ,Benthic Foraminifers                         ,A              ,G                 ,+                ,+                ,+                      ,+                  ,+                 ,                 ,                        ,                 ,+                   ,+                 ,                    ,+                       ,+                       ,+              ,+              ,                  ,                     ,                 ,+                     ,+                  ,+             ,+         ,+             ,+                ,+           ,+                ,+                  ,+                    ,+               ,+                    ,+                   ,+                             ,                    ,                    ,                      ,                ,              ,               ,              ,                ,                       ,                 ,                   ,                                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,B,  3,H,CC,   0.00,     30.6100,Brunner  ,Benthic Foraminifers                         ,A              ,G                 ,+                ,+                ,+                      ,+                  ,+                 ,+                ,+                       ,+                ,+                   ,+                 ,+                   ,+                       ,+                       ,+              ,+              ,+                 ,+                    ,+                ,                      ,                   ,              ,          ,              ,                 ,            ,                 ,                   ,                     ,                ,                     ,                    ,                              ,                    ,                    ,                      ,                ,              ,               ,              ,                ,                       ,                 ,                   ,                                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
