Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus aff. ciperoensis,Reticulofenestra umbilica,Markalius inversus,Holococcolith type A,Helicosphaera compacta,Ericsonia obruta,Discoaster tanii,Discoaster deflandrei,Discoaster barbadiensis,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus eopelagicus,Coronocyclus nitescens,Zygrhablithus bijugatus,Ericsonia subdisticha,Discoaster nodifer,Discoaster adamanteus,Calcidiscus kingii,Coccolithus miopelagicus,Triquetrorhabdulus milowii,Triquetrorhabdulus carinatus,Sphenolithus ciperoensis,Cyclicargolithus abisectus,Sphenolithus aff. distentus,Ericsonia formosa,Discoaster saipanensis,Bramletteius serraculoides,Braarudosphaera bigelowii,Pedinocyclus larvalis,Helicosphaera reticulata,Helicosphaera perch-nielseniae,Crassidiscus backmanii,Coccolithus fuscus,Catinaster umbrellus,Sphenolithus dissimilis,Helicosphaera euphratis,Sphenolithus conicus,Sphenolith (unspecified taxon or taxa),Pontosphaera spp.,Cyclicargolithus abisectus (> 10 microns),Cyclicargolithus abisectus (< 10 microns),Clausicoccus fenestratus,Ilselithina fusa,Discoaster woodringii,Discoaster extensus-dilatus group,Thoracosphaera spp.,Discoaster aff. druggii,Reticulofenestrid taxa,Discoaster moorei,Sphenolithus delphix,Sphenolithus capricornutus,Reticulofenestra daviesii,Hayella cf. aperta,Helicosphaera recta,Coccolithus formosus,Discoaster multiradiatus,Discoaster druggii,Sphenolithus dissimilis/belemnos,Sphenolithus calyculus,Triquetrorhabdulus serratus,Sphenolithus belemnos,Dictyococcites spp.,Ceratolithus cristatus,Coccolithus radiatus,Triquetrorhabdulus auritus,Discoaster variabilis,Discoaster musicus,Calcidiscus leptoporus,Sphenolithus heteromorphus,Discoaster exilis,Helicosphaera carteri,Triquetrorhabdulus curvus,Discoaster formosus,Discoaster signus-tuberi,Discoaster brouweri,Calcidiscus premacintyrei,Discoaster intercalaris,Discoaster bollii,Triquetrorhabdulus rugosus/rioensis,Reticulofenestra pseudoumbilicus,Discoaster pansus,Discoaster kugleri,Calcidiscus macintyrei,Discoaster aulakos,Catinaster coalitus,Discoaster pseudovariabilis,Discoaster calcaris,Discoaster aff. intercalaris,Discoaster bellus,Discoaster neohamatus,Discoaster hamatus,Discoaster asymmetricus,Catinaster calyculus,Minylitha convallis,Discoaster surculus,Discoaster prepentaradiatus,Discoaster pentaradiatus,Discoaster sp. 1,Discoaster icarus,Catinaster spp.,Discoaster triradiatus,Discoaster challengeri,Discoaster quinqueramus/berggrenii,Discoaster tamalis,Discoaster sp. 2,Amaurolithus primus,Amaurolithus amplificus,Amaurolithus delicatus,Syracosphaera spp.,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus rugosus,Amaurolithus tricorniculatus,Discoaster tristellifer,Pseudoemiliania lacunosa,Gephyrocapsa (small),Gephyrocapsa oceanica s.l.,Helicosphaera sellii,Gephyrocapsa (large),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 708,A,  3,H, 5,   9.00,     24.6900,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,                                      ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,F                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,                      ,                    ,                          ,                     ,                  ,C                     ,                          ,                 ,C                    ,                         ,                   ,                        ,F                  ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,R                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,R                  ,                           ,R                       ,                ,                 ,               ,                      ,                      ,                                  ,R                 ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,C                       ,A                   ,                          ,F                   ,R                   ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 708,A,  3,H, 6,  51.00,     26.6100,Rio      ,Nannofossils                                 ,A              ,G                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,                                      ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,F                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,                      ,                    ,                          ,                     ,                  ,A                     ,                          ,                 ,C                    ,                         ,                   ,                        ,F                  ,                         ,R                      ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,R                       ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,A                       ,C                   ,                          ,F                   ,F                   ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 708,A,  3,H,CC,  14.00,     28.2000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,                                      ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,R                     ,                    ,                          ,                     ,                  ,C                     ,                          ,                 ,F                    ,                         ,                   ,                        ,R                  ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,R                  ,                           ,                        ,                ,                 ,               ,R                     ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,A                       ,C                   ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 708,A,  4,H, 2, 130.00,     30.9000,Rio      ,Nannofossils                                 ,A              ,G                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,                     ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,                                      ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,F                  ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,C                     ,                    ,                          ,                     ,                  ,A                     ,                          ,                 ,C                    ,                         ,                   ,                        ,F                  ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,F                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,R                      ,                    ,                   ,                   ,                           ,R                       ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,A                       ,C                   ,                          ,R                   ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
