Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Orbulina suturalis,Globoturborotalita woodi,Globorotaloides variabilis,Globorotalia praescitula,Globorotalia praemenardii,Globorotalia mayeri,Globoquadrina venezuelana,Globigerinoides subquadratus,Globigerinoides sacculifer,Globigerinita glutinata,Globigerinella praesiphonifera,Globigerinella obesa,Fohsella fohsi,Dentoglobigerina altispira,Globigerinoides mitra,Globigerina bulloides,Fohsella praefohsi,Fohsella lenguaensis,Globorotaloides hexagona,Globoquadrina dehiscens,Globigerinoides obliquus,Globoturborotalita apertura,Globigerinita uvula,Clavatorella bermudezi,Sphaeroidinellopsis disjuncta,Orbulina universa,Globorotalia menardii,Globoturborotalita decoraperta,Globorotalia scitula,Globorotalia panda,Globigerinella pseudobesa,Neogloboquadrina nympha,Neogloboquadrina humerosa,Globorotalia limbata,Globoturborotalita druryi,Globorotalia miozea,Globoturborotalita nepenthes,Globigerinoides bollii,Globigerinella aequilateralis,Globorotalia siakensis,Candeina nitida,Globorotalia merotumida,Neogloboquadrina acostaensis,Globorotalia plesiotumida,Beella praedigitata,Orbulina bilobata,Globorotalia cibaoensis,Neogloboquadrina dutertrei,Globorotalia juanai,Globigerinoides seigliei,Globorotalia margaritae,Globigerinoides extremus,Globigerinoides bulloideus,Sphaeroidinellopsis paenedehiscens,Globorotalia tumida,Sphaeroidinella dehiscens,Globigerinoides conglobatus,Neogloboquadrina pachyderma (sinistral),Pulleniatina primalis,Globorotalia crassaformis,Globorotalia multicamerata,Globorotalia exilis,Pulleniatina praecursor,Pulleniatina obliquiloculata,Globorotalia pseudomiocenica,Globigerinoides ruber,Globorotalia puncticulata,Globorotalia miocenica,Globorotalia triangula,Globorotalia pertenuis,Globorotalia hirsuta,Globorotalia inflata,Globigerinoides sacculifer fistulosus,Globorotalia theyeri,Beella digitata,Globoturborotalita rubescens,Neogloboquadrina pachyderma (dextral),Globorotalia crassula,Globorotalia truncatulinoides,Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  1,H,CC,  19.00,      4.8500,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,rR                       ,                            ,C                         ,F                      ,                              ,                    ,              ,                          ,                     ,                     ,                  ,                    ,R                       ,                       ,                        ,                           ,                   ,                      ,                             ,F                ,?                    ,                              ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,                      ,R                            ,                      ,               ,                       ,                            ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,                        ,                          ,                                  ,A                  ,                         ,R                          ,                                       ,                     ,R                        ,                          ,                   ,                       ,R                           ,                            ,F                    ,                         ,                      ,                      ,                      ,                    ,R                   ,                                     ,                    ,R              ,                            ,                                     ,                     ,R                            ,R                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  2,H,CC,  19.00,     14.8800,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,C                         ,F                      ,                              ,                    ,              ,                          ,                     ,R                    ,                  ,                    ,R                       ,                       ,                        ,                           ,                   ,                      ,                             ,R                ,?                    ,                              ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,F                     ,R                            ,                      ,               ,                       ,                            ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,                        ,                          ,                                  ,R                  ,F                        ,R                          ,                                       ,                     ,F                        ,                          ,                   ,                       ,R                           ,                            ,C                    ,                         ,                      ,                      ,                      ,                    ,R                   ,                                     ,R                   ,               ,R                           ,F                                    ,R                    ,R                            ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  3,H, 5,  55.00,     21.0500,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,A                         ,F                      ,R                             ,                    ,              ,                          ,                     ,R                    ,                  ,                    ,                        ,                       ,                        ,                           ,                   ,                      ,                             ,F                ,                     ,                              ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,R                     ,R                            ,                      ,               ,                       ,                            ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,                        ,                          ,                                  ,                   ,F                        ,R                          ,                                       ,                     ,                         ,                          ,                   ,                       ,                            ,                            ,C                    ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,                    ,R              ,                            ,C                                    ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  3,H, 6,  55.00,     22.5500,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,F                         ,R                      ,                              ,                    ,              ,                          ,                     ,R                    ,                  ,                    ,                        ,                       ,                        ,                           ,                   ,                      ,                             ,F                ,                     ,                              ,F                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,                      ,R                            ,                      ,               ,                       ,                            ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,                        ,                          ,                                  ,                   ,F                        ,R                          ,                                       ,                     ,                         ,                          ,                   ,                       ,R                           ,                            ,A                    ,                         ,                      ,R                     ,                      ,                    ,F                   ,                                     ,                    ,               ,                            ,F                                    ,F                    ,                             ,                     ,       
