Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zelkova taxa	Ulmus taxa	Tsuga taxa	Tilia taxa	Taxodiaceae taxa	Quercus (evergreen) taxa	Quercus (deciduous)  taxa	Pterocarya taxa	Pinus taxa	Picea taxa	Pasania  taxa	Metasequoia  taxa	Liquidambar taxa	Larix taxa	Fagus taxa	Ephedra taxa	Engelhardia taxa	Cunninghamia taxa	Corylus taxa	Castanea taxa	Carya taxa	Carpinus taxa	Betula taxa	Alnus taxa	Acer taxa	Trapa taxa	Juglans taxa	Ericaceae taxa	Cupressaceae taxa	Abies taxa	Fupingopollenites taxa	Gramineae taxa	Dacrydium taxa	Chenopodiaceae taxa	Myrica taxa	Cichorioideae taxa	Weigela taxa	Ginkgo taxa	Elaeagnus taxa	Aesculus  taxa	Persicaria taxa	Carduoideae  taxa	Artemisia taxa	Comment



  SR	                 	                 	                  	              	127	 795	B	  1	R	 1	 134.00	    366.5400	Yamanoi  	Pollen/Spores                                	               	                  	3.0%        	3.5%      	12        	2.0%      	31.5%           	                        	5.0%                     	3.0%           	28        	30        	             	                 	.5%             	1.5%      	18.0%     	            	2.5%            	                 	1.0%        	             	.5%       	1.5%         	2.0%       	11.0%     	         	          	            	              	                 	4         	                      	              	              	1.0%               	           	                  	            	           	              	              	               	.5%              	9.0%          	in assemblage of 100 grains others indicated-26 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478

  SR	                 	                 	                  	              	127	 795	B	  8	R	 1	  54.00	    433.3400	Yamanoi  	Pollen/Spores                                	               	                  	.5%         	8.0%      	11        	1.5%      	15.5%           	1.5%                    	6.5%                     	7.0%           	22        	50        	.5%          	.5%              	.5%             	18.5%     	11.5%     	1.0%        	1.5%            	                 	2.0%        	.5%          	1.5%      	11.0%        	3.5%       	3.0%      	1.0%     	          	1.0%        	              	1.0%             	          	                      	              	              	.5%                	           	                  	            	           	              	              	               	                 	.5%           	in assemblage of 100 grains others indicated-17 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478

  SR	                 	                 	                  	              	127	 795	B	  9	R	 2	 133.00	    445.2300	Yamanoi  	Pollen/Spores                                	               	                  	1.5%        	6.5%      	20        	1.5%      	14.5%           	2.0%                    	6.5%                     	6.0%           	9         	61        	             	.5%              	.5%             	29.0%     	8.5%      	1.0%        	1.5%            	                 	            	2.0%         	6.0%      	6.0%         	1.0%       	3.5%      	.5%      	          	            	              	1.5%             	4         	                      	              	              	                   	           	                  	            	           	              	              	               	                 	              	in assemblage of 100 grains others indicated-6 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478

  SR	                 	                 	                  	              	127	 795	B	 10	R	 2	  80.00	    454.3000	Yamanoi  	Pollen/Spores                                	               	                  	1.5%        	4.5%      	14        	          	38.5%           	4.5%                    	8.0%                     	5.5%           	13        	16        	             	.5%              	1.0%            	.5%       	12.5%     	.5%         	1.0%            	                 	1.5%        	2.5%         	4.0%      	5.5%         	           	7.5%      	.5%      	          	            	              	                 	3         	                      	              	              	                   	           	                  	            	           	              	              	               	                 	              	in assemblage of 100 grains others indicated-54 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478
