Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spirosigmoilinella compressa	Rhabdammina spp.	Martinottiella sp. A	Hippocrepinella(?) sp.	Eggerella bradyi	Cyclammina cf. japonica	Cribrostomoides cf. crassimargo	Bathysiphon spp.	Ammobaculites spp.	Cyclammina? sp.	Cyclammina sp.	Ammosphaeroidina spp.	Ammodiscus tenuis	Ammodiscus macilentus	Martinottiella communis	Agglutinated spp. (indeterminate)	Bermudezina aminaensis	Martinottiella nodulosa	Lenticulina spp.	Haplophragmoides sp. C	Oridorsalis umbonatus	Oolina sp. A	Cibicidoides sp.	Cibicidoides bradyi	Uvigerina proboscidea	Trochammina cf. globigeriniformis	Stilostomella sp.	Sphaeroidina japonica	Schizammina sp.           	Saccammina cf. sphaerica	Reophax spp.	Quinqueloculina sp.	Pyrgo sp.	Pullenia salisburyi	Oolina sp.	Marginulina sp.	Haplophragmoides sp.	Gyroidinoides planulatus	Gyroidina orbicularis	Globobulimina pupoides	Globobulimina perversa	Glandulina cf. nipponica	Elphidium cf. perforatum	Cyclammina cancellata	Cribrostomoides sp.	Cibicidoides wuellerstorfi	Bulimina striata	Bulimina rostrata	Uvigerina hispida	Pseudoparrella sp. A	Oridorsalis tener	Haplophragmoides spp.	Gyroidina tumidulus	Globobulimina auriculata	Elphidium subincertum	Eilohedra rotunda	Eggerella sp. A	Cibicides wuellerstorfi	Cibicides sp. A	Ammodiscus incertus	Sphaeroidina sp.	Pullenia bulloides	Fissurina sp. A	Fissurina marginata (compressed)	Elphidium sp.	Discammina sp.	Valvulineria sp.	Textularia candeiana	Sphaeroidina spp.	Sphaeroidina bulloides	Quinqueloculina akneriana	Parafissurina cf. P. curta	Nonionella spp.	Nodosariid taxa	Miliolinella sp. A	Miliammina echigoensis	Lenticulina sp. A	Lenticulina lucidus	Lagena elongata	Gyroidina sp. A	Gyroidina lamarckiana	Globobulimina cf. G. pacifica	Fissurina kerguelenensis	Cibicides spp.	Cibicides sp. B	Cibicides aknerianus	Calcareous sp. indeterminate	Thalmannammina cf. parkerae	Trochammina(?) sp.	Pullenia quinqueloba	Proteonina compressa	Melonis nicobarense	Globobulimina sp.	Fissurina marginata	Melonis pompilioides	Thalmannammina(?) sp.	Pyrgo(?) sp.	Oolina sp. B	Nodosaria sp.	Fissurina spp.	Uvigerina senticosa	Quadrimorphina sp.	Astrononion sp.	Anomalinoides sp.	Haplophragmoides(?) sp.	Discammina compressa	Reophax(?) sp.	Elphidium cf. bartletti	Ammodiscus sp. A	Plectina nipponica	Trochammina sp.	Cyclammina spp.	Cyclammina cf. C. tani	Textularia sp.	Proteonina cf. compressa	Pullenia spp.	Technitella sp.	Hippocrepinella variabilis	Cyclammina ezoensis	Cyclammina pusilla	Haplophragmoides compressum	Hormosina sp.	Haplophragmoides sp. F	Haplophragmoides sp. E	Ammodiscus sp. B	Cyclammina orbicularis	Karreriella sp. A	Haplophragmoides sp. G	Haplophragmoides sp. B	Gyroidina sp. B 	Globocassidulina subglobosa	Ammodiscus sp. C	Quinqueloculina spp.	Gyroidina soldanii	Eggerella sp. B	Cibicides sp. C	Globocassidulina globosa	Haplophragmoides sp. A	Ammodiscus spp.	Ammovertellina sp.	Comment



  SR	                 	                 	                  	              	127	 795	B	  7	R	 1	  67.00	    423.7700	Brunner  	Benthic Foraminifers                         	               	                  	                            	                	                    	                      	                	                       	                               	                	                  	               	              	                     	                 	                     	                       	                                 	                      	                       	                	8                     	                     	            	                	                   	                     	                                 	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	                     	                   	                          	                	                 	                 	                    	                 	                     	                   	                        	                     	                 	               	                       	               	                   	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	                            	                           	                  	                    	                    	                   	                 	                   	                    	                     	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	                	                  	               	3              	                      	              	                        	             	               	                          	                   	                  	4                          	             	                      	                      	                	                      	                 	                      	                      	                	                           	                	                    	                  	               	               	                        	                      	4              	                  	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	B	  8	R	 1	 143.00	    434.2300	Brunner  	Benthic Foraminifers                         	               	                  	                            	                	                    	                      	                	                       	                               	                	                  	               	              	                     	                 	                     	                       	                                 	                      	4                      	                	                      	                     	            	                	                   	                     	                                 	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	                     	                   	                          	                	                 	                 	                    	                 	                     	                   	                        	                     	                 	               	                       	               	                   	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	                            	                           	                  	                    	                    	                   	                 	                   	                    	                     	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	                	                  	               	               	                      	              	                        	             	               	                          	                   	                  	                           	             	                      	                      	                	                      	                 	                      	                      	                	                           	                	                    	                  	               	               	                        	                      	               	                  	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	Late Miocene     	                 	                  	              	127	 795	B	  9	R	 3	  71.00	    446.1100	Nomura   	Benthic Foraminifers                         	               	                  	                            	                	39.4%               	                      	                	                       	                               	+               	                  	               	21.2%         	                     	                 	                     	                       	                                 	                      	                       	                	                      	                     	            	                	                   	                     	                                 	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	15.2%                	                   	                          	                	                 	                 	                    	                 	                     	                   	                        	                     	                 	               	                       	               	                   	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	                            	                           	                  	                    	                    	                   	                 	                   	                    	                     	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	                	                  	               	               	                      	              	                        	             	               	                          	                   	                  	                           	             	                      	                      	                	                      	                 	                      	                      	                	                           	                	                    	                  	               	               	                        	                      	               	                  	Miscellaneous taxa = 24.2% ; from ODP Legs 127&128 SR Chapter 29 Table 2 p 500-505

  SR	                 	                 	                  	              	127	 795	B	  9	R	CC	  17.00	    446.5200	Brunner  	Benthic Foraminifers                         	               	                  	                            	                	                    	                      	                	                       	                               	                	                  	               	              	                     	                 	                     	                       	                                 	                      	3                      	                	                      	                     	            	                	                   	                     	                                 	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	                     	                   	                          	                	                 	                 	                    	                 	                     	                   	                        	                     	                 	               	                       	               	                   	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	                            	                           	                  	                    	                    	                   	                 	                   	                    	                     	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	                	                  	               	               	                      	              	                        	             	               	                          	                   	                  	                           	             	                      	                      	                	                      	                 	                      	                      	                	                           	                	                    	                  	               	               	                        	                      	               	                  	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197
