Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis paenedehiscens	Pulleniatina praecursor	Orbulina universa	Neogloboquadrina humerosa	Globorotaloides hexagona	Globorotalia scitula	Globorotalia puncticulata	Globorotalia miocenica	Globorotalia limbata	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides obliquus obliquus	Globigerinoides obliquus extremus	Globigerinella aequilateralis	Pulleniatina primalis	Globorotalia multicamerata	Globigerinoides conglobatus	Sphaeroidinellopsis kochi	Neogloboquadrina pseudopima	Neogloboquadrina pachyderma (dextral)	Globorotalia crassula	Globorotalia crassaformis crassaformis	Globigerinoides ruber (white)	Globigerinita glutinata	Globigerina apertura	Sphaeroidinella dehiscens	Neogloboquadrina acostaensis (dextral)	Globigerina decoraperta	Globigerinoides fistulosus	Globorotalia exilis	Globigerinoides sp. cf. G. fistulosus	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Globorotalia menardii	Globorotalia inflata	Globigerina bulloides	Globorotalia tumida tumida	Globigerinoides tenellus	Globorotalia truncatulinoides	Globigerinoides ruber (pink)	Globigerinella calida	Globigerina rubescens	Globorotalia crassaformis hessi	Globorotalia tumida flexuosa	Beella digitata	Comment



  SR	                 	                 	G. truncatulinoides	              	108	 665	A	  1	H	CC	  12.00	      2.8500	Weaver   	Planktonic Foraminifers                      	C              	P                 	                              	                                  	                       	R                	                         	                        	R                   	                         	                      	                    	                       	F                       	F                         	                                 	                                 	F                            	                     	                          	R                          	                         	                           	F                                    	                     	R                                     	F                            	                       	                    	                         	                                      	                       	                          	                   	                                     	R                           	A                         	R                    	F                   	R                    	R                         	                        	R                            	                            	                     	                     	                               	R                           	R              	from ODP Leg 108 SR Chapter 5 Table 14 p 88

  SR	                 	                 	G. truncatulinoides	              	108	 665	A	  2	H	CC	   6.00	     12.4400	Weaver   	Planktonic Foraminifers                      	C              	P                 	                              	                                  	                       	R                	                         	                        	                    	                         	                      	                    	                       	C                       	F                         	                                 	                                 	R                            	                     	                          	R                          	                         	                           	F                                    	                     	                                      	F                            	                       	                    	                         	                                      	                       	                          	                   	                                     	                            	A                         	R                    	C                   	                     	F                         	                        	R                            	                            	                     	                     	R                              	                            	               	from ODP Leg 108 SR Chapter 5 Table 14 p 88

  SR	                 	                 	G. truncatulinoides	              	108	 665	A	  3	H	CC	  13.00	     22.1400	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                                  	                       	R                	                         	R                       	R                   	                         	                      	                    	                       	F                       	F                         	                                 	                                 	R                            	                     	                          	R                          	                         	                           	R                                    	                     	                                      	C                            	C                      	                    	R                        	                                      	                       	                          	                   	                                     	F                           	C                         	R                    	                    	R                    	                          	                        	R                            	R                           	R                    	R                    	                               	                            	               	from ODP Leg 108 SR Chapter 5 Table 14 p 88

  SR	                 	                 	G. truncatulinoides	              	108	 665	A	  4	H	CC	  21.00	     31.7100	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                                  	                       	R                	                         	                        	R                   	                         	                      	                    	                       	F                       	R                         	                                 	                                 	R                            	                     	                          	                           	                         	                           	                                     	                     	                                      	A                            	R                      	                    	R                        	                                      	                       	                          	                   	                                     	R                           	C                         	R                    	                    	                     	F                         	R                       	                             	                            	                     	                     	                               	                            	               	from ODP Leg 108 SR Chapter 5 Table 14 p 88
