Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia crassaformis crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 946,A,  1,H, 1,   0.00,      0.0000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,C                           ,C                         ,-                   ,-                           ,F                  ,R                            ,-                     ,F                    ,-                   ,F                     ,F                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,A                            ,C                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 946,A,  1,H,CC,   5.00,      6.9500,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,C                           ,-                         ,-                   ,-                           ,-                  ,F                            ,-                     ,R                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,C                            ,R                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 946,A,  2,H,CC,   0.00,     16.2500,Showers  ,Planktonic Foraminifers                      ,               ,G                 ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,R                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 946,A,  3,H,CC,   2.00,     26.2000,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,R                                ,R                                  ,R                            ,R                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
