Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Helicosphaera carteri,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN21          ,180,1109,B,  1,H,CC,  26.00,      5.2600,Takahashi,Nannofossils                                 ,A              ,VG                ,                     ,A                    ,                         ,C                ,F                     ,       
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN21          ,180,1109,B,  2,H,CC,  24.00,     15.1300,Takahashi,Nannofossils                                 ,A              ,G                 ,F                    ,A                    ,C                        ,C                ,C                     ,       
,,,,,,,,,,,,,,,,,,,,,,
