Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata	Globorotalia truncatulinoides	Globorotalia inflata	Globigerinoides ruber	Globorotalia menardii	Globorotalia crassaformis	Neogloboquadrina dutertrei	Sphaeroidinella dehiscens	Globorotalia tumida	Globigerinoides conglobatus	Globigerinoides ruber (pink)	Comment



  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1144	B	 11	H	CC	  14.00	     95.1100	forams   	Planktonic Foraminifers                      	A              	VG                	A                           	P                            	                    	A                    	                     	                         	A                         	                         	                   	                           	                            	<0.12 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1144	B	 12	H	CC	   9.00	    104.6900	forams   	Planktonic Foraminifers                      	A              	VG                	F                           	R                            	                    	                     	F                    	                         	A                         	                         	                   	                           	A                           	>0.12 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1144	B	 24	X	CC	  44.00	    218.1300	forams   	Planktonic Foraminifers                      	A              	VG                	R                           	F                            	F                   	A                    	                     	P                        	F                         	                         	R                  	R                          	R                           	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1144	B	 25	X	CC	  31.00	    228.4000	forams   	Planktonic Foraminifers                      	A              	VG                	R                           	                             	R                   	A                    	                     	                         	A                         	                         	R                  	R                          	                            	>0.40 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1144	B	 26	X	CC	  25.00	    235.0500	forams   	Planktonic Foraminifers                      	A              	VG                	R                           	                             	F                   	A                    	                     	                         	F                         	                         	                   	R                          	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1144	B	 27	X	CC	  28.00	    243.7800	forams   	Planktonic Foraminifers                      	A              	VG                	R                           	F                            	F                   	                     	                     	                         	F                         	R                        	R                  	R                          	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1144	B	 28	X	CC	  48.00	    253.3700	forams   	Planktonic Foraminifers                      	A              	VG                	R                           	R                            	F                   	A                    	                     	                         	A                         	P                        	R                  	P                          	                            	       

  IR	                 	                 	                  	              	184	1144	B	 34	X	CC	  45.00	    311.7500	forams   	Planktonic Foraminifers                      	               	                  	F                           	P                            	A                   	A                    	                     	                         	F                         	                         	                   	                           	                            	<0.62 Ma

  IR	                 	                 	                  	              	184	1144	B	 35	X	CC	  52.00	    321.2900	forams   	Planktonic Foraminifers                      	               	                  	A                           	P                            	R                   	A                    	                     	P                        	                          	                         	                   	                           	                            	>0.62 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1144	B	 36	X	CC	  30.00	    330.9600	forams   	Planktonic Foraminifers                      	A              	VG                	A                           	P                            	                    	A                    	R                    	                         	                          	                         	                   	                           	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1144	B	 37	X	CC	  29.00	    340.5300	forams   	Planktonic Foraminifers                      	A              	VG                	R                           	P                            	A                   	F                    	                     	                         	                          	                         	                   	                           	                            	       

