Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum speculum	Dictyocha perlaevis perlaevis	Dictyocha messanensis stapedia	Dictyocha messaensis aspinosa	Mesocena quadrangula	Distephanus speculum  pentagonus	Distephanus crux crux	Dictyocha varia	Distephanus speculum speculum f. septenarius	Distephanus speculum aculeatus	Dictyocha messaensis m. aspinosa	Distephanus speculum tenuis	Cannopilus hemisphaericus	Naviculopsis biapiculata	Dictyocha fibula fibula	Distephanus speculum giganteus	Paramesocena circulus circulus	Corbisema triacantha	Dictyocha messanensis aculeata	Distephanus bioctonarius bioctonarius	Comment



  SR	Pleistocene      	                 	D. mess. aculeata 	              	112	 688	A	  1	H	CC	   0.00	      8.3000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	R                             	                             	                    	                                	                     	               	                                            	                              	C                               	                           	                         	                        	                       	                              	                              	                    	                              	R                                    	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	D. mess. aculeata 	              	112	 688	A	  2	H	CC	  17.00	     18.0500	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                             	R                             	                             	                    	                                	                     	               	                                            	                              	F                               	                           	                         	                        	                       	                              	                              	                    	R                             	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	D. mess. aculeata 	              	112	 688	A	  3	H	CC	  15.00	     27.7200	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	R                             	                             	                    	                                	                     	               	                                            	r                             	C                               	                           	                         	                        	                       	                              	                              	                    	R                             	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	D. mess. aculeata 	              	112	 688	A	  4	H	CC	  33.00	     37.1900	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	F                            	                             	F                             	                             	                    	                                	                     	r              	                                            	r                             	F                               	                           	                         	                        	r                      	                              	                              	                    	                              	R                                    	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	D. mess. aculeata 	              	112	 688	A	  5	H	CC	  20.00	     46.5500	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	F                             	                             	                    	                                	                     	               	                                            	                              	F                               	                           	                         	                        	                       	                              	                              	                    	                              	R                                    	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	D. mess. aculeata 	              	112	 688	A	  6	H	CC	   9.00	     56.3000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	F                             	                             	                    	                                	                     	r              	R                                           	                              	F                               	                           	                         	                        	                       	                              	                              	                    	R                             	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

