Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra haqii,Coronocyclus nitescens,Sphenolithus moriformis,Discoaster spp.,Cyclicargolithus floridanus,Coccolithus pelagicus,Umbilicosphaera rotula,Triquetrorhabdulus milowii,Reticulofenestra minuta,Orthorhabdus serratus,Helicosphaera spp.,Hayella challengeri,Discoaster deflandrei,Cryptococcolithus mediaperforatus,Calcidiscus leptoporus,Amaurolithus primus,Reticulofenestra pseudoumbilica (>7microns),Pontosphaera multipora,Helicosphaera intermedia,Discoaster kugleri,Discoaster challengeri,Coccolithus miopelagicus,Calcidiscus premacintyrei,Sphenolithus spp.,Sphenolithus grandis,Umbilicosphaera jafari,Helicosphaera carteri,Discoaster exilis,Sphenolithus abies,Helicosphaera orientalis,Calcidiscus macintyrei,Helicosphaera granulata,Discoaster bollii,Catinaster coalitus,Calcidiscus tropicus,Scapholithus fossilis,Discoaster braarudii,Discoaster pansus,Catinaster calyculus,Catinaster spp.,Discoaster calcaris,Discoaster subsurculus,Discoaster hamatus,Discoaster prepentaradiatus,Discoaster pentaradiatus,Discoaster bellus,Discoaster variabilis,Discoaster neorectus,Discoaster quinqueramus,Discoaster bergenii,Discoaster surculus,Discoaster berggrenii,Scyphosphaera pulcherrima,Discoaster triradiatus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus amplificus,Angulolithina arca,Florisphaera profunda,Discoaster brouweri,Scyphosphaera ventriosa,Scyphosphaera tubifera,Scyphosphaera globulata,Gephyrocapsa spp. (small),Discoaster asymmetricus,Pseudoemiliania ovata,Reticulofenestra minutula,Pseudoemiliania lacunosa,Ceratolithus cristatus,Sphenolithus heteromorphus,Pontosphaera japonica,Discoaster tamalis,Coccolithus pelagicus (with bar),Umbilicosphaera sibogae var. sibogae,Gephyrocapsa muellerae,Cyclolithus annulus,Umbilicosphaera sibogae var. foliosa,Syracosphaera pulchra,Pontosphaera discopora,Helicosphaera sellii,Helicosphaera carteri var. walichii,Gephyrocapsa oceanica,Syracosphaera spp.,Reticulofenestra asanoi,Gephyrocapsa caribbeanica,Rhabdosphaera clavigera var. stylifera,Oolithotus fragilis,Reticulofenestra spp.,Holodiscolithus macroporus,Emiliania huxleyi,Gephyrocapsa large,Umbellosphaera tenuis,Braarudosphaera bigelowii,Solidopons petrae,Umbilicosphaera hulburtiana,Ceratolithus cristatus var. telesmus,Rhabdosphaera clavigera,Gephyrocapsa ericsonii,Helicosphaera inversa,Neosphaera coccolithomorpha,Umbellosphaera irregularis,Sphenolithus spiniger,Reticulofenestra bisecta,Discoaster barbadiensis,Braarudosphaera sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,CN12d             ,              ,190,1174,B,  1,R, 1,  20.00,    143.9000,Goll     ,Nannofossils                                 ,               ,                  ,                                           ,                      ,                      ,                       ,               ,                           ,T                    ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,                      ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,                 ,                    ,                      ,                     ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,                     ,                   ,                       ,                      ,                       ,                         ,                       ,                     ,                         ,                        ,                      ,                          ,                     ,                  ,                                ,                                    ,                      ,                   ,                                    ,                     ,                      ,                    ,                                   ,                     ,                  ,                       ,                         ,                                      ,                   ,                     ,                          ,                 ,                  ,                     ,                         ,                 ,                           ,                                    ,                       ,                      ,                     ,                           ,                          ,?                    ,R                       ,F                      ,D                  ,Test 2. May 7 2003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1174,B,  1,R, 6,  75.00,    149.3800,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                                           ,                      ,                      ,                       ,               ,                           ,                     ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,C                     ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,                 ,                    ,                      ,C                    ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,A                    ,                   ,                       ,                      ,                       ,A                        ,                       ,                     ,                         ,                        ,                      ,                          ,                     ,                  ,                                ,C                                   ,A                     ,                   ,                                    ,                     ,                      ,                    ,C                                  ,A                    ,                  ,                       ,                         ,                                      ,                   ,                     ,                          ,A                ,                  ,                     ,                         ,                 ,                           ,                                    ,                       ,                      ,                     ,                           ,                          ,                     ,                        ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1174,B,  1,R, 7,  45.00,    150.5800,nannos   ,Nannofossils                                 ,F              ,P                 ,                                           ,                      ,                      ,                       ,R              ,                           ,                     ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,                      ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,C                ,                    ,                      ,C                    ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,C                    ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,C                    ,                   ,                       ,                      ,                       ,C                        ,                       ,                     ,                         ,                        ,                      ,                          ,                     ,                  ,                                ,                                    ,A                     ,                   ,                                    ,                     ,                      ,                    ,C                                  ,A                    ,C                 ,                       ,C                        ,                                      ,                   ,                     ,                          ,A                ,                  ,                     ,                         ,                 ,                           ,                                    ,                       ,                      ,                     ,                           ,                          ,                     ,                        ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1174,B,  2,R,CC,  11.00,    150.6900,nannos   ,Nannofossils                                 ,C              ,M                 ,                                           ,                      ,                      ,                       ,               ,                           ,F                    ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,C                     ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,                 ,                    ,                      ,F                    ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,F                    ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,A                    ,                   ,                       ,                      ,                       ,C                        ,                       ,                     ,                         ,                        ,                      ,                          ,                     ,                  ,R                               ,C                                   ,C                     ,F                  ,F                                   ,                     ,                      ,                    ,                                   ,A                    ,C                 ,                       ,                         ,                                      ,                   ,                     ,                          ,A                ,                  ,F                    ,                         ,                 ,                           ,                                    ,C                      ,                      ,                     ,                           ,                          ,                     ,                        ,                       ,                   ,       
