Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeugrhabdotus elegans	Watznaueria barnesae	Vekshinella stradnerii	Vekshinella angusta	Tranolithus phacelosus	Stradneria crenulata	Seribiscutum primitivum	Quadrum gartneri	Prediscosphaera spinosa	Prediscosphaera intercisa	Placozygus fibuliformis	Monomarginatus spp.	Kamptnerius magnificus	Glaukolithus compactus	Gartnerago obliquum	Eprolithus floralis	Eiffellithus turriseiffelii	Eiffellithus eximius	Cretarhabdus loriei	Cretarhabdus conicus	Chiastozygus litterarius	Broinsonia dentata	Biscutum constans	Ahmuellerella octoradiata	Zeugrhabdotus acanthus	Biscutum dissimilis	Rhagodiscus angustus	Prediscosphaera ponticula	Lithastrinus septenarius	Zeugrhabdotus pseudanthophorus	Reinhardtites anthophorus	Micula sp. cf. M. decussata	Micula decussata	Helicolithus trabeculatus	Broinsonia enormis	Sollasites lowei	Lucianorhabdus maleformis	Lucianorhabdus cayeuxii	Cribrosphaerella ehrenbergii	Repagalum parvidentatum	Micula concava	Calculites obscurus	Biscutum coronum	Lucianorhabdus arcuatus	Lithastrinus grillii	Aspidolithus parcus expansus	Lapideacassis mariae	Coccolith species B	Coccolith species A	Markalius inversus	Aspidolithus parcus parcus	Cretarhabdus sp. cf. C. conicus	Vekshinella sp. A	Reinhardtites levis	Prediscosphaera cretacea	Neocrepidolithus watkinsii	Chiastozygus garrisonii	Bidiscus rotatorius	Arkhangelskiella specillata	Monomarginatus quaternarius	Placozygus sigmoides	Monomarginatus pectinatus	Coccolith species C	Aspidolithus parcus constrictus	Misceomarginatus pleniporus	Biscutum notaculum	Prediscosphaera arkhangelskyi	Cylindralithus sp.	Biscutum magnum	Eiffellithus gorkae	Comment



  SR	Maestrichtian    	                 	                  	              	120	 750	B	  3	R	 1	   7.00	    450.0700	Watkins  	Nannofossils                                 	F              	G                 	                     	F                   	R                     	R                  	                      	R                   	                       	                	F                      	F                        	                       	F                  	F                     	R                     	F                  	                   	F                          	                    	                   	R                   	                        	                  	F                	F                        	                      	R                  	                    	                         	                        	                              	                         	                           	F               	                         	                  	                	                         	F                      	F                           	C                      	              	                   	F               	R                      	                    	                            	                    	                   	                   	                  	                          	F                              	F                	F                  	F                       	F                         	R                      	                   	F                          	                           	R                   	F                        	                   	                               	F                          	                  	F                            	                  	F              	R                  	from ODP Leg 120 Vol 1 Chapter 21 Table 3 p 354-356

  SR	Maestrichtian    	                 	                  	              	120	 750	B	  3	R	 1	  18.00	    450.1800	Watkins  	Nannofossils                                 	F              	G                 	                     	F                   	R                     	R                  	                      	F                   	                       	                	R                      	F                        	                       	F                  	F                     	                      	F                  	                   	F                          	                    	                   	F                   	                        	                  	F                	R                        	                      	F                  	                    	                         	                        	                              	                         	                           	F               	                         	                  	                	                         	F                      	F                           	A                      	              	                   	F               	F                      	                    	                            	                    	                   	                   	                  	                          	F                              	F                	F                  	F                       	C                         	                       	                   	F                          	                           	F                   	F                        	                   	                               	R                          	                  	F                            	                  	F              	F                  	from ODP Leg 120 Vol 1 Chapter 21 Table 3 p 354-356

  SR	Maestrichtian    	                 	                  	              	120	 750	B	  3	R	 1	  50.00	    450.5000	Watkins  	Nannofossils                                 	F              	G                 	                     	F                   	R                     	R                  	                      	R                   	                       	                	F                      	F                        	                       	F                  	F                     	                      	F                  	                   	F                          	                    	                   	R                   	                        	                  	F                	F                        	                      	R                  	                    	                         	                        	                              	                         	                           	                	                         	                  	                	                         	F                      	F                           	A                      	              	                   	F               	R                      	                    	                            	                    	                   	                   	                  	                          	R                              	                 	F                  	F                       	F                         	                       	                   	F                          	                           	R                   	F                        	                   	                               	F                          	                  	F                            	                  	F              	R                  	from ODP Leg 120 Vol 1 Chapter 21 Table 3 p 354-356

  SR	Maestrichtian    	                 	                  	              	120	 750	B	  4	W	 1	  60.00	    460.2000	Watkins  	Nannofossils                                 	R              	M-P               	                     	F                   	R                     	                   	                      	R                   	                       	                	R                      	F                        	                       	R                  	F                     	                      	F                  	                   	F                          	                    	                   	                    	                        	                  	F                	F                        	                      	R                  	                    	                         	                        	                              	                         	                           	F               	                         	                  	                	                         	F                      	R                           	C                      	              	R                  	F               	R                      	                    	                            	                    	                   	                   	                  	                          	R                              	                 	F                  	F                       	F                         	                       	                   	R                          	                           	R                   	R                        	                   	                               	R                          	                  	F                            	                  	F              	                   	from ODP Leg 120 Vol 1 Chapter 21 Table 3 p 354-356
