Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum speculum,Distephanus speculum pentagonus,Distephanus speculum minutus,Distephanus speculum (w/ small double aw.; curved long sp.),Distephanus speculum (w/ small aw.; curved long sp.>br.width),Distephanus septenarius,Distephanus crux (w/ large aw.; equal sp.),Distephanus crux (small; w/ long major sp.),Distephanus boliviensis (w/ large aw.)      ,Distephanus boliviensis,Parathranium cf. clathratum,Parathranium bispinum,Falsebrioid Falsebrioid,Falsebria cf. arborea,Falsebria arborea,Ebriopsis crenulata,Ebriopsis cornuta,Distephanus speculum speculum (coronoid)  ,Distephanus speculum f. speculum ,Distephanus speculum f. pentagonus,Distephanus speculum constrictus formae diversae,Distephanus speculum constrictus f. constrictus,Distephanus crux,Distephanus aculeatus f. binoculus,Distephanus aculeatus f. aculeatus,Corbisema triacantha,Ammodochium serotinum,Actiniscus sp.,Actiniscus pentasterias,Pseudammodochium species diversae,Hermesinella conata,Dictyocha species diversae,Distephanus sulcatus,Distephanus speculum f. coronata,Distephanus speculum (w/ 3aw.),Distephanus crux (very large; w/ medium aw.; equal sp.),Distephanus crux (small; w/ large aw.; long major sp.),Distephanus crux (small w/ equal sp.),Distephanus crux (large; w/ small aw.; long major sp.; short minor sp.),Distephanus crux (large),Distephanus crux (large aw. Long major sp. Shot minor sp.),Distephanus crux (bolivienoid),Distephanus boliviensis (robust and large),Bachmannocena triangula,Dictyocha perlaevis,Cannopilus hemisphaericus f. hemisphaericus,Actiniscus cf. flosculus,Thranium cf. crassipes,Pseudammodochium robustum,Naviculopsis species diversae,Hermesinum obliquum,Haplohermesinum hovassei,Distephanus speculum  f. cannopileus-hexacanthus,Dictyocha varia,Ammodochium pyramidale,Distephanus speculum (w/ long curved major spines),Distephanus speculum (bolivienoid w/ large w.),Distephanus frugalis (w/ 2aw.),Distephanus frugalis,Dictyocha fibula,Pseudammodochium fenestratum,Hermesinella fenestrata,Dictyocha messanensis messanensis,Actiniscus tetrasterias,Ebriopsoid skeletons,Corbisema species diversae,Ditripodium latum,Mesocena quadrangula,Distephanus speculum octonarius f. septenarius,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Ds. speculum      ,A. pentasterias,104, 644,A, 10,H, 2,  74.00,     84.9400,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,+                                ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,4             ,4                      ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 8; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,M. quadrangula Subz.,A. pentasterias,104, 644,A, 10,H, 3,  74.00,     86.4400,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,1             ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,3                   ,                                              ,Silicoflagellate specimens counted = 3; ebridian/actiniscidians specimens counted = 1; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,M. quadrangula Subz.,A. pentasterias,104, 644,A, 11,H, 6,  66.00,    100.3600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,+                                ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,4             ,+                      ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,+                  ,                                           ,1                       ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,2                                             ,Silicoflagellate specimens counted = 2; ebridian/actiniscidians specimens counted = 5; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,M. quadrangula Subz.,A. pentasterias,104, 644,A, 12,H, 4,  66.00,    106.8600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,1                                 ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,2             ,1                      ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,1                   ,1                                             ,Silicoflagellate specimens counted = 3; ebridian/actiniscidians specimens counted = 3; from ODP 104 SR  Chapter 30  Table 3  p 554-555
