Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Inoceramus (prisms),Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A,  1,H, 3, 140.00,      4.4000,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils = Cretaceous; from ODP Leg 104 SR  Chapter 37  Table 3  p 743
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A,  1,H, 4, 120.00,      5.7000,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils = Cretaceous; from ODP Leg 104 SR  Chapter 37  Table 3  p 743
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A,  2,H, 1,  20.00,      9.4000,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils = Cretaceous; from ODP Leg 104 SR  Chapter 37  Table 3  p 743
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A,  2,H, 1,  60.00,      9.8000,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils = Cretaceous; from ODP Leg 104 SR  Chapter 37  Table 3  p 743
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A,  2,H, 3, 102.00,     13.2200,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils = Cretaceous; from ODP Leg 104 SR  Chapter 37  Table 3  p 743
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A,  2,H, 5,  40.00,     15.6000,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils = Cretaceous; from ODP Leg 104 SR  Chapter 37  Table 3  p 743
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A,  3,H, 1,  80.00,     17.0000,Spiegler ,Miscellaneous                                ,               ,                  ,C                  ,Age of ice-rafted fossils = Cretaceous; from ODP Leg 104 SR  Chapter 37  Table 3  p 743
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A,  3,H, 2,  60.00,     18.3000,Spiegler ,Miscellaneous                                ,               ,                  ,C                  ,Age of ice-rafted fossils = Cretaceous; from ODP Leg 104 SR  Chapter 37  Table 3  p 743
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A,  3,H, 4,  20.00,     20.9000,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils = Cretaceous; from ODP Leg 104 SR  Chapter 37  Table 3  p 743
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A,  4,H, 2, 120.00,     28.4000,Spiegler ,Miscellaneous                                ,               ,                  ,R                  ,Age of ice-rafted fossils = Cretaceous; from ODP Leg 104 SR  Chapter 37  Table 3  p 743
,,,,,,,,,,,,,,,,,,
