Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Helicosphaera sellii	Gephyrocapsa spp. (small)	Gephyrocapsa spp. (large)	Gephyrocapsa sp. medium	Pseudoemiliania lacunosa	Helicosphaera wallichii	Helicosphaera carteri	Ceratolithus cristatus	Calcidiscus leptoporus	Reticulofenestra asanoi	Gephyrocapsa omega	Gephyrocapsa sp.3 medium	Ceratolithus telesmus	Emiliania huxleyi	Coccolithus pelagicus	Florisphaera profunda	Helicosphaera inversa	Emiliania huxleyi acme	Comment



  IR	                 	                 	                  	              	172	1058	B	  1	H	CC	   9.00	      5.9800	Raffi    	Nannofossils                                 	A              	G                 	                    	                         	                         	                       	                        	                       	                     	                      	                      	                       	                  	                        	                     	                 	                     	                     	                     	+                     	< 0.085- two colors of mud, grey and olive, both same nannos...- F - diatom frags

  IR	                 	                 	                  	              	172	1058	B	  2	H	CC	  24.00	     15.8200	Raffi    	Nannofossils                                 	A              	G                 	                    	A                        	                         	C                      	                        	                       	F                    	                      	F                     	                       	                  	R                       	                     	F                	F                    	                     	                     	                      	> 0.085< 0.26

  IR	                 	                 	                  	              	172	1058	B	  3	H	CC	  30.00	     25.4800	Raffi    	Nannofossils                                 	A              	G                 	                    	A                        	                         	F                      	                        	                       	F                    	R                     	C                     	                       	                  	F                       	                     	F                	                     	A                    	                     	                      	> 0.085< 0.26- mocha coloured sediment

  IR	                 	                 	                  	              	172	1058	B	  4	H	CC	  23.00	     34.9400	Raffi    	Nannofossils                                 	A              	G                 	                    	A                        	                         	A                      	                        	                       	C                    	                      	C                     	                       	                  	C                       	                     	-                	F                    	                     	1                    	                      	> 0.26< 0.46

  IR	                 	Pleistocene      	                  	              	172	1058	B	  5	H	CC	  23.00	     44.6100	Raffi    	Nannofossils                                 	A              	G                 	                    	A                        	                         	C                      	                        	                       	F                    	R                     	F                     	                       	                  	F                       	                     	-                	F                    	A                    	                     	                      	       

  IR	                 	Pleistocene      	                  	              	172	1058	B	  6	H	CC	  23.00	     54.1400	Raffi    	Nannofossils                                 	A              	G                 	                    	D                        	                         	A                      	-                       	                       	F                    	+                     	F                     	                       	                  	                        	                     	-                	F                    	                     	                     	                      	       

  IR	                 	Pleistocene      	                  	              	172	1058	B	  7	H	CC	  21.00	     63.6200	Raffi    	Nannofossils                                 	A              	G                 	                    	A                        	                         	C                      	C                       	                       	F                    	+                     	+                     	                       	                  	                        	+                    	                 	                     	                     	                     	                      	       

  IR	                 	Pleistocene      	                  	              	172	1058	B	  8	H	CC	  21.00	     73.0100	Raffi    	Nannofossils                                 	A              	G                 	                    	D                        	                         	A                      	A                       	+                      	+                    	+                     	+                     	                       	                  	                        	+                    	                 	                     	                     	                     	                      	       

  IR	                 	Pleistocene      	                  	              	172	1058	B	  9	H	CC	  27.00	     82.5200	Raffi    	Nannofossils                                 	A              	G                 	                    	                         	                         	A                      	A                       	F                      	                     	R                     	C                     	                       	C                 	                        	                     	                 	                     	                     	                     	                      	Few siliceous fragments

  IR	                 	Pleistocene      	                  	              	172	1058	B	 10	H	CC	  23.00	     92.1200	Raffi    	Nannofossils                                 	A              	G                 	                    	A                        	                         	C                      	C                       	F                      	                     	+                     	+                     	                       	F                 	C                       	+                    	                 	                     	                     	                     	                      	Diatom fragments

  IR	                 	Pleistocene      	                  	              	172	1058	B	 11	H	CC	  37.00	    101.6500	Raffi    	Nannofossils                                 	A              	G                 	                    	A                        	                         	A                      	A                       	+                      	+                    	+                     	+                     	                       	                  	R                       	+                    	                 	                     	                     	                     	                      	Terrigenous input

  IR	                 	Pleistocene      	                  	              	172	1058	B	 12	H	CC	  21.00	    110.8100	Raffi    	Nannofossils                                 	A              	G                 	                    	A                        	                         	C                      	A                       	+                      	+                    	+                     	+                     	+                      	                  	                        	                     	                 	                     	                     	                     	                      	Terrigenous input and abundat fragments of Diatoms

  IR	                 	Pleistocene      	                  	              	172	1058	B	 13	H	CC	  25.00	    120.5800	Raffi    	Nannofossils                                 	C              	G                 	                    	A                        	                         	-                      	A                       	+                      	+                    	+                     	+                     	C                      	-                 	                        	                     	                 	                     	                     	                     	                      	Terrigenous input - few fragments of Diatoms

  IR	                 	Pleistocene      	                  	              	172	1058	B	 15	H	CC	  22.00	    138.9800	Raffi    	Nannofossils                                 	C              	G                 	                    	A                        	                         	-                      	C                       	+                      	+                    	                      	                      	F                      	                  	                        	                     	                 	                     	                     	                     	                      	       

  IR	                 	Pleistocene      	                  	              	172	1058	B	 16	H	CC	  26.00	    149.0300	Raffi    	Nannofossils                                 	A              	G                 	                    	A                        	                         	C                      	A                       	+                      	+                    	+                     	+                     	                       	                  	                        	                     	                 	                     	                     	                     	                      	abundant terrigenous input - fragments of Diatoms

  IR	                 	Pleistocene      	                  	              	172	1058	B	 17	H	CC	  26.00	    158.1900	Raffi    	Nannofossils                                 	A              	G                 	A                   	A                        	R                        	A                      	                        	                       	                     	                      	                      	                       	                  	                        	                     	                 	                     	                     	                     	                      	Abundat terrigenous input - fragments of Diatoms

