Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Liriospyris stauropora,Eucyrtidium diaphanes,Dorcadospyris dentata,Didymocyrtis prismatica,Carpocanopsis cingulata,Carpocanopsis bramlettei,Calocycletta costata,Acrocubus octopylus,Stichocorys wolffii,Stichocorys delmontensis,Stichocorys armata,Siphostichartus corona,Lithopera renzae,Liriospyris parkerae,Giraffospyris toxaria,Dorcadospyris alata,Cyrtocapsella cornuta,Carpocanopsis cristata,Calocycletta robusta,Botryostrobus miralestensis,Calocycletta caepa,Lithopera thornburgi,Cyrtocapsella japonica,Diartus petterssoni,Stichocorys johnsoni,Diartus hughesi,Solenosphaera omnitubus omnitubus,Stichocorys peregrina,Theocorythium vetulum,Theocalyptra davisiana,Stylatractus universus,Spongaster tetras,Pterocanium prismatium,Phormostichoartus doliolum,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Anthocyrtidium angulare,Theocorythium trachelium trachelium,Pterocorys minythorax,Lamprocyrtis nigriniae,Lychnodictyum audax,Didymocyrtis penultima,Collosphaera tuberosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 844,B,  1,H, 3, 109.00,      4.0900,Moore    ,Radiolarians                                 ,A              ,G                 ,                      ,                     ,                     ,                       ,                       ,                        ,                    ,                   ,                   ,                        ,                  ,                      ,                ,                    ,                     ,                   ,                     ,                      ,                    ,                           ,                  ,                    ,                      ,                   ,                    ,               ,                                 ,                     ,                     ,R                     ,-                     ,R                ,                      ,                          ,                           ,                        ,                         ,                       ,R                    ,                       ,R                                  ,F                    ,R                     ,                   ,                      ,R                    ,from Leg 138 SR; Chapter 11; Fig 1; p 192-194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 844,B,  1,H,CC,  24.00,      4.5000,Moore    ,Radiolarians                                 ,A              ,M                 ,                      ,                     ,                     ,                       ,                       ,                        ,                    ,                   ,                   ,                        ,                  ,                      ,                ,                    ,                     ,                   ,                     ,                      ,                    ,                           ,                  ,                    ,                      ,                   ,                    ,               ,                                 ,                     ,                     ,R                     ,-                     ,R                ,                      ,                          ,                           ,                        ,                         ,                       ,R                    ,                       ,R                                  ,F                    ,R                     ,                   ,                      ,R                    ,from Leg 138 SR; Chapter 11; Fig 1; p 192-194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 844,B,  2,H, 3, 110.00,      8.6000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,                      ,                     ,                     ,                       ,                       ,                        ,                    ,                   ,                   ,                        ,                  ,                      ,                ,                    ,                     ,                   ,                     ,                      ,                    ,                           ,                  ,                    ,                      ,                   ,                    ,               ,                                 ,                     ,                     ,R                     ,R                     ,R                ,                      ,                          ,                           ,                        ,                         ,                       ,R                    ,                       ,R                                  ,F                    ,R                     ,                   ,                      ,-                    ,Reworked older fauna = Trace; from Leg 138 SR; Chapter 11; Fig 1; p 192-194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 844,B,  2,H, 5, 110.00,     11.6000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,                      ,                     ,                     ,                       ,                       ,                        ,                    ,                   ,                   ,                        ,                  ,                      ,                ,                    ,                     ,                   ,                     ,                      ,                    ,                           ,                  ,                    ,                      ,                   ,                    ,               ,                                 ,                     ,-                    ,R                     ,R                     ,R                ,                      ,                          ,R                          ,                        ,                         ,                       ,R                    ,R                      ,R                                  ,F                    ,R                     ,                   ,                      ,                     ,Reworked older fauna = Trace; from Leg 138 SR; Chapter 11; Fig 1; p 192-194
