Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Xanthiopyxis bipolaris,Thalassiosira oestrupii var. venrickae,Thalassionema nitzschioides  var. parva,Stephanodiscus turris,Paralia sulcata,Grammatophora undulata,Epithemia turgida,Actinocyclus ehrenbergii,Navicula hennedyi,Triceratium dubium,Trachyneis aspera,Thalassiothrix longissima,Thalassiothrix frauenfeldii,Thalassiosira leptopus,Thalassiosira eccentrica,Thalassionema nitzschioides,Synedra ulna,Roperia tesselata,Rhizosolenia praebergonii var. robusta,Rhizosolenia hebetata,Rhizosolenia bergonii,Rhaphoneis surirella,Podosira stelliger,Pinnularia borealis,Nitzschia marina,Melosira granulata,Hyalodiscus radiatus,Hemidiscus cuneiformis,Gomphonema parvulum var. micropus,Ethmodiscus rex,Ethmodiscus gazellae,Diploneis weissflogi,Diploneis smithii,Diploneis bombus,Cymbella affinis,Cyclotella stylorum,Coscinodiscus temperei,Coscinodiscus symbolophorus,Coscinodiscus nitidus,Coscinodiscus fimbriatus,Coscinodiscus curvatus var. minor,Coscinodiscus argus,Chaetoceros mitra,Cerataulina bicornis (spore),Bacteriastrum comosum,Azpeitia nodulifer,Azpeitia africana,Actinoptychus splendens,Actinoptychus senarius var. minor,Actinoptychus senarius,Actinocyclus normanii var. subsalsa,Actinocyclus giennensis,Actinocyclus ellipticus,Actinocyclus ehrenbergii var. tenella,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,A,  1,H, 1,  88.00,      0.8800,Kaczmarska,Diatoms                                      ,               ,                  ,                      ,                                      ,                                       ,                     ,               ,                      ,                 ,                        ,                 ,                  ,                 ,                         ,                           ,                      ,                        ,                           ,            ,                 ,                                      ,                     ,                     ,                    ,                  ,                   ,+               ,                  ,                    ,                      ,                                 ,+              ,                    ,                    ,                 ,                ,                ,                   ,                      ,                           ,                     ,                        ,                                 ,                   ,                 ,                            ,                     ,                  ,                 ,                       ,                                 ,                      ,                                   ,                       ,                       ,                                     ,from ODP Leg 116 SR Chapter 19 Table 1 p 240-241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,A,  1,H, 2,  50.00,      2.0000,Kaczmarska,Diatoms                                      ,               ,                  ,                      ,+                                     ,+                                      ,+                    ,+              ,+                     ,+                ,+                       ,+                ,+                 ,+                ,+                        ,+                          ,+                     ,+                       ,+                          ,+           ,+                ,+                                     ,+                    ,+                    ,+                   ,+                 ,+                  ,+               ,+                 ,+                   ,+                     ,+                                ,+              ,+                   ,+                   ,+                ,+               ,+               ,+                  ,+                     ,+                          ,+                    ,+                       ,+                                ,+                  ,+                ,+                           ,+                    ,+                 ,+                ,+                      ,+                                ,+                     ,+                                  ,+                      ,+                      ,+                                    ,from ODP Leg 116 SR Chapter 19 Table 1 p 240-241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,A,  1,H, 2, 125.00,      2.7500,Kaczmarska,Diatoms                                      ,               ,                  ,                      ,                                      ,                                       ,                     ,               ,                      ,+                ,                        ,+                ,                  ,                 ,                         ,                           ,                      ,                        ,                           ,            ,                 ,                                      ,                     ,                     ,                    ,                  ,                   ,                ,                  ,                    ,                      ,                                 ,               ,                    ,                    ,                 ,                ,                ,                   ,                      ,                           ,                     ,                        ,                                 ,                   ,                 ,                            ,                     ,                  ,                 ,                       ,                                 ,                      ,                                   ,                       ,                       ,                                     ,from ODP Leg 116 SR Chapter 19 Table 1 p 240-241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,A,  1,H, 3,  51.00,      3.5100,Kaczmarska,Diatoms                                      ,               ,                  ,+                     ,+                                     ,+                                      ,+                    ,+              ,+                     ,+                ,+                       ,                 ,                  ,                 ,                         ,                           ,                      ,                        ,                           ,            ,                 ,                                      ,                     ,                     ,                    ,                  ,                   ,                ,                  ,                    ,                      ,                                 ,               ,                    ,                    ,                 ,                ,                ,                   ,                      ,                           ,                     ,                        ,                                 ,                   ,                 ,                            ,                     ,                  ,                 ,                       ,                                 ,                      ,                                   ,                       ,                       ,                                     ,from ODP Leg 116 SR Chapter 19 Table 1 p 240-241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
