Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Dictyocha precarentis,Corbisema triacantha triacantha,Corbisema recta,Corbisema inermis inermis,Corbisema hastata hastata,Corbisema hastata globulata,Corbisema hastata cunicula,Corbisema glezerae,Corbisema falklandensis,Corbisema constricta constricta,Naviculopsis eobiapiculata var. 1,Naviculopsis constricta,Naviculopsis foliacea,Distephanus quinquangellus,Distephanus crux,Corbisema sp. 4,Corbisema hastata var. 1,Corbisema falklandensis var. 3,Corbisema apiculata,Bachmannocena paulschulzii var. 1,Bachmannocena connudata,Bachmannocena apiculata inflata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,N. foliacea       ,              ,114, 698,A,  3,R, 1,  40.00,     13.9000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                               ,               ,                         ,                         ,4                          ,                          ,                  ,                       ,                               ,69                               ,125                    ,6                    ,2                         ,1               ,1              ,1                       ,2                             ,4                  ,5                                ,3                      ,1                              ,from ODP Leg 114SR Chapter 4 Table 1 p 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,N. foliacea       ,              ,114, 698,A, 10,R, 2,  44.00,     81.9400,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                               ,               ,1                        ,1                        ,2                          ,1                         ,2                 ,                       ,                               ,1                                ,4                      ,                     ,                          ,                ,               ,                        ,                              ,                   ,                                 ,                       ,                               ,from ODP Leg 114SR Chapter 4 Table 1 p 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,D. precarentis    ,              ,114, 698,A, 12,R, 1,  40.00,     99.4000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,21                   ,1                              ,2              ,2                        ,47                       ,6                          ,2                         ,5                 ,1                      ,2                              ,                                 ,                       ,                     ,                          ,                ,               ,                        ,                              ,                   ,                                 ,                       ,                               ,from ODP Leg 114SR Chapter 4 Table 1 p 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
