Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Globorotalia tumida	Globorotalia pseudomiocenica	Globorotalia plesiotumida	Dentoglobigerina altispira	Globigerinoides extremus	Truncorotalia tosaensis	Menardella miocenica	Globigerinoides fistulosus	Truncorotalia truncatulinoides	Comment



  IR	Pleistocene      	Pleistocene      	Pt1b              	Pt1b          	194	1198	A	  1	H	CC	   8.00	      4.9500	planks   	Planktonic Foraminifers                      	A              	VG                	R                             	R                  	                            	                         	                          	                        	                       	                    	                          	R                             	N23; pteropods and reworked biserial paleogene benthics present

  IR	Pleistocene      	Pleistocene      	Pt1b              	Pt1b          	194	1198	A	  2	H	CC	  13.00	     14.5200	planks   	Planktonic Foraminifers                      	A              	VG                	                              	rR                 	                            	                         	                          	                        	                       	                    	                          	                              	N23

  IR	Pleistocene      	Pleistocene      	Pt1a              	Pt1a          	194	1198	A	  4	H	CC	  16.00	     33.8700	planks   	Planktonic Foraminifers                      	A              	VG                	                              	F                  	                            	                         	                          	                        	                       	                    	                          	F                             	N22.

  IR	Pleistocene      	Pleistocene      	Pt1a              	Pt1a          	194	1198	A	  5	H	CC	  21.00	     43.3800	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	                            	                         	                          	                        	                       	                    	                          	F                             	N22. + Gr.ungulata/N.dutertrei

  IR	Pleistocene      	Pleistocene      	Pt1a              	Pt1a          	194	1198	A	  6	H	CC	  15.00	     52.2400	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	                            	                         	                          	                        	R                      	                    	                          	F                             	N22.

  IR	Pleistocene      	Pleistocene      	Pt1a              	Pt1a          	194	1198	A	  7	H	CC	  12.00	     62.3700	planks   	Planktonic Foraminifers                      	A              	M                 	                              	F                  	                            	                         	                          	                        	F                      	                    	                          	P                             	N22. Trunc? Gr.ungulata pres. No fist/extrem

  IR	Pleistocene      	Pleistocene      	Pt1a              	Pt1a          	194	1198	A	  8	H	CC	  23.00	     71.3400	planks   	Planktonic Foraminifers                      	A              	M                 	                              	F                  	                            	                         	                          	                        	F                      	                    	                          	P                             	N22. Trunc? ------"------

  IR	Pleistocene      	Pleistocene      	Pt1a              	Pt1a          	194	1198	A	  9	H	CC	  23.00	     81.4900	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	                            	                         	                          	                        	F                      	                    	                          	P                             	N22  ----"----

  IR	Pleistocene      	Pleistocene      	Pt1a              	Pt1a          	194	1198	A	 10	H	CC	  17.00	     89.8600	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	                            	                         	                          	                        	F                      	                    	                          	R                             	N22 -----"-----

  IR	Pleistocene      	Late Pliocene    	Pt1a              	PL6 - IndoPac 	194	1198	A	 11	H	CC	   5.00	    100.2600	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	                            	                         	                          	                        	F                      	                    	                          	P                             	N21-N22. No fist/extr. trunc?

