Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Gephyrocapsa sp.,Coccolithus pelagicus,Calcidiscus leptoporus,Thoracosphaera spp.,Reticulofenestra spp.,Gephyrocapsa caribbeanica,Reticulofenestra minutula,Reticulofenestra hesslandii,Reticulofenestra perplexa,Gephyrocapsa ericsonii,Gartnerago obliquum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1167,A,  5,H, 3,  35.00,     37.0500,paleo    ,Nannofossils                                 ,F              ,G                 ,R                       ,F               ,                     ,R                     ,F                  ,                     ,                         ,                         ,                           ,R                        ,R                     ,R                  ,"Small P. lacs; G. ""doronocoides"": Reworked R. perplexa, G. obliquum"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1167,A, 25,X, 1,  77.00,    208.7700,paleo    ,Nannofossils                                 ,F              ,M                 ,                        ,R               ,                     ,                      ,                   ,                     ,                         ,                         ,R                          ,                         ,                      ,                   ,P. lacunosa??? questionable poorly deserved specimen; Reworked R. hesslandii
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1167,A, 25,X, 1, 124.00,    209.2400,paleo    ,Nannofossils                                 ,R              ,M                 ,R                       ,F               ,R                    ,                      ,                   ,                     ,                         ,R                        ,                           ,                         ,                      ,                   ,"Questionable small R. minutula; G. ""doronocoides"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1167,A, 25,X,CC,  22.00,    217.6500,paleo    ,Nannofossils                                 ,F              ,M                 ,R                       ,R               ,R                    ,                      ,R                  ,R                    ,F                        ,                         ,                           ,                         ,                      ,                   ,Good Large G. caribbeanica; small P. lacunasa; Retic. spp. (?)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Late Pliocene    ,                  ,              ,188,1167,A, 27,X,CC,   0.00,    228.2700,paleo    ,Nannofossils                                 ,R              ,G                 ,                        ,R               ,R                    ,R                     ,                   ,                     ,                         ,                         ,                           ,                         ,                      ,                   ,"Geph? sp. ""doronocoides""; Questionable G. caribbeanica"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1167,A, 46,X,CC,  20.00,    409.2000,paleo    ,Nannofossils                                 ,R              ,M                 ,R                       ,                ,                     ,                      ,                   ,                     ,                         ,                         ,                           ,                         ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
