Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Denticulopsis dimorpha,Trichotoxon reinboldii,Thalassiosira oliverana,Thalassiosira lentiginosa,Rhizosolenia hebetata,Pseudotriceratium radiosoreticulatum,Fragilariopsis kerguelensis,Eucampia antarctica,Denticulopsis simonsenii,Dactyliosolen antarcticus,Chaetoceros spp.,Actinocyclus ingens,Actinocyclus actinochilus,Thalassiothrix spp.,Thalassiosira maculeata,Fragilariopsis ritscheri,Azpeitia tabularis,Thalassiosira torokina,Thalassiosira ritscherii,Thalassiosira gracilis,Thalassiosira antarctica,Stellarima microtrias,Rouxia antarctica,Rhizosolenia styliformis,Fragilariopsis sublinearis,Fragilariopsis separanda,Fragilariopsis rhombica,Fragilariopsis obliquecostata,Fragilariopsis curta,Diploneis spp.,Cocconeis spp.,Asteromphalus parvulus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1167,A,  1,H, 1,   1.00,      0.0100,paleo    ,Diatoms                                      ,               ,G                 ,                      ,R                     ,R                      ,R                        ,R                    ,                                    ,D                          ,F                  ,R                       ,F                        ,R               ,                   ,F                        ,R                  ,R                      ,R                       ,F                 ,R                     ,R                       ,R                     ,F                       ,R                    ,R                ,R                       ,R                         ,R                       ,F                      ,R                            ,F                   ,R             ,F             ,R                     ,Thalassiosira lentiginosa Zone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1167,A,  1,H, 3, 130.00,      4.3000,paleo    ,Diatoms                                      ,               ,P                 ,                      ,                      ,R                      ,R                        ,                     ,                                    ,A                          ,R                  ,                        ,R                        ,                ,                   ,R                        ,                   ,                       ,                        ,R                 ,                      ,                        ,                      ,                        ,                     ,                 ,                        ,                          ,                        ,                       ,                             ,                    ,              ,              ,                      ,Thalassiosira lentiginosa Zone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1167,A,  1,H, 3, 140.00,      4.4000,paleo    ,Diatoms                                      ,               ,P                 ,                      ,                      ,                       ,                         ,                     ,                                    ,C                          ,R                  ,R                       ,R                        ,                ,                   ,R                        ,R                  ,R                      ,R                       ,                  ,                      ,                        ,                      ,                        ,                     ,                 ,                        ,                          ,                        ,                       ,                             ,                    ,              ,              ,                      ,Thalassiosira lentiginosa Zone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1167,A,  1,H,CC,   0.00,      5.0200,paleo    ,Diatoms                                      ,               ,P                 ,                      ,R                     ,R                      ,R                        ,R                    ,R                                   ,F                          ,R                  ,R                       ,R                        ,R               ,R                  ,R                        ,                   ,                       ,                        ,                  ,                      ,                        ,                      ,                        ,                     ,                 ,                        ,                          ,                        ,                       ,                             ,                    ,              ,              ,                      ,Thalassiosira lentiginosa Zone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1167,A, 36,X,CC,  50.00,    313.3000,paleo    ,Diatoms                                      ,               ,                  ,R                     ,                      ,                       ,                         ,                     ,                                    ,                           ,                   ,                        ,                         ,                ,                   ,                         ,                   ,                       ,                        ,                  ,                      ,                        ,                      ,                        ,                     ,                 ,                        ,                          ,                        ,                       ,                             ,                    ,              ,              ,                      ,Unzoned
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
