Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix miocenica	Thalassiothrix longissima	Thalassiosira vulnifica	Thalassiosira sp. cf. T.vulnifica	Thalassiosira praevulnifica	Thalassiosira oestrupii	Thalassiosira nativa	Thalassiosira lineata	Thalassiosira lentiginosa var. ovalis	Thalassiosira lentiginosa	Thalassiosira kolbei	Thalassiosira insigna	Thalassiosira elliptipora (very elongate aerolae)	Thalassiosira elliptipora	Thalassiosira convexa var. aspinosa	Thalassiosira convexa	Thalassionema nitzschioides  var. parva	Thalassionema nitzschioides	Stephanopyxis turris	Simonseniella barboi	Rouxia spp.	Rouxia sp. 1	Rouxia naviculoides	Rouxia californica	Rocella gelida	Rhizosolenia styliformis	Rhizosolenia sp. A	Rhizosolenia hebetata f. semispina	Rhizosolenia hebetata f. hiemalis	Nitzschia weaveri	Nitzschia sp. cf. N.interfrigidaria	Nitzschia sp. aff. N.praeinterfrigidaria	Nitzschia reinholdii	Nitzschia praeinterfrigidaria	Nitzschia marina	Nitzschia kerguelenis	Nitzschia jouseae	Nitzschia interfrigidaria	Nitzschia fossilis	Nitzschia cylindrica	Nitzschia clementia	Nitzschia angulata	Neobrunia mirabilis	Hemidiscus triangularus	Hemidiscus karstenii f.1	Hemidiscus karstenii	Hemidiscus cuneiformis	Eucampia antarctica	Ethmodiscus sp. (fragments)	Denticulopsis hustedtii	Denticulopsis dimorpha	Cosmiodiscus intersectus	Coscinodiscus tabularis	Coscinodiscus marginatus	Coscinodiscus lineatus	Coscinodiscus endoi	Charcotia actinochilus	Chaetoceros sp. (spines)	Asteromphalus parvulus	Asteromphalus kennettii	Asteromphalus hookeri	Actinocyclus ingens (ovate form)	Actinocyclus ingens	Actinocyclus ellipticus	Actinocyclus divisus	Coscinodiscus insignis	Actinocyclus ingens var. planus	Comment



  SR	                 	                 	T. lentiginosa    	              	114	 704	A	  1	H	 2	  76.00	      2.2600	Ciesielski	Diatoms                                      	               	M                 	-                       	F                        	-                      	-                                	-                          	-                      	-                   	-                    	-                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	D                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	C                   	-                     	C                  	-                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	rF                 	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T. lentiginosa    	              	114	 704	A	  1	H	 3	  76.00	      3.7600	Ciesielski	Diatoms                                      	               	M                 	-                       	S                        	-                      	-                                	-                          	-                      	-                   	-                    	S                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	D                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	F                   	S                     	S                  	-                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	rS                 	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T. lentiginosa    	              	114	 704	A	  1	H	 5	  76.00	      6.7600	Ciesielski	Diatoms                                      	               	F                 	-                       	S                        	-                      	-                                	-                          	-                      	-                   	-                    	-                                    	C                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	C                   	-                     	F                  	-                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	-                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T. lentiginosa    	              	114	 704	A	  2	H	 1	  40.00	      7.6000	Ciesielski	Diatoms                                      	               	F                 	-                       	S                        	-                      	-                                	-                          	S                      	-                   	-                    	R                                    	F                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	F                          	-                   	-                   	R          	-           	-                  	-                 	-             	-                       	-                 	-                                 	S                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	C                   	-                     	S                  	-                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	rF                 	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763
