Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Paralia sulcata,Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,A,  1,H, 1,  70.00,      0.7000,Winter   ,Diatoms                                      ,F              ,                  ,F              ,       
,,,,,,,,,,,,,,,,,,
