Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera spp.	Syracosphaera spp.	Rhabdosphaera stylifera	Pseudoemiliania lacunosa	Oolithotus fragilis	Helicosphaera kamptneri	Gephyrocapsa spp. (small)	Emiliania ovata	Cyclolithus annulus	Coccolithus pataecus	Calcidiscus macintyrei	Calcidiscus leptoporus	Thoracosphaera spp.	Scapholithus fossilis	Reticulofenestra spp. (small - medium)	Helicosphaera sellii	Helicosphaera hyalina	Hayaster perplexus	Thoracosphaera saxea	Rhabdosphaera clavigera	Pontosphaera spp.	Pontosphaera japonica	Helicosphaera pavimentum	Gephyrocapsa caribbeanica	Ceratolithus rugosus	Ceratolithus cristatus	Ceratolithus telesmus	Holodiscolithus spp.	Scyphosphaera sp. (fragment)	Discoaster brouweri	Thoracosphaera heimii	Scyphosphaera apsteinii	Gephyrocapsa oceanica	Coccolithus pelagicus	Scyphosphaera pulcherrima	Scyphosphaera galeana	Discoaster pentaradiatus (grainy)	Discoaster brouweri (grainy)	Sphenolithus abies	Discoaster spp. (fragments)	Discoaster spp. (5 rays)	Discoaster pentaradiatus	Scyphosphaera spp.	Discoaster tamalis (grainy)	Helicosphaera inversa	Pontosphaera indooceanica	Discoaster spp. (6 rays)	Emiliania huxleyi	Comment



  SR	Pleistocene      	Holocene         	CN15              	              	135	 839	A	  1	H	 1	 139.00	      1.3900	Styzen   	Nannofossils                                 	               	                  	X                   	W                 	W                      	                        	F                  	V                      	X                        	               	M                  	F                   	                      	A                     	R                  	A                    	                                      	                    	F                    	                  	C                   	L                      	F                	R                    	F                       	                         	                    	S                     	S                    	                    	R                           	                   	                     	                       	W                    	                     	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	X                	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pleistocene      	                 	CN14b             	              	135	 839	A	  1	H	CC	  16.00	      4.5100	Styzen   	Nannofossils                                 	               	                  	X                   	X                 	W                      	                        	A                  	V                      	X                        	               	C                  	F                   	                      	C                     	M                  	A                    	                                      	                    	M                    	C                 	M                   	C                      	C                	S                    	F                       	F                        	                    	F                     	S                    	                    	R                           	                   	R                    	R                      	X                    	                     	                         	R                    	                                 	                            	                  	                           	                        	                        	                  	                           	R                    	R                        	R                       	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pleistocene      	                 	CN14a             	              	135	 839	A	  2	H	 4	 120.00	     10.2000	Styzen   	Nannofossils                                 	               	                  	V                   	V                 	A                      	L                       	A                  	C                      	X                        	R              	F                  	S                   	                      	C                     	M                  	L                    	                                      	                    	M                    	M                 	F                   	L                      	M                	R                    	F                       	F                        	                    	S                     	                     	                    	R                           	                   	S                    	                       	X                    	                     	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	S                    	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pleistocene      	                 	CN14a             	              	135	 839	A	  4	H	 5	  10.00	     29.6000	Styzen   	Nannofossils                                 	               	                  	A                   	V                 	A                      	V                       	R                  	L                      	W                        	W              	F                  	C                   	                      	A                     	F                  	A                    	                                      	                    	C                    	R                 	F                   	M                      	C                	S                    	M                       	R                        	                    	R                     	                     	C                   	R                           	                   	                     	                       	A                    	                     	                         	S                    	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201
