Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Streptochilus/Chiloguembelina taxa,Streptochilus spp.,Comment
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,A,  1,H, 1,   4.00,      0.0400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                  ,1                 ,Total count = 1032.from 130SR.Chapter 12.Table 2.pages 238-240.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,A,  1,H, 2,  44.00,      1.9400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                  ,1                 ,Total count = 668.from 130SR.Chapter 12.Table 2.pages 238-240.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,A,  1,H, 4,  44.00,      4.9400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                  ,0                 ,Total count = 748.from 130SR.Chapter 12.Table 2.pages 238-240.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,A,  2,H, 2,  44.00,      9.3400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                  ,20                ,Total count = 795.from 130SR.Chapter 12.Table 2.pages 238-240.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,A,  2,H, 4,  44.00,     12.3400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                  ,0                 ,Total count = 1311.from 130SR.Chapter 12.Table 2.pages 238-240.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,A,  3,H, 2,  44.00,     18.8400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                  ,0                 ,Total count = 808.from 130SR.Chapter 12.Table 2.pages 238-240.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,A,  3,H, 4,  44.00,     21.8400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                  ,4                 ,Total count = 775.from 130SR.Chapter 12.Table 2.pages 238-240.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,A,  4,H, 2,  44.00,     28.3400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                  ,4                 ,Total count = 1125.from 130SR.Chapter 12.Table 2.pages 238-240.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,A,  4,H, 4,  44.00,     31.3400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                  ,6                 ,Total count = 688.from 130SR.Chapter 12.Table 2.pages 238-240.
,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,A,  5,H, 2,  44.00,     37.8400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                  ,423               ,Total count = 1505.from 130SR.Chapter 12.Table 2.pages 238-240.
,,,,,,,,,,,,,,,,,,,
