Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stilostomella spp.,Serovaina spissiformis,Oridorsalis umbonatus,Nuttallides truempyi,Neoflabellina semireticulata,Linaresia grimsdalei,Lenticulina spp.,Gyroidinoides spp.,Dentalina spp.,Buliminella grata,Aragonia velascoensis,Pullenia jarvisi,Pseudoclavulina rugolosa,Gyroidinoides globosa,Conorbinoides hillebrandti,Bulimina spp.,Stensioina beccariiformis,Marssonella trochoides,Cibicidoides hyphalus,Bulimina velascoensis,Bulimina trinitatensis,Bulimina impendens,Tritaxa spp.,Nonion havanensis,Gyroidinoides neosoldanii,Spiroplectammina spectabilis,Spiroplectammina jarvisi,Gaudryina pyramidata,Bathysiphon spp.,Stilostomella subspinosa,Stilostomella gracillima,Quadratobuliminella pyramidalis,Pyramidina rudita,Clinapertina complanata,Bulimina semicostata,Bulimina jarvisi,Nodosaria spp.,Orthomorphina spp.,Karreriella bradyi,Cibicidoides spp.,Cibicidoides havanensis,Chrysalogonium tenuicostatum,Pullenia quinqueloba,Pleurostomella spp.,Osangularia plummerae,Nonion spp.,Cibicidoides eocaenus,Vulvulina spinosa,Vulvulina mexicana,Uvigerina spp.,Uvigerina havanensis,Pullenia bulloides,Oridorsalis tenera,Oridorsalis tener,Uvigerina graciliformis,Stilostomella abyssorum,Oolina spp.,Cibicidoides wuellerstorfi,Cibicidoides renzi,Chrysalogonium longicostatum,Anomalinoides semicribratus,Uvigerina hispidocostata,Uvigerina hispida,Melonis barleeanus,Martinottiella sp.,Gyroidinoides girardanus,Globocassidulina subglobosa,Francesita advena,Fissurina spp.,Eponides regularis,Eggerella bradyi,Cibicidoides mundulus,Pyrgo murrhina,Cibicidoides subhaidingeri,Cibicidoides incrassatus,Parafissurina spp.,Melonis sphaeroides,Pyrgo lucernula,Bulimina bleeckeri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A,  1,H,CC,  24.00,      8.1300,benthics ,Benthic Foraminifers                         ,R              ,G                 ,                  ,                      ,                     ,                    ,                            ,                    ,                ,                  ,              ,                 ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,                  ,            ,                 ,                         ,                            ,                        ,                    ,                ,                        ,                        ,                               ,                 ,                       ,                    ,                ,              ,                  ,                  ,                 ,                       ,                            ,R                   ,                   ,                     ,           ,                     ,                 ,                  ,T             ,                    ,R                 ,F                 ,                 ,                       ,                       ,           ,R                         ,                  ,                            ,                           ,R                       ,                 ,                  ,                  ,                        ,                           ,                 ,R             ,                  ,                ,                     ,T             ,F                         ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A,  3,H,CC,  24.00,     27.4100,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                  ,                      ,R                    ,                    ,                            ,                    ,                ,                  ,              ,                 ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,                  ,            ,                 ,R                        ,                            ,                        ,                    ,                ,                        ,                        ,                               ,                 ,                       ,                    ,                ,              ,                  ,                  ,                 ,                       ,                            ,                    ,                   ,                     ,           ,                     ,                 ,                  ,T             ,                    ,R                 ,C                 ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,R                       ,R                ,T                 ,                  ,R                       ,                           ,                 ,              ,                  ,F               ,                     ,R             ,                          ,                        ,                  ,                   ,R              ,R                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A,  5,H,CC,  35.00,     46.5600,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                  ,                      ,                     ,                    ,                            ,                    ,                ,                  ,              ,                 ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,                  ,            ,                 ,                         ,                            ,                        ,                    ,                ,F                       ,                        ,                               ,                 ,                       ,                    ,                ,R             ,                  ,                  ,                 ,                       ,R                           ,                    ,T                  ,                     ,R          ,                     ,                 ,                  ,              ,                    ,                  ,R                 ,                 ,                       ,                       ,           ,R                         ,                  ,R                           ,                           ,R                       ,F                ,T                 ,T                 ,                        ,+                          ,                 ,              ,                  ,                ,                     ,R             ,R                         ,                        ,T                 ,T                  ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A,  7,H,CC,  22.00,     65.5300,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                  ,                      ,R                    ,                    ,                            ,                    ,                ,R                 ,R             ,                 ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,                  ,            ,                 ,R                        ,                            ,                        ,                    ,                ,T                       ,T                       ,                               ,                 ,                       ,                    ,                ,              ,                  ,R                 ,R                ,                       ,R                           ,T                   ,R                  ,                     ,           ,                     ,                 ,                  ,              ,                    ,T                 ,C                 ,                 ,                       ,                       ,T          ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,R                       ,R                          ,                 ,              ,                  ,R               ,                     ,C             ,T                         ,T                       ,                  ,                   ,               ,                  ,       
