Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ventilabrella multicamerata,Rugoglobigerina rugosa,Rugoglobigerina pennyi,Rugoglobigerina milamensis,Rugoglobigerina macrocephala,Rugoglobigerina hexacamerata,Racemiguembelina fructicosa,Pseudotextularia nuttalli,Pseudotextularia elegans,Pseudoguembelina costulata,Heterohelix rajagopalani,Globotruncanita stuarti,Globotruncanella havanensis,Globotruncana orientalis,Globotruncana linneiana,Globotruncana bulloides,Globigerinelloides subcarinatus,Globigerinelloides multispinus,Contusotruncana contusa,Abathomphalus mayaroensis,Abathomphalus intermedius,Rugoglobigerina rotundata,Pseudoguembelina excolata,Heterohelix carinata,Heterohelix globulosa,Globotruncanella petaloidea,Globotruncana rosetta,Globigerinelloides messinae,Gansserina gansseri,Pseudoguembelina hariaensis,Hedbergella holmdelensis,Globotruncanita stuartiformis,Woodringina hornerstownensis,Woodringina claytonensis,Whiteinella praehelvetica,Praemurica pseudoinconstans,Guembelitria cretacea,Praemurica taurica,Parvularugoglobigerina eugubina,Eoglobigerina eobulloides,Chiloguembelina morsei,Praemurica uncinata,Praemurica inconstans,Parasubbotina pseudobulloides,Globanomalina compressa,Globanomalina chapmani,Subbotina triloculinoides,Morozovella velascoensis,Morozovella conicotruncata,Igorina pusilla,Globanomalina pseudomenardii,Igorina albeari,Acarinina soldadoensis,Acarinina nitida,Acarinina mckannai,Subbotina velascoensis,Morozovella subbotinae,Morozovella occlusa,Morozovella pasionensis,Subbotina eocaena,Morozovella aequa,Morozovella gracilis,Subbotina triangularis,Morozovella marginodentata,Acarinina pseudotopilensis,Morozovella acuta,Morozovella formosa,Morozovella aragonensis,Chiloguembelina cubensis,Acarinina coalingensis,Morozovella caucasica,Truncorotaloides rohri,Igorina broedermanni,Globigerinatheka senni,Acarinina quetra,Acarinina pentacamerata,Acarinina libyaensis,Morozovella spinulosa,Hantkenina sp.,Guembelitrioides higginsi,Acarinina topilensis,Acarinina bullbrooki,Hantkenina mexicana,Globigerinatheka subconglobata,Globigerinatheka index,Acarinina primitiva,Orbulinoides beckmanni,Globigerinatheka mexicana,Turborotalia ampliapertura,Hantkenina alabamensis,Globigerina euapertura,Globigerina angustiumbilicata,Catapsydrax unicavus,Catapsydrax dissimilis,Globorotaloides suteri,Globoquadrina venezuelana,Subbotina angiporoides,Globoquadrina tripartita,Tenuitella gemma,Pseudohastigerina micra,Paragloborotalia nana,Globoquadrina baroemoenensis,Globigerina praebulloides,Sphaeroidinellopsis seminulina,Orbulina universa,Orbulina suturalis,Globoturborotalita woodi,Globoturborotalita nepenthes,Globoturborotalita decoraperta,Globorotalia miozea,Globigerinoides trilobus,Globigerina decoraperta,Dentoglobigerina altispira,Globoturborotalita druryi,Globoquadrina dehiscens,Globigerina druryi,Globorotalia merotumida,Globorotalia conoidea,Globigerina bulloides,Globorotalia tumida,Globorotalia scitula,Globorotalia plesiotumida,Globorotalia margaritae,Globorotalia challengeri,Globigerinoides sacculifer,Globigerinoides extremus,Globigerinoides conglobatus,Sphaeroidinella dehiscens s.l.,Globorotalia conomiozea,Globoconella conomiozea,Globigerinella aequilateralis,Truncorotalia crassaformis,Globorotalia menardii,Globorotalia limbata,Globorotalia crassula,Globigerinoides ruber,Globigerinoides obliquus,Globigerinita glutinata,Truncorotalia tosaensis,Neogloboquadrina pachyderma (dextral),Globorotalia inflata,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Truncorotalia truncatulinoides,Pulleniatina primalis,Pulleniatina obliquiloculata,Pulleniatina spectabilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1209,A,  1,H,CC,  24.00,      8.1300,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                      ,                      ,                          ,                            ,                            ,                           ,                         ,                        ,                          ,                        ,                       ,                           ,                        ,                       ,                       ,                               ,                              ,                       ,                         ,                         ,                         ,                         ,                    ,                     ,                           ,                     ,                           ,                   ,                           ,                        ,                             ,                            ,                        ,                         ,                           ,                     ,                  ,                               ,                         ,                      ,                   ,                     ,                             ,                       ,                      ,                         ,                        ,                          ,               ,                            ,               ,                      ,                ,                  ,                      ,                      ,                   ,                       ,                 ,                 ,                    ,                      ,                          ,                          ,                 ,                   ,                       ,                        ,                      ,                     ,                      ,                    ,                      ,                ,                       ,                    ,                     ,              ,                         ,                    ,                    ,                   ,                              ,                      ,                   ,                      ,                         ,                          ,                      ,                      ,                             ,                    ,                      ,                      ,                         ,                      ,                        ,                ,                       ,                     ,                            ,                         ,                              ,F                ,                  ,                        ,                            ,                              ,                   ,                        ,                       ,                          ,                         ,                       ,                  ,                       ,                     ,F                    ,F                  ,                    ,                         ,                       ,                        ,F                         ,                        ,                           ,R                             ,                       ,                       ,                             ,F                         ,F                    ,                    ,                     ,R                    ,                        ,                       ,F                      ,F                                    ,A                   ,F                         ,                         ,F                             ,F                    ,R                           ,+                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1209,A,  2,H,CC,  32.00,     18.0200,planks   ,Planktonic Foraminifers                      ,A              ,P                 ,                           ,                      ,                      ,                          ,                            ,                            ,                           ,                         ,                        ,                          ,                        ,                       ,                           ,                        ,                       ,                       ,                               ,                              ,                       ,                         ,                         ,                         ,                         ,                    ,                     ,                           ,                     ,                           ,                   ,                           ,                        ,                             ,                            ,                        ,                         ,                           ,                     ,                  ,                               ,                         ,                      ,                   ,                     ,                             ,                       ,                      ,                         ,                        ,                          ,               ,                            ,               ,                      ,                ,                  ,                      ,                      ,                   ,                       ,                 ,                 ,                    ,                      ,                          ,                          ,                 ,                   ,                       ,                        ,                      ,                     ,                      ,                    ,                      ,                ,                       ,                    ,                     ,              ,                         ,                    ,                    ,                   ,                              ,                      ,                   ,                      ,                         ,                          ,                      ,                      ,                             ,                    ,                      ,                      ,                         ,                      ,                        ,                ,                       ,                     ,                            ,                         ,                              ,F                ,                  ,                        ,                            ,                              ,                   ,                        ,                       ,                          ,                         ,                       ,                  ,                       ,                     ,A                    ,                   ,                    ,                         ,                       ,                        ,                          ,                        ,                           ,F                             ,                       ,                       ,                             ,R                         ,                     ,                    ,                     ,                     ,                        ,                       ,F                      ,F                                    ,D                   ,                          ,                         ,F                             ,F                    ,R                           ,                        ,pk strongly dissolved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,N21               ,N21           ,198,1209,A,  3,H,CC,  24.00,     27.4100,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                      ,                      ,                          ,                            ,                            ,                           ,                         ,                        ,                          ,                        ,                       ,                           ,                        ,                       ,                       ,                               ,                              ,                       ,                         ,                         ,                         ,                         ,                    ,                     ,                           ,                     ,                           ,                   ,                           ,                        ,                             ,                            ,                        ,                         ,                           ,                     ,                  ,                               ,                         ,                      ,                   ,                     ,                             ,                       ,                      ,                         ,                        ,                          ,               ,                            ,               ,                      ,                ,                  ,                      ,                      ,                   ,                       ,                 ,                 ,                    ,                      ,                          ,                          ,                 ,                   ,                       ,                        ,                      ,                     ,                      ,                    ,                      ,                ,                       ,                    ,                     ,              ,                         ,                    ,                    ,                   ,                              ,                      ,                   ,                      ,                         ,                          ,                      ,                      ,                             ,                    ,                      ,                      ,                         ,                      ,                        ,                ,                       ,                     ,                            ,                         ,                              ,F                ,                  ,                        ,                            ,                              ,                   ,                        ,                       ,                          ,                         ,                       ,                  ,                       ,                     ,A                    ,R                  ,F                   ,                         ,                       ,                        ,F                         ,                        ,                           ,F                             ,                       ,                       ,F                            ,F                         ,F                    ,                    ,F                    ,F                    ,F                       ,R                      ,R                      ,R                                    ,A                   ,F                         ,R                        ,                              ,                     ,                            ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,N21               ,N21           ,198,1209,A,  4,H,CC,  24.00,     36.9100,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                      ,                      ,                          ,                            ,                            ,                           ,                         ,                        ,                          ,                        ,                       ,                           ,                        ,                       ,                       ,                               ,                              ,                       ,                         ,                         ,                         ,                         ,                    ,                     ,                           ,                     ,                           ,                   ,                           ,                        ,                             ,                            ,                        ,                         ,                           ,                     ,                  ,                               ,                         ,                      ,                   ,                     ,                             ,                       ,                      ,                         ,                        ,                          ,               ,                            ,               ,                      ,                ,                  ,                      ,                      ,                   ,                       ,                 ,                 ,                    ,                      ,                          ,                          ,                 ,                   ,                       ,                        ,                      ,                     ,                      ,                    ,                      ,                ,                       ,                    ,                     ,              ,                         ,                    ,                    ,                   ,                              ,                      ,                   ,                      ,                         ,                          ,                      ,                      ,                             ,                    ,                      ,                      ,                         ,                      ,                        ,                ,                       ,                     ,                            ,                         ,                              ,F                ,                  ,                        ,                            ,                              ,                   ,                        ,                       ,                          ,                         ,                       ,                  ,                       ,                     ,F                    ,F                  ,F                   ,                         ,                       ,                        ,F                         ,R                       ,F                          ,                              ,                       ,                       ,F                            ,F                         ,F                    ,F                   ,F                    ,F                    ,F                       ,F                      ,R                      ,R                                    ,F                   ,F                         ,                         ,                              ,                     ,                            ,                        ,       
