Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Paramesocena circulus,Hermesinum adriaticum,Ebriopsis antiqua cornuta,Ebriopsis antiqua antiqua,Ammodochium rectangulare,Distephanus jimlingii,Distephanus speculum,Distephanus quinquangellus,Dictyocha pentagona,Distephanus speculum cannopiloides,Mesocena elliptica,Dictyocha fibula,Dictyocha subarctios,Mesocena quadrangula,Dictyocha mandrai,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A,  1,H,CC,  12.00,      1.1500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,R                ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A,  2,H,CC,  18.00,     11.0100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,A                ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A,  4,H,CC,  22.00,     29.6800,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,R                ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 11,H, 2,  80.00,     89.8000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,R                   ,                          ,                   ,                                  ,                  ,R               ,R                   ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 11,H, 3,  80.00,     91.3000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,A                   ,                          ,                   ,                                  ,                  ,                ,C                   ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 11,H, 4,  50.00,     92.5000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,R                   ,R                   ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
