Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Velicucullus oddgurneri	Spongocore puella	Siphocampe arachnea	Pseudodictyophimus amundseni	Hexalonche ? nakasekoi	Gondwanaria japonica kiaeri	Eucyrtidium saccoi	Eucyrtidium biconicum	Cyrtocapsella tetrapera	Cyrtocapsella kladaros	Cyrtocapsella eldholmi	Cyrtocapsella ampullacea	Corythospyris jubata	Corythospyris jjubata sverdrupi	Corythospyris hispida	Corythospyris fiscella	Clathrospyris sandellae	Ceratocyrtis broeggeri	Actinomma mirabile	Actinomma livae	Actinomma holtedahli	Actinomma henningsmoeni	Acrosphaera spinosa echinoides	Comment



  SR	                 	                 	C. ampullacea     	              	104	 642	D	  2	X	 1	  25.00	    190.1500	Goll     	Radiolarians                                 	A              	G                 	-                      	-                	F                  	-                           	D                     	-                          	T                 	T                    	-                      	-                     	-                     	T                       	-                   	-                              	-                    	-                     	SP                     	-                     	-                 	-              	T                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. kladaros       	              	104	 642	D	  2	X	 2	  25.00	    191.6500	Goll     	Radiolarians                                 	A              	G                 	-                      	-                	C                  	-                           	D                     	-                          	T                 	T                    	-                      	T                     	-                     	-                       	-                   	-                              	-                    	-                     	C                      	-                     	                  	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. kladaros       	              	104	 642	D	  2	X	 3	  25.00	    193.1500	Goll     	Radiolarians                                 	A              	G                 	-                      	-                	-                  	-                           	D                     	-                          	-                 	-                    	R                      	T                     	-                     	-                       	-                   	-                              	-                    	-                     	SP                     	-                     	T                 	-              	R                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. kladaros       	              	104	 642	D	  2	X	 4	  25.00	    194.6500	Goll     	Radiolarians                                 	A              	G                 	-                      	-                	D                  	-                           	D                     	-                          	-                 	-                    	T                      	A                     	-                     	-                       	-                   	-                              	-                    	-                     	R                      	-                     	-                 	-              	D                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	                  	              	104	 642	D	  2	X	 5	  25.00	    196.1500	Goll     	Radiolarians                                 	A              	G                 	-                      	-                	-                  	-                           	C                     	-                          	R                 	T                    	R                      	-                     	-                     	-                       	-                   	-                              	T                    	-                     	SP                     	-                     	-                 	-              	C                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. broeggeri      	              	104	 642	D	  2	X	 6	  25.00	    197.6500	Goll     	Radiolarians                                 	C              	G                 	-                      	-                	-                  	-                           	A                     	-                          	C                 	T                    	R                      	-                     	-                     	-                       	-                   	-                              	-                    	-                     	SP                     	SP                    	SP                	-              	D                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

