leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
14,139,,1,1,5.0,7.0,114.00,114.06, 1,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,508,RSPIO0010,Spirocyrtis sp.,PRESENT,  ,1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RACTI0031,Actinomma hexaconthium arachinoidale (q),ABUNDANT,  ,1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RANTY0040,Anthocyrtidium ophirense,RARE,  ,1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RANTY0050,Anthocyrtidium ovata,COMMON,  ,1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RARCP0022,Archipilium macropus (q),PRESENT,  ,1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RAXOP0060,Axoprunum stauraxonium,ABUNDANT,  ,1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RBATH0010,Bathropyramis sp.,PRESENT,  ,1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RBOTS0020,Botryostrobus auritus,PRESENT,  ,1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RBOTS0030,Botryostrobus australis,PRESENT,  ,1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RBOTS0070,Botryostrobus tumidulus,COMMON,  ,1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RCLAL0020,Clathrocyclas bicornis,PRESENT,  ,1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RCORU0040,Cornutella profunda,COMMON,  ,2
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RCROY0020,Cromyechinus langii,RARE,  ,2
