Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Xiphosphaera circularis	Stylotrochus alveatus	Stylosphaera goruna	Stylosphaera coronata coronata	Lychnocanoma sp. B	Entapium regulare	Buryella tetradica	Lychnocanoma (?) pileus	Dorcadospyris sp. cf. D. platycantha	Amphymenium splendiarmatum	Clathrocycloma parcum	Buryella pentadica	Phormocyrtis striata praexquisita	Comment



  IR	                 	Paleocene        	B. campechensis   	B. bidartensis	171	1052	E	  4	R	CC	   0.00	    165.7500	Blome    	Radiolarians                                 	R              	P                 	                       	                     	                   	R                             	                  	                 	R                 	                       	                                    	                          	                     	                  	                                 	All sample clay sediments with exception of a few rads

  IR	                 	Paleocene        	                  	B. campechensis	171	1052	E	  7	R	CC	   5.00	    194.4500	Blome    	Radiolarians                                 	T              	M                 	                       	                     	                   	T                             	                  	                 	T                 	                       	                                    	                          	                     	T                 	                                 	       

  IR	                 	Paleocene        	                  	B. campechensis	171	1052	E	  8	R	CC	  14.00	    210.3900	Blome    	Radiolarians                                 	T              	P                 	T                      	                     	                   	T                             	                  	                 	T                 	                       	                                    	                          	                     	T                 	                                 	       

  IR	                 	Paleocene        	B. campechensis   	B. bidartensis	171	1052	E	  9	R	CC	  17.00	    215.9700	Blome    	Radiolarians                                 	T              	P                 	                       	                     	                   	                              	                  	                 	T                 	                       	                                    	                          	                     	                  	                                 	       

  IR	                 	Paleocene        	                  	B. campechensis	171	1052	E	 10	R	CC	  11.00	    230.9000	Blome    	Radiolarians                                 	F              	P                 	R                      	                     	                   	F                             	                  	                 	R                 	                       	                                    	                          	                     	R                 	R                                	       

  IR	                 	Paleocene        	                  	B. campechensis	171	1052	E	 11	R	CC	  16.00	    234.8000	Blome    	Radiolarians                                 	R              	P                 	R                      	                     	                   	R                             	                  	                 	R                 	                       	R                                   	                          	                     	                  	R                                	       

  IR	                 	Paleocene        	                  	B. campechensis	171	1052	E	 12	R	CC	   4.00	    248.1700	Blome    	Radiolarians                                 	R              	P                 	R                      	R                    	                   	R                             	                  	                 	R                 	                       	R                                   	                          	                     	R                 	R                                	       

  IR	                 	Paleocene        	                  	B. campechensis	171	1052	E	 13	R	CC	  20.00	    256.0500	Blome    	Radiolarians                                 	F              	M                 	C                      	                     	                   	C                             	                  	R                	F                 	                       	F                                   	F                         	R                    	R                 	                                 	       

  IR	                 	Paleocene        	                  	              	171	1052	E	 14	R	CC	  17.00	    263.4100	Blome    	Radiolarians                                 	F              	P                 	F                      	                     	                   	F                             	                  	R                	F                 	F                      	F                                   	F                         	                     	                  	                                 	       

  IR	                 	Paleocene        	                  	              	171	1052	E	 15	R	CC	  24.00	    274.1600	Blome    	Radiolarians                                 	F              	M                 	R                      	R                    	R                  	F                             	C                 	R                	F                 	                       	                                    	                          	                     	                  	                                 	       

