Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera angelina,Stichocorys sp. P,Sphaeropyle robusta,Lychnocanium nipponicum,Diplocyclas cornutoides,Axoprunum acquilonius,Stichocorys delmontensis,Clathrocyclas bicornis group,Lipmanella redondoensis,Eucyrtidium cienkowskii,Androcyclas heteroporos,Botryostrobus auritus/australis,Cornutella profunda,Sphaeropyle langii,Diplocyclas davisiana,Botryostrobus aquilonaris,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. cornutoides    ,              ,145, 882,B, 10,H,CC,  21.00,     89.8600,Shilov   ,Radiolarians                                 ,C              ,G                 ,F                    ,R                ,F                  ,                       ,C                      ,C                    ,                        ,                            ,                       ,                       ,R                      ,                               ,                   ,                  ,C                    ,                         ,D. cornutoides and D. davisiana are recorded as F-C; from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. cornutoides    ,              ,145, 882,B, 11,H,CC,  27.00,     99.8400,Shilov   ,Radiolarians                                 ,C              ,M                 ,R                    ,R                ,                   ,                       ,F                      ,F                    ,                        ,                            ,                       ,                       ,R                      ,                               ,                   ,                  ,R                    ,R                        ,D. cornutoides is recorded as R-F; from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. cornutoides    ,              ,145, 882,B, 12,H,CC,   7.00,    109.1100,Shilov   ,Radiolarians                                 ,R              ,M                 ,R                    ,                 ,                   ,                       ,R                      ,R                    ,                        ,                            ,                       ,                       ,                       ,                               ,                   ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. cornutoides    ,              ,145, 882,B, 13,H,CC,  17.00,    118.8400,Shilov   ,Radiolarians                                 ,R              ,M                 ,                     ,                 ,                   ,                       ,R                      ,R                    ,                        ,                            ,                       ,                       ,                       ,                               ,                   ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 882,B, 16,H,CC,  16.00,    147.4300,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                    ,                 ,                   ,                       ,R                      ,                     ,R                       ,                            ,                       ,                       ,                       ,                               ,                   ,R                 ,                     ,                         ,S. delmontensis is questionably identified; from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
