Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rhabdosphaera clavigera	Gephyrocapsa oceanica	Emiliania huxleyi	Umbilicosphaera sibogae	Syracosphaera spp.	Reticulofenestra sp.	Helicosphaera carteri	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus leptoporus	Syracosphaera pulchra	Scapholithus fossilis	Gephyrocapsa spp. (small)	Discosphaera tubifera	Florisphaera profunda	Gephyrocapsa margerelii	Gephyrocapsa caribbeanica	Umbellosphaera spp.	Braarudosphaera bigelowii	Neosphaera coccolithomorpha	Comment



  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	  1	H	CC	   6.00	      2.8400	cur      	Nannofossils                                 	C              	M                 	R                      	C                    	A                	                       	                  	                    	                     	                     	                      	R                     	                     	                     	                         	                     	A                    	                       	                         	                   	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	  2	H	CC	  10.00	     12.7900	cur      	Nannofossils                                 	C              	G                 	                       	C                    	A                	                       	                  	                    	                     	R                    	                      	R                     	F                    	R                    	                         	                     	C                    	                       	                         	R                  	                         	R                          	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	  3	H	CC	  21.00	     22.2000	cur      	Nannofossils                                 	F              	M                 	                       	C                    	A                	R                      	                  	                    	R                    	                     	                      	R                     	R                    	                     	                         	                     	A                    	                       	                         	                   	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	  4	H	CC	  29.00	     32.0800	cur      	Nannofossils                                 	C              	G                 	                       	C                    	A                	R                      	                  	R                   	                     	                     	                      	                      	R                    	                     	                         	                     	A                    	                       	                         	R                  	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	  5	H	CC	  38.00	     41.6800	cur      	Nannofossils                                 	C              	G                 	                       	R                    	A                	R                      	R                 	                    	R                    	                     	                      	                      	                     	                     	                         	                     	                     	R                      	                         	R                  	R                        	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	  6	H	CC	  44.00	     51.2400	cur      	Nannofossils                                 	F              	G                 	                       	F                    	F                	                       	R                 	                    	                     	                     	                      	                      	                     	                     	                         	                     	F                    	                       	R                        	                   	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	  7	H	CC	  28.00	     60.6000	cur      	Nannofossils                                 	C              	G                 	                       	F                    	F                	                       	                  	                    	                     	                     	                      	                      	                     	                     	                         	                     	F                    	F                      	                         	                   	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	  8	H	CC	  32.00	     70.0300	cur      	Nannofossils                                 	F              	G                 	R                      	F                    	F                	R                      	                  	R                   	                     	                     	                      	                      	                     	                     	                         	                     	F                    	                       	                         	                   	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	  9	H	CC	  27.00	     79.5700	cur      	Nannofossils                                 	F              	G                 	R                      	F                    	F                	                       	                  	                    	                     	                     	                      	R                     	                     	                     	                         	                     	                     	                       	                         	                   	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	 10	H	CC	  32.00	     88.3000	cur      	Nannofossils                                 	C              	G                 	                       	R                    	C                	                       	F                 	                    	R                    	                     	                      	                      	F                    	R                    	                         	                     	R                    	                       	                         	                   	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	 11	H	CC	  34.00	     98.4200	cur      	Nannofossils                                 	F              	G                 	R                      	C                    	C                	                       	                  	R                   	R                    	                     	                      	R                     	                     	                     	                         	R                    	                     	                       	                         	                   	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	 12	H	CC	  17.00	    104.1300	cur      	Nannofossils                                 	C              	G                 	R                      	C                    	C                	                       	F                 	                    	                     	                     	                      	                      	R                    	R                    	R                        	                     	                     	                       	                         	                   	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	 13	H	CC	  27.00	    111.5900	cur      	Nannofossils                                 	C              	G                 	R                      	F                    	C                	R                      	                  	                    	R                    	                     	                      	                      	R                    	                     	                         	                     	                     	                       	                         	                   	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	 14	X	CC	  28.00	    121.1400	cur      	Nannofossils                                 	A              	G                 	                       	A                    	A                	R                      	                  	                    	                     	                     	                      	R                     	                     	                     	                         	                     	                     	                       	                         	                   	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	 15	X	CC	  15.00	    129.0000	cur      	Nannofossils                                 	A              	G                 	                       	C                    	A                	R                      	R                 	R                   	R                    	R                    	R                     	                      	                     	                     	                         	                     	                     	                       	                         	                   	                         	                           	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	B	 16	X	CC	  31.00	    139.2800	cur      	Nannofossils                                 	F              	G                 	R                      	C                    	A                	                       	                  	                    	                     	                     	                      	                      	                     	                     	                         	                     	                     	                       	                         	                   	                         	                           	       

