Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitellinata angustiumbilicata,Tenuitella munda,Subbotina angiporoides,Globorotaloides suteri,Globigerina officinalis,Chiloguembelina cubensis,Tenuitella gemma,Zeaglobigerina ampliapertura,Globorotaloides testarugosa,Globigerina euapertura,Catapsydrax dissimilis,Guembelitria triseriata,Globigerinita glutinata,Zeaglobigerina woodi,Neogloboquadrina pachyderma (dextral),Globorotalia truncatulinoides,Globorotalia inflata,Globigerinoides ruber,Globigerinella siphonifera,Globigerina bulloides,Fohsella peripheroronda,Zeaglobigerina nepenthes,Sphaeroidinellopsis disjuncta,Orbulina universa,Orbulina suturalis,Globoquadrina dehiscens,Globoconella miozea,Globoconella conoidea,Globigerinoides trilobus,Globigerinoides quadrilobatus,Jenkinsella mayeri,Globoconella panda,Globigerina falconensis,Neogloboquadrina acostaensis,Globorotalia puncticulata,Globorotalia margaritae,Globorotalia crassula,Globorotalia crassaformis,Globoconella sphericomiozea,Globigerinoides obliquus,Globigerina quinqueloba,Zeaglobigerina decoraperta,Sphaeroidinellopsis seminulina,Globoconella conomiozea,Globigerinita juvenilis,Globorotalia scitula,Neogloboquadrina pachyderma,Pulleniatina obliquiloculata,Globigerinoides sacculifer,Globigerinella obesa,Sphaeroidinella dehiscens,Globorotalia tosaensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,Pt1           ,182,1128,C,  1,H, 4,  45.00,      4.9500,Li       ,Planktonic Foraminifers                      ,A              ,VG                ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,                       ,                    ,F                                    ,F                            ,A                   ,A                    ,                          ,F                    ,                       ,                        ,                             ,F                ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,F                      ,                            ,                         ,                       ,                     ,P                        ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,P                        ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1128,C,  1,H,CC,  11.00,      7.9300,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,F                      ,                    ,                                     ,F                            ,F                   ,P                    ,P                         ,P                    ,                       ,                        ,                             ,R                ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,A                      ,                            ,P                        ,                       ,P                    ,P                        ,                           ,                        ,A                      ,                          ,                              ,                       ,P                      ,P                   ,F                          ,                            ,                          ,P                   ,R                        ,P                     ,some broken
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1128,C,  2,H,CC,  15.00,     16.7400,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,P                      ,                    ,                                     ,                             ,A                   ,P                    ,                          ,P                    ,                       ,                        ,                             ,P                ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,A                      ,                            ,P                        ,                       ,P                    ,F                        ,                           ,                        ,F                      ,                          ,                              ,                       ,                       ,                    ,P                          ,                            ,                          ,P                   ,                         ,                      ,most broken
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,182,1128,C,  3,H, 3,  29.00,     20.7900,Li       ,Planktonic Foraminifers                      ,A              ,VG                ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,                       ,                    ,F                                    ,                             ,A                   ,A                    ,P                         ,F                    ,                       ,                        ,                             ,F                ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,F                      ,                            ,                         ,                       ,                     ,P                        ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,P                           ,P                         ,                    ,                         ,                      ,G. trun.  present due to contamination
