Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina dutertrei,Globorotaloides variabilis,Globorotalia tumida,Globorotalia scitula,Globorotalia obesa,Globorotalia menardii,Globorotalia crassaformis,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinoides conglobatus,Globigerina bulloides,Globigerinoides fistulosus,Globigerinella aequilateralis,Globigerina juvenilis,Globigerina bradyi,Globorotalia tumida flexuosa,Globigerinita glutinata,Orbulina bilobata,Globorotalia ungulata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,P. obliquiloculata,              ,111, 677,B,  1,H,CC,  18.00,      7.5300,Houghton ,Planktonic Foraminifers                      ,               ,                  ,                         ,                            ,C                ,A                         ,                          ,                   ,                    ,                  ,                     ,                         ,C                       ,R                         ,R                    ,VR                         ,                     ,                          ,                             ,VR                   ,                  ,                            ,                       ,                 ,C                    ,from 111 SR. Chapter 24. Table 2. page 292.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,P. obliquiloculata,              ,111, 677,B,  2,H,CC,  19.00,     16.9400,Houghton ,Planktonic Foraminifers                      ,               ,                  ,                         ,R                           ,A                ,A                         ,                          ,                   ,                    ,                  ,                     ,                         ,C                       ,C                         ,R                    ,VR                         ,                     ,                          ,R                            ,                     ,                  ,                            ,                       ,VR               ,A                    ,from 111 SR. Chapter 24. Table 2. page 292.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,P. obliquiloculata,              ,111, 677,B,  3,H,CC,  14.00,     26.8500,Houghton ,Planktonic Foraminifers                      ,               ,                  ,VR                       ,VR                          ,C                ,A                         ,                          ,C                  ,VR                  ,                  ,C                    ,R                        ,                        ,C                         ,C                    ,VR                         ,                     ,                          ,                             ,                     ,                  ,                            ,VR                     ,                 ,                     ,from 111 SR. Chapter 24. Table 2. page 292.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,P. obliquiloculata,              ,111, 677,B,  4,H,CC,  26.00,     36.1800,Houghton ,Planktonic Foraminifers                      ,               ,                  ,                         ,R                           ,R                ,C                         ,                          ,C                  ,                    ,                  ,                     ,                         ,VR                      ,                          ,VR                   ,                           ,                     ,                          ,                             ,VR                   ,                  ,                            ,                       ,                 ,                     ,from 111 SR. Chapter 24. Table 2. page 292.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
