Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Zeaglobigerina woodi,Paragloborotalia mayeri,Globorotalia zealandica,Globorotalia praescitula,Globigerinoides trilobus,Globigerina spp.,Globigerina praebulloides,Sphaeroidinellopsis disjuncta,Globorotalia praemenardii,Globorotalia miozea,Globoquadrina dehiscens,Globigerina bulloides,Globorotalia amuria,Fohsella peripheroronda,Praeorbulina circularis,Orbulina suturalis,Globorotalia conica,Globorotalia miotumida,Globorotalia explicationis,Paragloborotalia bella,Orbulina universa,Globorotalia scitula,Globorotalia panda,Bolboforma subfragori,Bolboforma pentaspinosa,Neogloboquadrina pachyderma,Globigerina quinqueloba,Globigerinella aequilateralis,Globigerina umbilicata,Globorotalia puncticuloides,Globorotalia puncticulata,Globorotalia inflata,Globorotalia crassaformis l.c.,Globorotalia crassacarina,Comment
IR,,,,Wn-Wc,181,1120,B,1,H,CC,11.00,3.3100,forams,Planktonic Foraminifers,A,VG,,,,,,A,,,,,,F,,,,,,,,,,,,,,,R,,,F,R,P,P,P,
IR,,,,Tk,181,1120,B,2,H,CC,13.00,12.8300,forams,Planktonic Foraminifers,A,VG,,,,,,F,,,,,,A,,,,,,,P,,,R,,,,,R,,11,,,,,,
IR,,,,,181,1120,B,3,H,CC,20.00,17.6500,forams,Planktonic Foraminifers,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1120,B,4,H,3,35.00,25.6500,forams,Planktonic Foraminifers,A,VG,R,P,,,,A,,,,,,A,,,,,,R,,,R,,R,,,F,,,,,,,,,
IR,,,,,181,1120,B,4,H,3,129.00,26.5900,forams,Planktonic Foraminifers,A,VG,R,P,,,,A,,,,,,F,,,,,,,,,,,F,,,A,,,,,,,,,
IR,,,,,181,1120,B,5,H,CC,22.00,41.3900,forams,Planktonic Foraminifers,A,VG,R,P,,,,,,,,,,R,,,,,,R,,,R,,,,A,,R,P,,,,,,,
IR,,,,,181,1120,B,7,H,CC,18.00,59.4100,forams,Planktonic Foraminifers,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,
IR,,Late Miocene,,e Tt,181,1120,B,8,H,CC,10.00,68.2800,forams,Planktonic Foraminifers,A,VG,R,,,,,,,,,,,R,,,,,,R,,,,,,A,,,,,,,,,,,
IR,,Late Miocene,,e Tt,181,1120,B,9,X,CC,8.00,70.7700,forams,Planktonic Foraminifers,A,VG,R,P,,,,,,,,,P,F,,,,P,,P,,,P,,P,,A,R,R,,,,,,,,
IR,,Late Miocene,e Tt,Sw,181,1120,B,10,X,CC,12.00,77.3600,forams,Planktonic Foraminifers,A,VG,,P,,,,,,,,,,R,,,,P,,P,,P,P,R,R,F,F,,,,,,,,,,
IR,,,Sw,Sl,181,1120,B,12,X,CC,8.00,99.1000,forams,Planktonic Foraminifers,A,VG,R,P,,,,F,,,F,,,R,P,P,,P,R,F,P,,,,,,,,,,,,,,,,
IR,,Middle Miocene,,Sl,181,1120,B,16,X,CC,13.00,138.7300,forams,Planktonic Foraminifers,A,G,F,P,,,,,,,R,,,R,,,,R,P,,,,,,,,,,,,,,,,,,
IR,,Middle Miocene,Sl,Sc,181,1120,B,17,X,CC,19.00,148.0900,forams,Planktonic Foraminifers,A,VG,F,P,,,,F,,,R,,,F,R,,P,P,,,,,,,,,,,,,,,,,,,
IR,,Middle Miocene,Sc,late Pl,181,1120,B,18,X,CC,13.00,158.5300,forams,Planktonic Foraminifers,A,VG,F,,P,,P,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,
IR,,Middle Miocene,Sl,Sc,181,1120,B,19,X,CC,38.00,166.8800,forams,Planktonic Foraminifers,A,VG,R,,,,,,,,R,,P,R,P,P,,,,,,,,,,,,,,,,,,,,,
IR,,Early Miocene,late Pl,m Pl,181,1120,B,20,X,CC,7.00,177.0400,forams,Planktonic Foraminifers,A,VG,F,,P,R,,A,P,R,P,R,P,R,,,,,,,,,,,,,,,,,,,,,,,
IR,,Early Miocene,,m Pl,181,1120,B,21,X,CC,20.00,184.4500,forams,Planktonic Foraminifers,A,VG,F,P,R,P,R,A,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
