Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolithus pelagicus,Tribrachiatus digitalis,Tribrachiatus contortus,Discoaster multiradiatus,Tribrachiatus bramlettei,Rhomboaster bramlettei,Discoaster diastypus,Tribrachiatus orthostylus,Lophodolithus nascens,Toweius crassus,Discoaster lodoensis,Campylosphaera dela,Sphenolithus orphanknollensis,Lophodolithus mochlophorus,Discoaster kuepperi,Ericsonia formosa,Rhabdosphaera inflata,Discoaster sublodoensis,Zygrhablithus bijugatus,Toweius gammation,Sphenolithus stellatus,Ericsonia obruta,Discoaster salisburgensis,Chiasmolithus solitus,Chiasmolithus gigas,Chiasmolithus expansus,Sphenolithus obtusus,Sphenolithus furcatolithoides labradorensis,Reticulofenestra umbilica,Nannotetrina cristata,Discoaster tanii ornatus,Discoaster barbadiensis,Chiasmolithus grandis,Nannotetrina fulgens,Coccolithus eopelagicus,Braarudosphaera bigelowii,Nannotetrina quadrata,Markalius inversus,Chiasmolithus altus,Pemma papillatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,CP14a         ,171,1050,B,  3,H,CC,  23.00,     26.3100,Mita     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,R                ,                     ,                       ,R                      ,                 ,                      ,                ,                         ,R                    ,                   ,                      ,                    ,F                                          ,F                        ,                     ,                        ,R                      ,R                    ,                    ,R                      ,C                        ,                     ,                  ,                   ,                ,p
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,CP14a         ,171,1050,B,  4,H,CC,  11.00,     35.7600,Mita     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,R                ,                     ,                       ,R                      ,                 ,                      ,                ,                         ,R                    ,                   ,                      ,                    ,R                                          ,R                        ,                     ,                        ,R                      ,R                    ,                    ,R                      ,C                        ,                     ,R                 ,                   ,R               ,p
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,CP14a         ,171,1050,B,  5,H,CC,   8.00,     45.2800,Mita     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,R                ,                     ,                       ,R                      ,                 ,                      ,                ,                         ,R                    ,                   ,                      ,                    ,R                                          ,R                        ,                     ,                        ,R                      ,R                    ,                    ,R                      ,C                        ,                     ,R                 ,                   ,                ,p
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,CP14a         ,171,1050,B,  6,H,CC,  27.00,     54.9900,Mita     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,R                ,                     ,                       ,R                      ,                 ,                      ,                ,                         ,                     ,                   ,                      ,R                   ,R                                          ,R                        ,                     ,                        ,                       ,R                    ,                    ,R                      ,C                        ,                     ,R                 ,R                  ,                ,p
