Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paragloborotalia continuosa	Orbulina universa	Globoturborotalita apertura	Globorotalia scitula	Globorotalia pliozea	Globorotalia miotumida	Globorotalia conomiozea	Globorotalia conoidea	Globorotalia challengeri	Globigerinita glutinata	Globigerina quinqueloba	Globigerina falconensis	Globigerina bulloides	Neogloboquadrina pachyderma (sinistral)	Globorotalia explicationis	Globorotalia puncticuloides	Globorotalia puncticulata	Globorotalia crassaformis	Globigerinita uvula	Globorotalia crassula	Globigerinella aequilateralis	Globorotalia margaritae	Globorotalia crassaconica	Globorotalia inflata	Globorotalia tosaensis	Globorotalia crassacarina	Globorotalia truncatulinoides	Globorotalia theyeri	Globigerina umbilicata	Comment



  IR	                 	                 	                  	SN14          	189	1170	B	  1	H	CC	  13.00	      4.7500	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	+                   	                    	                      	                       	                     	                        	+                      	+                      	+                      	+                    	+                                      	                          	                           	                         	+                        	                   	+                    	+                            	                       	+                        	+                   	                      	+                        	+                            	                    	+                     	       

  IR	                 	                 	                  	SN14          	189	1170	B	  2	H	CC	   9.00	     14.6500	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	+                   	                    	                      	                       	                     	                        	+                      	+                      	+                      	+                    	+                                      	                          	                           	                         	+                        	                   	+                    	+                            	                       	+                        	+                   	                      	+                        	+                            	                    	+                     	Where is Gr. tosaensis?  Gr. trunc. very rare!

  IR	                 	                 	                  	SN14          	189	1170	B	  3	H	CC	  13.00	     24.0700	forams   	Planktonic Foraminifers                      	A              	VG                	                           	                 	                           	+                   	                    	                      	                       	                     	                        	+                      	                       	+                      	+                    	+                                      	                          	                           	                         	                         	+                  	                     	                             	                       	                         	+                   	                      	                         	+                            	+                   	                      	N. pachderma common, 1 broken Gr. truncat.

  IR	                 	                 	                  	SN14          	189	1170	B	  4	H	CC	  10.00	     33.5900	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	+                   	                    	                      	                       	                     	                        	+                      	+                      	+                      	+                    	+                                      	                          	                           	                         	+                        	                   	+                    	+                            	                       	+                        	+                   	                      	+                        	+                            	                    	                      	O. universa, G. aequilateralis return, N. pachy less abundant

  IR	                 	                 	                  	SN13          	189	1170	B	  5	H	CC	  13.00	     42.6600	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	+                   	                    	                      	                       	                     	                        	+                      	+                      	+                      	+                    	+                                      	                          	                           	+                        	+                        	                   	+                    	                             	                       	+                        	+                   	+                     	+                        	                             	                    	                      	Typical Gr. inflata rare

  IR	                 	                 	                  	SN13          	189	1170	B	  6	H	CC	   0.00	     52.5500	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	+                   	                    	                      	                       	                     	                        	+                      	                       	+                      	+                    	+                                      	                          	                           	+                        	+                        	                   	+                    	                             	+                      	+                        	+                   	                      	                         	                             	                    	                      	       

