Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys johnsoni	Stichocorys delmontensis	Solenosphaera omnitubus omnitubus	Siphostichartus corona	Phormostichoartus doliolum	Didymocyrtis penultima	Calocycletta caepa	Stichocorys peregrina	Lychnodictyum audax	Theocorythium vetulum	Stylatractus universus	Spongaster tetras	Pterocanium prismatium	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Amphirhopalum ypsilon	Theocalyptra davisiana	Anthocyrtidium angulare	Theocorythium trachelium trachelium	Pterocorys minythorax	Lamprocyrtis nigriniae	Comment



  SR	                 	                 	A. angulare       	              	138	 846	D	  4	H	CC	  25.00	     42.6600	Moore    	Radiolarians                                 	A              	M                 	                    	                        	                                 	                      	                          	                      	                  	                     	                   	F                    	R                     	R                	                      	-                          	                        	                         	                       	R                    	R                     	R                      	R                                  	R                    	-                     	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 846	D	  6	H	CC	  16.00	     61.3500	Moore    	Radiolarians                                 	A              	M                 	                    	                        	                                 	                      	                          	                      	                  	                     	                   	F                    	R                     	R                	R                     	R                          	-                       	                         	                       	R                    	R                     	-                      	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	A. jenghisi M95   	              	138	 846	D	 12	H	CC	  18.00	    115.9000	Moore    	Radiolarians                                 	A              	M                 	                    	                        	                                 	                      	                          	                      	                  	F                    	                   	R                    	R                     	R                	R                     	R                          	-                       	-                        	R                      	R                    	                      	                       	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	S peregrina(RN9)M95	              	138	 846	D	 15	H	CC	  25.00	    144.9200	Moore    	Radiolarians                                 	A              	M                 	                    	                        	                                 	                      	-                         	R                     	                  	C                    	R                  	                     	                      	                 	                      	                           	                        	                         	                       	                     	                      	                       	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	S peregrina(RN9)M95	              	138	 846	D	 17	H	CC	   9.00	    163.5800	Moore    	Radiolarians                                 	A              	M                 	                    	                        	                                 	                      	R                         	R                     	                  	C                    	R                  	                     	                      	                 	                      	                           	                        	                         	                       	                     	                      	                       	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	S peregrina(RN9)M95	              	138	 846	D	 20	X	CC	  24.00	    191.5600	Moore    	Radiolarians                                 	A              	M                 	                    	                        	R                                	R                     	R                         	R                     	                  	C                    	R                  	                     	                      	                 	                      	                           	                        	                         	                       	                     	                      	                       	                                   	                     	                      	Reworked older fauna = Few; from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

