Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rhizophora taxa	Poaceae taxa	Pinus taxa	Gpysophila taxa	Ephedra taxa	Cyperaceae taxa	Chenopodiaceae/Amaranthaceae taxa	Capparidaceae taxa	Calligonum taxa	Balanites taxa	Asteraceae taxa	Artemisia taxa	Comment



  SR	                 	                 	                  	              	108	 658	B	  2	H	 1	  10.00	      2.4000	Dupont   	Pollen/Spores                                	               	                  	20             	245         	27        	7              	27          	371            	179                              	7                 	13             	0             	30             	7             	pollen concentration values are given in number per cm3; total polen counted = 306 per 17 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	B	  2	H	 1	  76.00	      3.0600	Dupont   	Pollen/Spores                                	               	                  	81             	410         	21        	0              	21          	322            	1413                             	0                 	0              	0             	28             	7             	pollen concentration values are given in number per cm3; total polen counted = 307 per 17 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	B	  2	H	 2	  20.00	      4.0000	Dupont   	Pollen/Spores                                	               	                  	5              	219         	80        	37             	219         	262            	673                              	0                 	11             	0             	48             	69            	pollen concentration values are given in number per cm3; total polen counted = 363 per 20 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	B	  2	H	 2	  95.00	      4.7500	Dupont   	Pollen/Spores                                	               	                  	9              	311         	52        	17             	207         	117            	423                              	0                 	9              	0             	52             	86            	pollen concentration values are given in number per cm3; total polen counted = 329 per 18 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	B	  2	H	 3	  20.00	      5.5000	Dupont   	Pollen/Spores                                	               	                  	2              	82          	62        	7              	96          	49             	116                              	0                 	3              	2             	22             	37            	pollen concentration values are given in number per cm3; total polen counted = 315 per 20 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	B	  2	H	 3	  95.00	      6.2500	Dupont   	Pollen/Spores                                	               	                  	0              	109         	47        	8              	80          	47             	95                               	0                 	2              	0             	23             	41            	pollen concentration values are given in number per cm3; total polen counted = 324 per 17 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	B	  2	H	 4	  20.00	      7.0000	Dupont   	Pollen/Spores                                	               	                  	0              	208         	23        	88             	240         	194            	430                              	0                 	0              	0             	28             	55            	pollen concentration values are given in number per cm3; total polen counted = 313 per 19 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	B	  2	H	 4	  95.00	      7.7500	Dupont   	Pollen/Spores                                	               	                  	0              	118         	57        	95             	282         	99             	430                              	0                 	8              	0             	57             	72            	pollen concentration values are given in number per cm3; total polen counted = 357 per 19 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

