Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Eucyrtidium calvertense,Stylodictya validispina,Siphocampe arachnea,Rhopalastrum profunda group,Anthocyrtidium pliocenica,Stylatractus universus,Rhizosphaera aquatica,Phormostichoartus crustula,Lamprocyrtis heteroporos,Stylochlamidium  venustum,Stylacontarium acquilonium,Pterocanium auritum,Lychnocanoma nipponica sakaii,Lamprocyrtis neoheteroporos,Lamprocyclas margatensis,Lamprocyclas junonis,Clathrocyclas bicornis,Phormostichoartus intermedium,Eucyrtidium teuscheri group,Eucyrtidium erythromystax,Eucyrtidium aderces,Botryostrobus praetumidulus,Actinomma popofskii,Lamprocyclas hadros,Stichocorys delmontensis,Gondwanaria dogieli,Botryostrobus aquilonaris,Pseudocubus warreni,Lamprocyclas gamphonycha,Cycladophora davisiana davisiana,Ceratocyrtis histricosa,Siphocampe(?) quadrata,Sphaeropyle langii,Lithelius sp.,Ceratospyris hyperborea,Botryostrobus tumidulus,Cyrtocapsella japonica,Acrosphaera murrayana,Eucyrtidium matuyamai,Anthocyrtidium nosicaae,Pterocorys clausus,Diartus petterssoni,Cycladophora bicincta,Amphimelissa setosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,S. universus      ,B. aquilonaris,167,1014,A,  4,H,CC,  20.00,     31.9400,Caulet   ,Radiolarians                                 ,R              ,P                 ,                     ,                       ,                       ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,                          ,                   ,                             ,                           ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,+                       ,                   ,+                        ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,S. universus      ,B. aquilonaris,167,1014,A,  5,H,CC,  19.00,     41.3700,Caulet   ,Radiolarians                                 ,R              ,G                 ,                     ,+                      ,+                      ,                   ,+                          ,                         ,+                     ,+                    ,                          ,                        ,                         ,+                         ,                   ,                             ,+                          ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,+                               ,+                      ,                      ,                  ,             ,+                      ,+                      ,                      ,                     ,                     ,                       ,                  ,                   ,+                    ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,E. matuyamai (N Pac),              ,167,1014,A,  6,H,CC,  21.00,     49.4700,Caulet   ,Radiolarians                                 ,R              ,M                 ,                     ,                       ,                       ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,                          ,                   ,                             ,                           ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,+                        ,                   ,                        ,+                               ,                       ,                      ,+                 ,             ,                       ,+                      ,                      ,                     ,+                    ,                       ,                  ,                   ,+                    ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,E. matuyamai (N Pac),              ,167,1014,A,  8,X,CC,  28.00,     63.3900,Caulet   ,Radiolarians                                 ,R              ,M                 ,                     ,                       ,                       ,                   ,                           ,                         ,                      ,+                    ,                          ,                        ,                         ,                          ,                   ,                             ,                           ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,+                               ,                       ,                      ,                  ,             ,                       ,+                      ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
