Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globorotalia tumida flexuosa,Globorotalia tumida (right),Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia scitula,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia crassaformis,Globoquadrina conglomerata,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides conglobatus,Globigerinita glutinata,Globigerina rubescens,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Y                 ,              ,155, 933,A,  1,H,CC,  14.00,      5.6000,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,F                           ,R                ,-                                    ,C                         ,-                           ,F                          ,F                            ,-                     ,-                   ,F                    ,-                   ,-                     ,-                        ,-                         ,C                                ,F                                  ,C                            ,F                           ,-                          ,-                      ,-                    ,-                    ,age assignment uncertain; from Leg 155IR  p. 214 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 933,A,  2,H,CC,  32.00,     16.2400,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,-                           ,-                ,-                                    ,F                         ,-                           ,-                          ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                        ,-                         ,R                                ,R                                  ,R                            ,-                           ,-                          ,-                      ,-                    ,-                    ,from Leg 155IR  p. 214 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 933,A,  3,H,CC,  41.00,     25.8700,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                           ,-                ,-                                    ,C                         ,-                           ,-                          ,C                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                        ,R                         ,F                                ,F                                  ,F                            ,-                           ,-                          ,-                      ,-                    ,-                    ,from Leg 155IR  p. 214 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 933,A,  4,H,CC,  45.00,     35.0200,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                           ,-                ,-                                    ,C                         ,-                           ,-                          ,C                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                        ,-                         ,F                                ,C                                  ,F                            ,-                           ,-                          ,-                      ,-                    ,-                    ,from Leg 155IR  p. 214 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
