Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiniferites spp.	Spiniferites ramosus	Membranophoridium aspinatum	Chiropteridium galea species complex	Spiniferella cornuta	Palaeocystodinium golzowense	Lingulodinium machaerophorum	Distatodinium biffii	Cordosphaeridium minimum	Areoligera semicirculata	Selenopemphix spp.	Distatodinium spp.	Dapsilidinium pastielsii	Spiniferites pseudofurcatus	Reticulatosphaera actinocoronata	Palaeocystodinium sp.1	Lejeunecysta spp.	Hystrichokolpoma rigaudiae	Protoperidinium spp. "round browns"	Artemisiocysta cladodichotoma	Thalassiphora pelagica	Dinopterygium cladoides	Deflandrea phosphoritica species complex	Caligodinium amiculum	Tectatodinium pellitum	Systematophora placacantha	Operculodinium centrocarpum	Impagidinium spp.	Heteraulacacysta campanula	Distatodinium paradoxum	Deflandrea heterophlycta	Apteodinium australiense	Spiniferites mirabilis	Operculodinium spp.	Phthanoperidinium comatum	Tuberculodinium vancampoae	Polykrikos spp.	Phthanoperidinium alectrolophum	Selenopemphix nephroides	Nematosphaeropsis lemniscata	Phthanoperidinium spp.	Batiacasphaera gemmata	Spiniferites membranosus	Operculodinium? eirikianum	Svalbardella sp.1	Batiacasphaera spp.	Impagidinium japonicum	Batiacasphaera sphaerica	Trinovantedinium glorianum	Quinquecuspis spp.	Melitasphaeridium choanophorum	Artemisiocysta spp.	Systematophora spp.	Labyrinthodinium truncatum	Hystrichosphaeropsis obscura	Cribroperidinium tenuitabulatum	Achomosphaera sp.1	Selenopemphix subinerme	Selenopemphix brevispinosa	Evittosphaerula? sp. 2 	Amiculosphaera umbracula	Vozzhennikovia spp.	Trinovantedinium papulum	Nematosphaeropsis rigida	Cristadinium cristatoserratum	Batiacasphaera micropapillata	Achomosphaera ramulifera	Operculodinium? cf. longispinigerum	Phelodinium spp.	Barssidinium graminosum	Hystrichokolpoma spp.	Impagidinium strialatum	Areosphaeridium spp.	Operculodinium israelianum	Dapsilidinium spp.	Achomosphaera andalousiensis	Hystrichokolpoma pacificum	Comment



  SR	Late Miocene     	Early Pliocene   	Mio5              	Pli2          	151	 908	A	  8	H	 1	  99.00	     63.3900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	R                   	                           	                                    	                    	                            	R                           	                    	                        	                        	                  	                  	                        	                           	                                	                      	R                	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	R                     	                        	                          	                 	                   	                      	R                       	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	R                       	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	R                         	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	Early Pliocene   	Mio5              	Pli2          	151	 908	A	  8	H	 5	  71.00	     69.1100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	R                   	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	R                       	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	Early Pliocene   	Mio5              	Pli2          	151	 908	A	  9	H	 2	  73.00	     74.1300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	R                   	                           	                                    	                    	                            	                            	                    	R                       	                        	R                 	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	R                       	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	Early Pliocene   	Mio5              	Pli2          	151	 908	A	  9	H	 5	  73.00	     78.5200	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	R                   	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	R                  	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	R                       	                          	                  	R                             	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	R                           	                          	From Leg 151. Ch 14. Fig 6. p. 274-279
