Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Reticulofenestra minuta,Gephyrocapsa spp. (small),Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Gephyrocapsa muellerae,Reticulofenestra asanoi,Scapholithus fossilis,Emiliania huxleyi,Braarudosphaera bigelowii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  1,H, 2,  80.00,      2.3000,Su       ,Nannofossils                                 ,F              ,G                 ,                        ,R                    ,                      ,                      ,                       ,F                        ,                         ,                     ,C                     ,                       ,                     ,D                ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  1,H, 3,  55.00,      3.5500,Su       ,Nannofossils                                 ,C              ,M                 ,                        ,R                    ,                      ,                      ,                       ,C                        ,                         ,                     ,F                     ,                       ,                     ,A                ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  1,H, 4,  54.00,      5.0400,Su       ,Nannofossils                                 ,C              ,M-G               ,                        ,R                    ,                      ,                      ,                       ,C                        ,                         ,                     ,A                     ,                       ,                     ,F                ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  1,H, 5,  73.00,      6.7300,Su       ,Nannofossils                                 ,F              ,M-G               ,T                       ,F                    ,                      ,                      ,                       ,                         ,F                        ,R                    ,D                     ,                       ,                     ,                 ,R                        ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  1,H, 6,  67.00,      8.1700,Su       ,Nannofossils                                 ,C              ,G                 ,R                       ,C                    ,                      ,                      ,                       ,R                        ,                         ,                     ,D                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  2,H, 1, 130.00,     10.1000,Su       ,Nannofossils                                 ,C              ,G                 ,                        ,R                    ,                      ,                      ,                       ,F                        ,                         ,                     ,                      ,                       ,                     ,D                ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
