leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
56,435,,1,3,33.0,35.0,0.00,3.34, 1,"HANAI,T.;IKEYA,N.;YAJIMA,M.",11/1980,56,OSTRACODES,,,,,NO AGE GIVEN,908,OWICH0010,Wichmannella sp.,PRESENT,  ,1,594186994ed34bab2d3e45313d218f4d,56-435-1-3
56,435,,6,5,30.0,32.0,46.00,52.31, 1,"HANAI,T.;IKEYA,N.;YAJIMA,M.",11/1980,56,OSTRACODES,,,,,NO AGE GIVEN,908,OKRIT0010,Krithe sp.,PRESENT,  ,1,fd855767044975ea70e1de282bdee3b3,56-435-6-5
