Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Cibicidoides spp.	Spiroplectammina spectabilis	Unidentified benthic forams	Dentalina/Nodosaria spp.	Cibicidoides eocaenus	Ammovertellina sp.	Pleurostomella spp.	Nuttallides truempyi	Karreriella subglabra	Vulvulina spinosa	Subreophax sp.	Oridorsalis umbonatus	Gyroidinoides girardanus	Cibicidoides grimsdalei	Stilostomella lepidula	Siphonodosaria abyssorum	Globocassidulina sp.	Cribrostomoides spp.	Unilocular species	Pullenia subcarinata	Nuttallides umbonifera	Nonion havanensis	Eggerella spp.	Astrononion echolsi	Anomalinoides pseudogrosserugosus	Stilostomella subspinosa	Rhizammina sp.	Nodosarella spp.	Cyclammina spp.	Cibicidoides praemundulus	Anomalinoides spissiformis	Pyrulina spp.	Globocassidulina globosa	Buliminella carseyae	Bathysiphon spp.	Recurvoides sp.	Osangularia plummerae	Cibicidoides bradyi	Francesita advena	Cibicidoides havanensis	Chilostomella sp.	Anomalinoides semicribratus	Hippocrepinella sp.	Textularia spp.	Pullenia osloensis	Pullenia bulloides	Gyroidinoides spp.	Gyroidinoides soldanii	Epistominella exigua	Gyroidinoides lamarckianus	Glomospira gordialis	Cibicidoides pachyderma	Ammolagena clavata	Stilostomella rugosa	Martinottiella communis	Comment

  IR	                 	                 	                  	              	199	1219	A	  5	H	CC	  14.00	     44.4300	nannos   	Benthic Foraminifers                         	F              	P                 	                 	                            	                           	F                       	                     	R                 	F                  	                    	R                    	R                	              	F                    	                        	F                      	                      	F                       	C                   	R                   	R                 	                    	R                     	                 	              	                   	                                 	F                       	              	R               	               	                         	                          	             	F                       	                    	R               	               	                     	R                  	                 	                       	                 	                           	                   	               	                  	R                 	                  	R                     	R                   	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	  6	H	CC	  18.00	     53.9000	nannos   	Benthic Foraminifers                         	R              	G                 	F                	R                           	                           	                        	                     	R                 	                   	                    	                     	R                	              	F                    	                        	R                      	R                     	                        	                    	                    	                  	                    	F                     	                 	              	                   	                                 	                        	R             	R               	               	                         	                          	R            	                        	                    	                	               	                     	F                  	                 	                       	                 	                           	                   	               	                  	R                 	                  	                      	                    	R                         	F                   	R                      	R                 	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	  7	H	CC	  24.00	     62.9400	nannos   	Benthic Foraminifers                         	F              	VG                	                 	R                           	                           	F                       	                     	                  	F                  	                    	                     	                 	R             	F                    	                        	R                      	F                     	R                       	F                   	R                   	R                 	R                   	R                     	R                	R             	                   	                                 	F                       	              	R               	               	                         	                          	             	                        	                    	                	               	                     	                   	                 	                       	                 	                           	                   	               	                  	R                 	                  	R                     	R                   	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	  8	H	CC	  20.00	     73.0500	nannos   	Benthic Foraminifers                         	R              	VG                	R                	                            	                           	R                       	R                    	                  	F                  	                    	R                    	R                	              	C                    	                        	                       	R                     	R                       	                    	R                   	R                 	R                   	R                     	C                	              	                   	                                 	                        	R             	                	               	                         	                          	             	                        	                    	                	               	                     	                   	                 	                       	                 	                           	                   	R              	R                 	R                 	F                 	F                     	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	  9	H	CC	  10.00	     82.3500	nannos   	Benthic Foraminifers                         	R              	VG                	                 	                            	                           	F                       	F                    	                  	R                  	                    	                     	                 	              	C                    	F                       	F                      	R                     	R                       	                    	                    	R                 	                    	R                     	F                	R             	                   	R                                	                        	              	R               	               	R                        	                          	             	                        	                    	                	               	                     	R                  	F                	                       	                 	                           	R                  	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 10	H	CC	  27.00	     91.5700	nannos   	Benthic Foraminifers                         	F              	VG                	                 	                            	                           	F                       	                     	                  	                   	                    	R                    	                 	              	F                    	R                       	F                      	R                     	R                       	R                   	R                   	F                 	R                   	C                     	F                	              	R                  	                                 	R                       	              	                	               	C                        	                          	             	                        	                    	                	               	                     	R                  	F                	                       	R                	R                          	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 11	H	CC	  11.00	    101.1300	nannos   	Benthic Foraminifers                         	F              	VG                	C                	R                           	                           	F                       	R                    	                  	                   	                    	                     	R                	              	C                    	F                       	R                      	                      	R                       	F                   	                    	R                 	                    	                      	                 	              	                   	R                                	                        	              	R               	               	C                        	                          	R            	                        	                    	                	R              	                     	                   	F                	R                      	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 12	H	CC	  24.00	    111.0800	nannos   	Benthic Foraminifers                         	F              	VG                	                 	                            	                           	                        	                     	                  	                   	                    	R                    	                 	              	C                    	F                       	F                      	                      	                        	                    	                    	                  	F                   	                      	R                	              	                   	F                                	R                       	              	R               	               	C                        	                          	             	                        	R                   	                	R              	                     	R                  	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 13	H	CC	   7.00	    120.0800	nannos   	Benthic Foraminifers                         	F              	VG                	R                	                            	                           	R                       	F                    	                  	F                  	                    	                     	R                	              	C                    	                        	F                      	                      	R                       	F                   	                    	R                 	                    	R                     	                 	              	                   	F                                	R                       	              	                	               	C                        	R                         	             	                        	R                   	                	R              	F                    	                   	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 14	H	CC	  14.00	    129.9700	nannos   	Benthic Foraminifers                         	F              	VG                	                 	R                           	                           	                        	F                    	                  	                   	                    	                     	R                	              	F                    	F                       	F                      	                      	R                       	                    	                    	R                 	                    	                      	R                	              	                   	                                 	                        	              	R               	               	                         	F                         	R            	F                       	F                   	R               	               	                     	                   	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 15	H	CC	   6.00	    139.2100	nannos   	Benthic Foraminifers                         	R              	VG                	                 	                            	                           	                        	R                    	                  	                   	                    	                     	                 	              	F                    	                        	C                      	                      	R                       	                    	                    	                  	                    	                      	R                	R             	                   	                                 	R                       	R             	R               	F              	C                        	R                         	             	                        	                    	                	               	                     	                   	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 16	H	CC	  11.00	    148.8900	nannos   	Benthic Foraminifers                         	F              	VG                	                 	R                           	                           	R                       	F                    	                  	F                  	                    	                     	R                	              	F                    	F                       	                       	                      	R                       	F                   	                    	F                 	R                   	R                     	R                	R             	F                  	R                                	                        	              	                	               	                         	                          	             	                        	                    	                	               	                     	                   	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 17	H	 8	  12.00	    157.9100	nannos   	Benthic Foraminifers                         	T              	P                 	                 	A                           	                           	                        	                     	                  	                   	                    	                     	                 	              	                     	                        	                       	                      	                        	                    	                    	                  	                    	                      	                 	              	                   	                                 	                        	              	                	               	                         	                          	             	                        	                    	                	               	                     	                   	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 18	H	CC	  17.00	    167.9700	nannos   	Benthic Foraminifers                         	T              	P                 	                 	A                           	                           	                        	                     	                  	                   	                    	                     	                 	              	                     	                        	                       	                      	                        	                    	A                   	                  	                    	                      	                 	              	                   	                                 	                        	              	                	               	                         	                          	             	                        	                    	                	               	                     	                   	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 19	H	CC	   0.00	    176.9800	nannos   	Benthic Foraminifers                         	R              	P                 	                 	F                           	                           	                        	                     	                  	R                  	F                   	                     	                 	              	F                    	                        	F                      	F                     	F                       	F                   	                    	                  	                    	                      	                 	              	                   	                                 	                        	              	                	               	                         	                          	             	                        	                    	                	               	                     	                   	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

