Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Neogloboquadrina pachyderma (dextral),Globigerina woodi,Globigerina decoraperta,Globigerina bulloides,Globigerina apertura,Neogloboquadrina cf. continuosa,Neogloboquadrina humerosa,"Neogloboquadrina sp. ""rounded""",Globorotalia cf. Gr. conomiozea,Globigerinoides ruber,Globorotalia inflata,Globorotalia scitula,Neogloboquadrina asanoi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1022,A,  1,H,CC,  12.00,      4.4700,Kennett  ,Planktonic Foraminifers                      ,A              ,M                 ,                 ,C                                    ,                 ,                       ,A                    ,                    ,                               ,C                        ,C                             ,                               ,                     ,                    ,                    ,A                      ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1022,A,  2,H,CC,  24.00,     14.5300,Kennett  ,Planktonic Foraminifers                      ,A              ,M                 ,                 ,                                     ,                 ,                       ,A                    ,                    ,                               ,F                        ,                              ,                               ,                     ,C                   ,                    ,A                      ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1022,A,  3,H,CC,  23.00,     24.0000,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,F                                    ,                 ,                       ,A                    ,                    ,                               ,                         ,A                             ,                               ,                     ,A                   ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1022,A,  4,H,CC,  20.00,     33.3900,Kennett  ,Planktonic Foraminifers                      ,F              ,P                 ,F                ,                                     ,                 ,                       ,A                    ,                    ,                               ,                         ,A                             ,                               ,                     ,                    ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1022,A,  5,H,CC,  19.00,     42.9100,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,F                                    ,                 ,                       ,A                    ,                    ,                               ,F                        ,A                             ,                               ,                     ,C                   ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1022,A,  6,H,CC,  33.00,     52.3100,Kennett  ,Planktonic Foraminifers                      ,A              ,M                 ,                 ,A                                    ,                 ,                       ,A                    ,                    ,                               ,F                        ,A                             ,                               ,                     ,R                   ,                    ,A                      ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
