Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Thoracosphaera spp.	Reticulofenestra small-sized	Reticulofenestra pseudoumbilicus	Pseudoemiliania lacunosa	Helicosphaera carteri	Gephyrocapsa parallela	Gephyrocapsa medium-sized	Cyclicargolithus floridanus	Coccolithus pelagicus	Calcidiscus leptoporus	Discoaster deflandrei	Dictyococcites bisectus	Braarudosphaera bigelowii	Umbilicosphaera angustiforamen	Helicosphaera intermedia	Helicosphaera sellii	Emiliania huxleyi	Pontosphaera spp.	Coronocyclus nitescens	Umbilicosphaera sibogae	Triquetrorhabdulus rugosus	Sphenolithus moriformis	Comment
																																							
																																							
																																							
IR	Pleistocene	Pleistocene	NN21	NN21	181	1119	B	1	H	CC	10.00	4.6800	nannos	Nannofossils	C	G		C					A	R	C	F	R						D			C	R	F	
																																							
IR	Pleistocene	Pleistocene	NN21	NN21	181	1119	B	2	H	CC	11.00	14.5300	nannos	Nannofossils	C	G	R						A	R	C	R		R					D		R				E. huxleyi are big and dominant
																																							
IR	Pleistocene	Pleistocene	NN21	NN21	181	1119	B	3	H	CC	51.00	24.2400	nannos	Nannofossils	C	G		C				F	C		C								C						
																																							
IR	Pleistocene	Pleistocene	NN21	NN21	181	1119	B	4	H	CC	47.00	30.8400	nannos	Nannofossils	C	G		F				F	C	R				R					F	R					
																																							
IR	Pleistocene	Pleistocene	NN21	NN21	181	1119	B	5	H	CC	25.00	43.5300	nannos	Nannofossils	A	G		C					C	R	C								F						
																																							
IR	Pleistocene	Pleistocene			181	1119	B	6	H	CC	30.00	52.9700	nannos	Nannofossils	F	G		C					C		F		R												
																																							
IR	Pleistocene	Pleistocene			181	1119	B	7	H	CC	65.00	62.5200	nannos	Nannofossils	C	G		C			F	F	A		C														"""Small"" Gephyrocapsa abundant"
																																							
IR	Pleistocene	Pleistocene			181	1119	B	8	H	CC	27.00	72.0900	nannos	Nannofossils	C	G		F	R		F			R	A	F		R				R							"""Small"" Gephyrocapsa dominant"
																																							
IR	Pleistocene	Pleistocene			181	1119	B	9	H	CC	33.00	81.4500	nannos	Nannofossils	C	G		C		R	F		A	R	A	F		R			R								
																																							
IR	Pleistocene	Pleistocene			181	1119	B	10	H	CC	31.00	90.9300	nannos	Nannofossils	C	G		C	F		F	F	C	R	C	C		R											
																																							
IR	Pleistocene	Pleistocene			181	1119	B	11	H	CC	25.00	100.3900	nannos	Nannofossils	F	M		C								C													Mainly composed of calcite fragments
																																							
IR	Pleistocene	Pleistocene			181	1119	B	12	H	CC	29.00	109.9100	nannos	Nannofossils	A	VG		A					A		C	R				R									
																																							
IR	Pleistocene	Pleistocene			181	1119	B	13	H	CC	48.00	119.6600	nannos	Nannofossils	A	G		C					A	R	C														
																																							
IR	Pleistocene	Pleistocene			181	1119	B	14	H	CC	33.00	128.9800	nannos	Nannofossils	A	G		A	R			A	A		C														
																																							
IR	Pleistocene	Pleistocene			181	1119	B	15	H	CC	25.00	138.5000	nannos	Nannofossils	A	VG	R	A				A	A		F														
																																							
IR	Pleistocene	Pleistocene			181	1119	B	16	H	CC	36.00	147.9500	nannos	Nannofossils	A	G		C	R			C	A	R	C	R	R	R	R										
																																							
IR	Pleistocene	Pleistocene			181	1119	B	17	H	CC	26.00	155.8000	nannos	Nannofossils	A	G	R	A	R	R	R	C	A	R	C	R													
																																							
