Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Sponge spicules	Xanthiopyxis ovalis	Thalassiosira oestrupii	Stephanopyxis turris turris	Stephanopyxis turris intermedia	Rhizosolenia hebetata f. hiemalis	Rhaphoneis surirelloides	Proboscia alata	Paralia sulcata	Nitzschia panduriformis	Nitzschia kerguelenis	Hyalodiscus ?scotticus	Grammatophora sp.	Diploneis sp.	Actinocyclus ingens var. planus	Thalassiothrix longissima	Thalassiosira leptopus	Thalassiosira lentiginosa	Thalassionema nitzschioides  var. parva	Rhizosolenia styliformis	Pleurosigma sp.	Navicula directa	Azpeitia tabularis	Actinoptychus splendens	Actinoptychus senarius	Nitzschia bicapitata	Cavitatus lanceolatus	Coscinodiscus radiatus	Nitzschia ritscherii	Monaxons taxa	Diatom fragments	Comment
																																																
																																																
																																																
IR					181	1119	B	1	H	1	0.00	0.0000	diatoms	Diatoms	B		C																														R	
																																																
IR					181	1119	B	1	H	CC	10.00	4.6800	diatoms	Diatoms	T		C																													F	R	
																																																
IR					181	1119	B	2	H	CC	11.00	14.5300	diatoms	Diatoms	T		C											T																		F	R	
																																																
IR					181	1119	B	3	H	CC	51.00	24.2400	diatoms	Diatoms	T		C											T																	R	R	R	
																																																
IR					181	1119	B	4	H	CC	47.00	30.8400	diatoms	Diatoms	R		C											R																				
																																																
IR					181	1119	B	5	H	CC	25.00	43.5300	diatoms	Diatoms	F		C	R					C		F	C	T	R										T						R				
																																																
IR					181	1119	B	6	H	CC	30.00	52.9700	diatoms	Diatoms	T		C										T	T																				
																																																
IR					181	1119	B	7	H	CC	65.00	62.5200	diatoms	Diatoms	T		C																															
																																																
IR					181	1119	B	8	H	CC	27.00	72.0900	diatoms	Diatoms	R		C	R					C		F	C	F	T																				
																																																
IR					181	1119	B	9	H	CC	33.00	81.4500	diatoms	Diatoms	T		C											T																				
																																																
IR					181	1119	B	10	H	CC	31.00	90.9300	diatoms	Diatoms	R		C											T														T	F					
																																																
IR					181	1119	B	11	H	CC	25.00	100.3900	diatoms	Diatoms	T		C											T																				
																																																
IR					181	1119	B	12	H	CC	29.00	109.9100	diatoms	Diatoms	B		C											T																				
																																																
IR					181	1119	B	13	H	CC	48.00	119.6600	diatoms	Diatoms	R		C											R																				
																																																
IR					181	1119	B	14	H	CC	33.00	128.9800	diatoms	Diatoms	C		C											R																				
																																																
IR					181	1119	B	15	H	CC	25.00	138.5000	diatoms	Diatoms	C		C		C	T			F		R	C	R	R				R	T	T	T	T	T	R	R	T	R							
																																																
IR					181	1119	B	16	H	CC	36.00	147.9500	diatoms	Diatoms	C		C	T	R	C	F	R	R	R	R	F	F	T	T	R	F																	
																																																
IR					181	1119	B	17	H	CC	26.00	155.8000	diatoms	Diatoms			C																															
																																																
