Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus spiniger,Sphenolithus moriformis,Helicosphaera obliqua,Discoaster saipanensis,Discoaster nodifer,Discoaster deflandrei,Coccolithus pelagicus,Coccolithus formosus,Chiasmolithus solitus,Chiasmolithus expansus,Reticulofenestra umbilica,Bramletteius serraculoides,Zygrhablithus bijugatus,Discoaster strictus,Dictyococcites bisectus,Chiasmolithus oamaruensis,Reticulofenestra hillae,Isthmolithus recurvus,Discoaster tanii ornatus,Chiasmolithus altus,Discoaster tanii,Pentaster lisbonensis,Cyclicargolithus floridanus,Braarudosphaera bigelowii,Discoaster adamanteus,Micrantholithus entaster,Helicosphaera recta,Cyclicargolithus abisectus,Sphenolithus ciperoensis,Helicosphaera euphratis,Triquetrorhabdulus carinatus,Triquetrorhabdulus auritus,Reticulofenestra lockerii,Pontosphaera pachymorpha,Coccolithus miopelagicus,Micrantholithus pinguis,Micrantholithus flos,Dictyococcites scrippsae,Corannulus germanicus,Sphenolithus conicus,Discoaster trinidadensis,Triquetrorhabdulus milowii,Orthorhabdus serratus,Helicosphaera carteri,Coronocyclus nitescens,Sphenolithus heteromorphus,Sphenolithus abies,Pontosphaera multipora,Dictyococcites antarcticus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Early Miocene    ,NN5               ,NN4           ,182,1126,D,  3,R,CC,   4.00,    166.6900,Shafik   ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,F                    ,                      ,                  ,                     ,                     ,                    ,                     ,                      ,                         ,                          ,                       ,                   ,                       ,                         ,                       ,                     ,                        ,                   ,                ,                     ,A                          ,C                        ,                     ,                        ,                   ,                          ,                        ,R                      ,                            ,                          ,                         ,F                       ,                        ,                       ,                    ,                        ,                     ,                    ,F                       ,                          ,                     ,F                    ,                      ,C                         ,F                 ,F                     ,F                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,NN1               ,NN2           ,182,1126,D,  5,R,CC,  14.00,    185.5200,Shafik   ,Nannofossils                                 ,C              ,M                 ,                     ,R                      ,F                    ,                      ,                  ,                     ,                     ,                    ,                     ,                      ,                         ,                          ,                       ,                   ,                       ,                         ,                       ,                     ,                        ,                   ,                ,                     ,A                          ,A                        ,                     ,                        ,                   ,                          ,                        ,                       ,                            ,R                         ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,F                       ,R                         ,R                    ,R                    ,F                     ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,              ,182,1126,D,  6,R,CC,  18.00,    195.3000,Shafik   ,Nannofossils                                 ,F              ,P                 ,                     ,C                      ,                     ,                      ,                  ,                     ,                     ,                    ,                     ,                      ,                         ,                          ,                       ,                   ,                       ,                         ,                       ,                     ,                        ,                   ,                ,                     ,A                          ,C                        ,                     ,                        ,                   ,                          ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,F                       ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,NN1               ,NN2           ,182,1126,D,  7,R,CC,  15.00,    204.6100,Shafik   ,Nannofossils                                 ,F              ,P                 ,                     ,                       ,                     ,                      ,                  ,                     ,                     ,                    ,                     ,                      ,                         ,                          ,                       ,                   ,                       ,                         ,                       ,                     ,                        ,                   ,                ,                     ,C                          ,C                        ,                     ,                        ,                   ,C                         ,                        ,R                      ,                            ,                          ,                         ,F                       ,                        ,                       ,                    ,                        ,                     ,F                   ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
