Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Impagidinium patulum,Impagidinium paradoxum,Impagidinium aculeatum,Corrudinium harlandii,Spiniferites ramosus,Operculodinium centrocarpum,Nematosphaeropsis labyrinthea,Invertocysta tabulata,Impagidinium sphaericum,Spiniferites mirabilis,Impagidinium? pallidum,Dalella chathamense,Brigantedinium spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  1,H,CC,  18.00,      1.6400,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,C              ,M                 ,4                   ,1                     ,                      ,                     ,1                   ,3                          ,110                          ,                     ,5                      ,3                     ,1                     ,3                  ,1                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  4,H,CC,  18.00,     29.0700,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,F              ,M                 ,4                   ,5                     ,11                    ,                     ,2                   ,6                          ,11                           ,1                    ,1                      ,                      ,                      ,                   ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  8,H,CC,  16.00,     68.0700,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,F              ,G                 ,1                   ,25                    ,11                    ,1                    ,                    ,                           ,                             ,                     ,                       ,                      ,                      ,                   ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
