Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Reticulofenestra hesslandii	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coccolithus pelagicus	Chiasmolithus altus	Sphenolithus moriformis	Discoaster sp.	Chiasmolithus solitus	Zygrhablithus bijugatus	Reticulofenestra samodurovii	Reticulofenestra reticulata	Reticulofenestra bisecta	Calcidiscus leptoporus	Isthmolithus recurvus	Calcidiscus macintyrei	Reticulofenestra daviesii	Helicosphaera sp.	Coccolithus pelagicus floralis	Coccolithus formosus	Discoaster lodoensis	Chiasmolithus oamaruensis	Reticulofenestra perplexa	Reticulofenestra producta	Coccolithus pataecus	Reticulofenestra gelida	Reticulofenestra pseudoumbilica	Pontosphaera sp.	Reticulofenestra cf. producta	Pseudoemiliania lacunosa	Comment



  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 751	A	  1	H	 1	   5.00	      0.0500	Wei      	Nannofossils                                 	R              	M                 	                         	                           	                           	                          	                     	rR                 	                       	              	                     	                       	                            	                           	                        	R                     	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 751	A	  1	H	 3	   5.00	      3.0500	Wei      	Nannofossils                                 	R              	M                 	rR                       	                           	                           	                          	R                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 751	A	  2	H	 2	   5.00	      6.2500	Wei      	Nannofossils                                 	F              	M                 	                         	                           	                           	                          	F                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 751	A	  2	H	 3	   5.00	      7.7500	Wei      	Nannofossils                                 	C              	M                 	                         	                           	                           	                          	F                    	rR                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	rR                       	                         	                    	                       	                               	                	                             	R                       	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	                 	                 	                  	              	120	 751	A	  2	H	 4	   5.00	      9.2500	Wei      	Nannofossils                                 	B              	                  	                         	                           	                           	                          	                     	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	C                            	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

