Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Xestoleberis sp. 1,Tongacythere sp. 16,Krithe sp. 6,Krithe sp. 14,Eucytherura sp. 17,Cytheropteron sp. 54,Cytheralison sp. 1,Bradleya sp. 18,Bairdoppilata sp. 2,Eucythere sp. 23,Cytheropteron sp. 61,Bythocypris sp. 2,Krithe sp. 7,Typhlocythere sp. 23,Eucythere sp. 13,Bythocypris sp. 7,Cytheropteron sp. 50,Eucythere sp. 8,Eucythere sp. 25,Krithe sp. 15,Bradleya sp. 19,Bairdoppilata sp. 3,Cytheropteron sp. 16,Poseidonamicus sp. 28,Henryhowella sp. 30,Aversovalva sp. 18,Eucythere sp. 26,Bradleya sp. 26,Poseidonamicus sp. 29,Pennyella sp. 2,Krithe sp. 8,Krithe sp. 9,Bythocypris sp. 6,Cytheropteron sp. 62,Bradleya sp. 20,Eucythere sp. 24,Cytheropteron sp. 17,Krithe sp. 10,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 873,B,  1,H, 1,  36.00,      0.3600,Whatley  ,Ostracodes                                   ,               ,                  ,                  ,                   ,            ,             ,                  ,                    ,                  ,               ,                   ,                ,                    ,                 ,            ,                    ,                ,                 ,                    ,               ,                ,             ,               ,                   ,                    ,                     ,                   ,                  ,                ,               ,                     ,               ,            ,2           ,                 ,                    ,3              ,                ,1                   ,6            ,from ODP Leg 144; Ch 4; Table 3; p. 94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 873,B,  1,H, 2,  36.00,      1.5500,Whatley  ,Ostracodes                                   ,               ,                  ,                  ,                   ,            ,             ,                  ,                    ,                  ,               ,                   ,                ,                    ,                 ,            ,                    ,                ,                 ,                    ,               ,                ,             ,               ,1                  ,                    ,                     ,                   ,                  ,                ,               ,                     ,               ,3           ,-           ,                 ,                    ,4              ,1               ,1                   ,             ,from ODP Leg 144; Ch 4; Table 3; p. 94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 873,B,  1,H, 3,  36.00,      2.9300,Whatley  ,Ostracodes                                   ,               ,                  ,                  ,                   ,            ,             ,                  ,                    ,                  ,               ,                   ,                ,                    ,                 ,            ,                    ,                ,                 ,                    ,               ,                ,             ,               ,-                  ,                    ,2                    ,                   ,                  ,                ,               ,                     ,               ,3           ,-           ,                 ,                    ,4              ,                ,                    ,             ,from ODP Leg 144; Ch 4; Table 3; p. 94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N21               ,              ,144, 873,B,  1,H, 4,  36.00,      4.3300,Whatley  ,Ostracodes                                   ,               ,                  ,                  ,                   ,            ,             ,                  ,                    ,                  ,               ,                   ,                ,                    ,                 ,            ,                    ,                ,                 ,                    ,               ,                ,             ,               ,-                  ,                    ,8                    ,7                  ,                  ,                ,               ,                     ,               ,1           ,12          ,                 ,1                   ,               ,                ,                    ,             ,from ODP Leg 144; Ch 4; Table 3; p. 94
