Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thecosphaera japonica,Stylochlamidium  venustum,Spongodiscus spp.,Porodiscus spp.,Cornutella profunda,Larnacantha polyacantha,Lithomitra arachnea,Nephrospyris pervia (trellis-type),Stichocorys delmontensis,Dictyophimus bicornis,Anthocorys(?) akitaensis,Cycladophora davisiana cornutoides,Saccospyris sp.,Botryostrobus auritus/australis,Dictyophimus glacilipes,Cycladophora davisiana davisiana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 14,H,CC,  24.00,    134.5900,Ling     ,Radiolarians                                 ,R              ,M                 ,                     ,R                        ,                 ,               ,                   ,                       ,                   ,R                                 ,                        ,                     ,                        ,                                  ,               ,                               ,                       ,                                ,from ODP Legs 127&128 SR Chapter 13 Table 2 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 15,H,CC,  25.00,    144.2400,Ling     ,Radiolarians                                 ,R              ,M                 ,                     ,                         ,                 ,               ,                   ,                       ,                   ,                                  ,                        ,R                    ,                        ,                                  ,R              ,                               ,R                      ,                                ,from ODP Legs 127&128 SR Chapter 13 Table 2 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 16,X,CC,  19.00,    152.0800,Ling     ,Radiolarians                                 ,R              ,M                 ,                     ,                         ,                 ,               ,                   ,                       ,                   ,                                  ,                        ,R                    ,                        ,                                  ,               ,R                              ,                       ,                                ,from ODP Legs 127&128 SR Chapter 13 Table 2 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 17,X,CC,  17.00,    162.3000,Ling     ,Radiolarians                                 ,R              ,M                 ,                     ,R                        ,                 ,               ,                   ,                       ,                   ,R                                 ,                        ,                     ,                        ,                                  ,               ,                               ,                       ,                                ,from ODP Legs 127&128 SR Chapter 13 Table 2 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 18,X,CC,  25.00,    171.3200,Ling     ,Radiolarians                                 ,R              ,M                 ,                     ,                         ,                 ,               ,                   ,                       ,                   ,                                  ,                        ,                     ,                        ,                                  ,               ,                               ,                       ,R                               ,from ODP Legs 127&128 SR Chapter 13 Table 2 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 20,X,CC,  31.00,    192.2600,Ling     ,Radiolarians                                 ,R              ,M                 ,                     ,                         ,                 ,               ,                   ,                       ,                   ,                                  ,                        ,                     ,                        ,                                  ,               ,                               ,                       ,R                               ,from ODP Legs 127&128 SR Chapter 13 Table 2 p 229
