Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Syracosphaera sp.	Sphenolithus moriformis	Reticulofenestra sp.	Reticulofenestra pseudoumbilica	Helicosphaera paleocarteri	Helicosphaera carteri	Dictyococcites sp.	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coccolithus pelagicus	Coccolithus miopelagicus	Braarudosphaera bigelowii	Discolithina sp.	Discoaster deflandrei	Discoaster intercalaris	Helicosphaera sellii	Discoaster variabilis	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Thoracosphaera sp.	Gephyrocapsa sp.	Emiliania huxleyi	Comment



  SR	                 	                 	                  	NN21          	104	 642	B	  1	H	 1	  30.00	      0.3000	Donnally 	Nannofossils                                 	C              	P                 	R                	                       	F                   	                               	                          	R                    	R                 	                           	                          	F                    	                        	R                        	                	                     	                       	                    	                     	F                     	                        	R                 	F               	F                	Rerworking = 90%; from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	                 	                 	                  	NN21          	104	 642	B	  2	H	 2	  85.00	      7.1500	Donnally 	Nannofossils                                 	A              	M                 	                 	                       	R                   	                               	                          	                     	F                 	                           	                          	C                    	                        	                         	                	                     	                       	                    	                     	                      	                        	                  	A               	A                	Rerworking = 10%; from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	                 	                 	                  	NN21          	104	 642	B	  2	H	 6	  85.00	     13.1500	Donnally 	Nannofossils                                 	C              	M                 	                 	                       	C                   	                               	                          	                     	R                 	                           	                          	F                    	                        	R                        	R               	                     	                       	                    	                     	                      	                        	                  	C               	C                	Rerworking = 50%; from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	                 	                 	                  	NN20          	104	 642	B	  3	H	 2	  87.00	     16.6700	Donnally 	Nannofossils                                 	C              	M                 	R                	                       	C                   	                               	                          	                     	R                 	                           	                          	F                    	                        	                         	R               	                     	                       	                    	                     	R                     	                        	F                 	C               	                 	Rerworking = 50%; from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	                 	                 	                  	NN20          	104	 642	B	  3	H	 4	  18.00	     18.9800	Donnally 	Nannofossils                                 	A              	M                 	R                	                       	A                   	                               	                          	                     	A                 	                           	                          	C                    	                        	                         	                	                     	                       	                    	                     	                      	                        	R                 	A               	                 	Rerworking <10%; from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Holocene         	                 	                  	NN16          	104	 642	B	  4	H	 1	 107.00	     21.7700	Donnally 	Nannofossils                                 	C              	P                 	                 	                       	C                   	                               	                          	                     	                  	                           	                          	F                    	                        	                         	                	                     	                       	                    	                     	F                     	C                       	R                 	A               	                 	Rerworking = 10%; from ODP 104 SR  Chapter 26 Tables 3&4  p 463

